category,cluster,agent_class,edge_count,total_edges,share
AI_USE,"Art, design, crafts",AI,24,411,0.058394160583941604
AI_USE,"Art, design, crafts",HUMAN,296,411,0.7201946472019465
AI_USE,"Art, design, crafts",OTHER,91,411,0.22141119221411193
AI_USE,Audiovisual,AI,4,147,0.027210884353741496
AI_USE,Audiovisual,HUMAN,98,147,0.6666666666666666
AI_USE,Audiovisual,OTHER,45,147,0.30612244897959184
AI_USE,Content writing,AI,15,205,0.07317073170731707
AI_USE,Content writing,HUMAN,147,205,0.7170731707317073
AI_USE,Content writing,OTHER,43,205,0.2097560975609756
AI_USE,Fiction writing,AI,28,342,0.08187134502923976
AI_USE,Fiction writing,HUMAN,235,342,0.6871345029239766
AI_USE,Fiction writing,OTHER,79,342,0.2309941520467836
AI_USE,Mix,AI,14,166,0.08433734939759036
AI_USE,Mix,HUMAN,116,166,0.6987951807228916
AI_USE,Mix,OTHER,36,166,0.21686746987951808
AUTHORSHIP,"Art, design, crafts",AI,11,133,0.08270676691729323
AUTHORSHIP,"Art, design, crafts",HUMAN,78,133,0.5864661654135338
AUTHORSHIP,"Art, design, crafts",OTHER,44,133,0.3308270676691729
AUTHORSHIP,Audiovisual,AI,2,41,0.04878048780487805
AUTHORSHIP,Audiovisual,HUMAN,29,41,0.7073170731707317
AUTHORSHIP,Audiovisual,OTHER,10,41,0.24390243902439024
AUTHORSHIP,Content writing,AI,5,68,0.07352941176470588
AUTHORSHIP,Content writing,HUMAN,45,68,0.6617647058823529
AUTHORSHIP,Content writing,OTHER,18,68,0.2647058823529412
AUTHORSHIP,Fiction writing,AI,14,122,0.11475409836065574
AUTHORSHIP,Fiction writing,HUMAN,77,122,0.6311475409836066
AUTHORSHIP,Fiction writing,OTHER,31,122,0.2540983606557377
AUTHORSHIP,Mix,AI,9,40,0.225
AUTHORSHIP,Mix,HUMAN,14,40,0.35
AUTHORSHIP,Mix,OTHER,17,40,0.425
CONTROL,"Art, design, crafts",AI,9,93,0.0967741935483871
CONTROL,"Art, design, crafts",HUMAN,45,93,0.4838709677419355
CONTROL,"Art, design, crafts",OTHER,39,93,0.41935483870967744
CONTROL,Audiovisual,AI,1,30,0.03333333333333333
CONTROL,Audiovisual,HUMAN,20,30,0.6666666666666666
CONTROL,Audiovisual,OTHER,9,30,0.3
CONTROL,Content writing,AI,1,41,0.024390243902439025
CONTROL,Content writing,HUMAN,30,41,0.7317073170731707
CONTROL,Content writing,OTHER,10,41,0.24390243902439024
CONTROL,Fiction writing,AI,1,65,0.015384615384615385
CONTROL,Fiction writing,HUMAN,39,65,0.6
CONTROL,Fiction writing,OTHER,25,65,0.38461538461538464
CONTROL,Mix,AI,3,45,0.06666666666666667
CONTROL,Mix,HUMAN,29,45,0.6444444444444445
CONTROL,Mix,OTHER,13,45,0.28888888888888886
IDEATION,"Art, design, crafts",AI,1,113,0.008849557522123894
IDEATION,"Art, design, crafts",HUMAN,110,113,0.9734513274336283
IDEATION,"Art, design, crafts",OTHER,2,113,0.017699115044247787
IDEATION,Audiovisual,HUMAN,49,52,0.9423076923076923
IDEATION,Audiovisual,OTHER,3,52,0.057692307692307696
IDEATION,Content writing,HUMAN,67,71,0.9436619718309859
IDEATION,Content writing,OTHER,4,71,0.056338028169014086
IDEATION,Fiction writing,AI,1,107,0.009345794392523364
IDEATION,Fiction writing,HUMAN,100,107,0.9345794392523364
IDEATION,Fiction writing,OTHER,6,107,0.056074766355140186
IDEATION,Mix,HUMAN,48,51,0.9411764705882353
IDEATION,Mix,OTHER,3,51,0.058823529411764705
