verb_category,cluster,agent_type,count,share
AI_USE,"Art, design, crafts",AI,52,0.10276679841897234
AI_USE,"Art, design, crafts",HUMAN,278,0.549407114624506
AI_USE,"Art, design, crafts",OTHER,176,0.34782608695652173
AI_USE,Audiovisual,AI,14,0.0660377358490566
AI_USE,Audiovisual,HUMAN,121,0.5707547169811321
AI_USE,Audiovisual,OTHER,77,0.3632075471698113
AI_USE,Content writing,AI,22,0.08979591836734693
AI_USE,Content writing,HUMAN,136,0.5551020408163265
AI_USE,Content writing,OTHER,87,0.3551020408163265
AI_USE,Fiction writing,AI,44,0.0830188679245283
AI_USE,Fiction writing,HUMAN,286,0.539622641509434
AI_USE,Fiction writing,OTHER,200,0.37735849056603776
AI_USE,Mix,AI,21,0.0875
AI_USE,Mix,HUMAN,131,0.5458333333333333
AI_USE,Mix,OTHER,88,0.36666666666666664
AUTHORSHIP,"Art, design, crafts",AI,18,0.05750798722044728
AUTHORSHIP,"Art, design, crafts",HUMAN,156,0.4984025559105431
AUTHORSHIP,"Art, design, crafts",OTHER,139,0.4440894568690096
AUTHORSHIP,Audiovisual,AI,4,0.037383177570093455
AUTHORSHIP,Audiovisual,HUMAN,57,0.5327102803738317
AUTHORSHIP,Audiovisual,OTHER,46,0.42990654205607476
AUTHORSHIP,Content writing,AI,8,0.05
AUTHORSHIP,Content writing,HUMAN,82,0.5125
AUTHORSHIP,Content writing,OTHER,70,0.4375
AUTHORSHIP,Fiction writing,AI,17,0.052307692307692305
AUTHORSHIP,Fiction writing,HUMAN,154,0.47384615384615386
AUTHORSHIP,Fiction writing,OTHER,154,0.47384615384615386
AUTHORSHIP,Mix,AI,10,0.07462686567164178
AUTHORSHIP,Mix,HUMAN,57,0.4253731343283582
AUTHORSHIP,Mix,OTHER,67,0.5
CONTROL,"Art, design, crafts",AI,11,0.15942028985507245
CONTROL,"Art, design, crafts",HUMAN,27,0.391304347826087
CONTROL,"Art, design, crafts",OTHER,31,0.4492753623188406
CONTROL,Audiovisual,AI,1,0.05
CONTROL,Audiovisual,HUMAN,6,0.3
CONTROL,Audiovisual,OTHER,13,0.65
CONTROL,Content writing,AI,5,0.1282051282051282
CONTROL,Content writing,HUMAN,14,0.358974358974359
CONTROL,Content writing,OTHER,20,0.5128205128205128
CONTROL,Fiction writing,AI,3,0.05357142857142857
CONTROL,Fiction writing,HUMAN,18,0.32142857142857145
CONTROL,Fiction writing,OTHER,35,0.625
CONTROL,Mix,AI,3,0.16666666666666666
CONTROL,Mix,HUMAN,9,0.5
CONTROL,Mix,OTHER,6,0.3333333333333333
IDEATION,"Art, design, crafts",AI,21,0.05236907730673317
IDEATION,"Art, design, crafts",HUMAN,252,0.628428927680798
IDEATION,"Art, design, crafts",OTHER,128,0.3192019950124688
IDEATION,Audiovisual,AI,3,0.02127659574468085
IDEATION,Audiovisual,HUMAN,86,0.6099290780141844
IDEATION,Audiovisual,OTHER,52,0.36879432624113473
IDEATION,Content writing,AI,14,0.06796116504854369
IDEATION,Content writing,HUMAN,127,0.616504854368932
IDEATION,Content writing,OTHER,65,0.3155339805825243
IDEATION,Fiction writing,AI,14,0.04516129032258064
IDEATION,Fiction writing,HUMAN,185,0.5967741935483871
IDEATION,Fiction writing,OTHER,111,0.3580645161290323
IDEATION,Mix,AI,11,0.07096774193548387
IDEATION,Mix,HUMAN,98,0.632258064516129
IDEATION,Mix,OTHER,46,0.2967741935483871
