group,category,token_count,group_total,share_in_group
"Art, design, crafts",AI_USE,4098,10130,0.40454096742349455
"Art, design, crafts",AUTHORSHIP,3702,10130,0.36544916090819346
"Art, design, crafts",CONTROL,378,10130,0.03731490621915104
"Art, design, crafts",IDEATION,1952,10130,0.1926949654491609
Audiovisual,AI_USE,1543,3810,0.40498687664041993
Audiovisual,AUTHORSHIP,1399,3810,0.36719160104986875
Audiovisual,CONTROL,135,3810,0.03543307086614173
Audiovisual,IDEATION,733,3810,0.19238845144356956
Content writing,AI_USE,2150,5205,0.41306436119116235
Content writing,AUTHORSHIP,1808,5205,0.3473583093179635
Content writing,CONTROL,179,5205,0.03439000960614794
Content writing,IDEATION,1068,5205,0.20518731988472622
Fiction writing,AI_USE,3676,9096,0.40413368513632364
Fiction writing,AUTHORSHIP,3346,9096,0.36785400175901495
Fiction writing,CONTROL,353,9096,0.038808267370272646
Fiction writing,IDEATION,1721,9096,0.18920404573438873
Mix,AI_USE,1730,4067,0.4253749692648144
Mix,AUTHORSHIP,1420,4067,0.34915170887632163
Mix,CONTROL,135,4067,0.03319400049176297
Mix,IDEATION,782,4067,0.19227932136710105
