lemma,pos_group,category
ai,NOUN,AI_USE
assistant,NOUN,AI_USE
chat,NOUN,AI_USE
chatgpt,NOUN,AI_USE
collaboration,NOUN,AI_USE
llm,NOUN,AI_USE
model,NOUN,AI_USE
software,NOUN,AI_USE
system,NOUN,AI_USE
time,NOUN,AI_USE
tool,NOUN,AI_USE
act,VERB,AI_USE
ask,VERB,AI_USE
assist,VERB,AI_USE
automate,VERB,AI_USE
clean,VERB,AI_USE
cut,VERB,AI_USE
engage,VERB,AI_USE
feed,VERB,AI_USE
fill,VERB,AI_USE
help,VERB,AI_USE
incorporate,VERB,AI_USE
integrate,VERB,AI_USE
lean,VERB,AI_USE
look,VERB,AI_USE
love,VERB,AI_USE
organize,VERB,AI_USE
prefer,VERB,AI_USE
prompt,VERB,AI_USE
reach,VERB,AI_USE
rely,VERB,AI_USE
save,VERB,AI_USE
spend,VERB,AI_USE
tell,VERB,AI_USE
train,VERB,AI_USE
turn,VERB,AI_USE
use,VERB,AI_USE
utilize,VERB,AI_USE
art,NOUN,AUTHORSHIP
article,NOUN,AUTHORSHIP
asset,NOUN,AUTHORSHIP
blog,NOUN,AUTHORSHIP
book,NOUN,AUTHORSHIP
content,NOUN,AUTHORSHIP
copy,NOUN,AUTHORSHIP
creation,NOUN,AUTHORSHIP
film,NOUN,AUTHORSHIP
generation,NOUN,AUTHORSHIP
image,NOUN,AUTHORSHIP
line,NOUN,AUTHORSHIP
list,NOUN,AUTHORSHIP
material,NOUN,AUTHORSHIP
music,NOUN,AUTHORSHIP
novel,NOUN,AUTHORSHIP
output,NOUN,AUTHORSHIP
page,NOUN,AUTHORSHIP
photo,NOUN,AUTHORSHIP
picture,NOUN,AUTHORSHIP
piece,NOUN,AUTHORSHIP
plot,NOUN,AUTHORSHIP
post,NOUN,AUTHORSHIP
production,NOUN,AUTHORSHIP
scene,NOUN,AUTHORSHIP
script,NOUN,AUTHORSHIP
song,NOUN,AUTHORSHIP
story,NOUN,AUTHORSHIP
style,NOUN,AUTHORSHIP
text,NOUN,AUTHORSHIP
video,NOUN,AUTHORSHIP
website,NOUN,AUTHORSHIP
word,NOUN,AUTHORSHIP
writer,NOUN,AUTHORSHIP
writing,NOUN,AUTHORSHIP
build,VERB,AUTHORSHIP
craft,VERB,AUTHORSHIP
create,VERB,AUTHORSHIP
design,VERB,AUTHORSHIP
draft,VERB,AUTHORSHIP
draw,VERB,AUTHORSHIP
generate,VERB,AUTHORSHIP
paint,VERB,AUTHORSHIP
produce,VERB,AUTHORSHIP
publish,VERB,AUTHORSHIP
record,VERB,AUTHORSHIP
suggest,VERB,AUTHORSHIP
upload,VERB,AUTHORSHIP
write,VERB,AUTHORSHIP
control,NOUN,CONTROL
decision,NOUN,CONTROL
direction,NOUN,CONTROL
editing,NOUN,CONTROL
feedback,NOUN,CONTROL
track,NOUN,CONTROL
allow,VERB,CONTROL
check,VERB,CONTROL
choose,VERB,CONTROL
decide,VERB,CONTROL
direct,VERB,CONTROL
drive,VERB,CONTROL
edit,VERB,CONTROL
follow,VERB,CONTROL
guide,VERB,CONTROL
keep,VERB,CONTROL
lead,VERB,CONTROL
let,VERB,CONTROL
lose,VERB,CONTROL
manage,VERB,CONTROL
plan,VERB,CONTROL
worry,VERB,CONTROL
brainstorming,NOUN,IDEATION
concept,NOUN,IDEATION
creativity,NOUN,IDEATION
idea,NOUN,IDEATION
inspiration,NOUN,IDEATION
mind,NOUN,IDEATION
planning,NOUN,IDEATION
stage,NOUN,IDEATION
suggestion,NOUN,IDEATION
thinking,NOUN,IDEATION
thought,NOUN,IDEATION
brainstorm,VERB,IDEATION
develop,VERB,IDEATION
explore,VERB,IDEATION
figure,VERB,IDEATION
identify,VERB,IDEATION
imagine,VERB,IDEATION
prepare,VERB,IDEATION
refine,VERB,IDEATION
research,VERB,IDEATION
think,VERB,IDEATION
