group,category,pos_group,lemma,token_count,cc_total,c_total,lemma_in_cluster,p_lemma_given_cluster_cat,p_lemma_given_cluster,distinctiveness_cluster
"Art, design, crafts",AI_USE,NOUN,collaboration,9,1617,3611,9,0.005648038049940547,0.002584330794341676,0.7818416429426849
"Art, design, crafts",AI_USE,NOUN,ai,522,1617,3611,522,0.3106420927467301,0.14213819368879216,0.7818416429426844
"Art, design, crafts",AI_USE,NOUN,time,99,1617,3611,99,0.059155766944114146,0.02706746463547334,0.7818416429426844
"Art, design, crafts",AI_USE,NOUN,tool,74,1617,3611,74,0.04429250891795482,0.02026659412404788,0.7818416429426844
"Art, design, crafts",AI_USE,NOUN,assistant,16,1617,3611,16,0.009809750297265161,0.004488574537540806,0.781841642942684
"Art, design, crafts",AI_USE,NOUN,chat,6,1617,3611,6,0.0038644470868014267,0.0017682263329706202,0.781841642942684
"Art, design, crafts",AI_USE,NOUN,chatgpt,6,1617,3611,6,0.0038644470868014267,0.0017682263329706202,0.781841642942684
"Art, design, crafts",AI_USE,NOUN,llm,5,1617,3611,5,0.0032699167657550534,0.0014961915125136017,0.781841642942684
"Art, design, crafts",AI_USE,NOUN,model,56,1617,3611,56,0.03359096313912009,0.015369967355821546,0.781841642942684
"Art, design, crafts",AI_USE,NOUN,software,15,1617,3611,15,0.009215219976218787,0.0042165397170837865,0.781841642942684
"Art, design, crafts",AI_USE,NOUN,system,5,1617,3611,5,0.0032699167657550534,0.0014961915125136017,0.781841642942684
"Art, design, crafts",AI_USE,VERB,act,4,1617,3611,4,0.00267538644470868,0.0012241566920565832,0.7818416429426849
"Art, design, crafts",AI_USE,VERB,automate,4,1617,3611,4,0.00267538644470868,0.0012241566920565832,0.7818416429426849
"Art, design, crafts",AI_USE,VERB,prefer,4,1617,3611,4,0.00267538644470868,0.0012241566920565832,0.7818416429426849
"Art, design, crafts",AI_USE,VERB,tell,23,1617,3611,23,0.013971462544589775,0.0063928182807399345,0.7818416429426849
"Art, design, crafts",AI_USE,VERB,train,9,1617,3611,9,0.005648038049940547,0.002584330794341676,0.7818416429426849
"Art, design, crafts",AI_USE,VERB,turn,14,1617,3611,14,0.008620689655172414,0.003944504896626768,0.7818416429426849
"Art, design, crafts",AI_USE,VERB,help,122,1617,3611,122,0.07282996432818074,0.03332426550598477,0.7818416429426844
"Art, design, crafts",AI_USE,VERB,use,337,1617,3611,337,0.20065398335315102,0.09181175190424375,0.7818416429426842
"Art, design, crafts",AI_USE,VERB,ask,70,1617,3611,70,0.04191438763376932,0.019178454842219805,0.781841642942684
"Art, design, crafts",AI_USE,VERB,assist,7,1617,3611,7,0.0044589774078478,0.002040261153427639,0.781841642942684
