transcript_id,speaker_role,section,sent_id,verb_word_id,dep_word_id,verb_lemma,verb_category,dep_role,deprel,dep_text,dep_lemma,agent_type,cluster,cluster_long
creativity_0000,user,basic_job_description,2,4,3,write,AUTHORSHIP,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0000,user,basic_job_description,2,4,5,write,AUTHORSHIP,OBJECT,obj,music,music,,Audiovisual,4
creativity_0000,user,walkthrough,1,8,10,ask,AI_USE,OBJECT,obj,questions,question,,Audiovisual,4
creativity_0000,user,walkthrough,2,7,5,use,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0000,user,walkthrough,2,7,10,use,AI_USE,OBJECT,obj,learning,learning,,Audiovisual,4
creativity_0000,user,walkthrough,2,11,12,mix,AUTHORSHIP,OBJECT,obj,plugins,plugin,,Audiovisual,4
creativity_0000,user,walkthrough,3,13,15,bounce,IDEATION,OBJECT,obj,ideas,idea,,Audiovisual,4
creativity_0000,user,project_example,1,11,8,use,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0000,user,project_example,1,11,12,use,AI_USE,OBJECT,obj,AI,AI,,Audiovisual,4
creativity_0000,user,project_example,2,6,9,get,IDEATION,OBJECT,obj,thinking,thinking,,Audiovisual,4
creativity_0000,user,project_example,3,9,12,write,AUTHORSHIP,OBJECT,obj,essay,essay,,Audiovisual,4
creativity_0000,user,project_example,3,21,20,make,CONTROL,SUBJECT,nsubj,what,what,OTHER,Audiovisual,4
creativity_0000,user,project_example,3,21,23,make,CONTROL,OBJECT,obj,score,score,,Audiovisual,4
creativity_0000,user,dynamic,1,7,6,help,AI_USE,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0000,user,dynamic,1,7,8,help,AI_USE,OBJECT,obj,me,I,,Audiovisual,4
creativity_0000,user,dynamic,1,9,12,refine,IDEATION,OBJECT,obj,perspective,perspective,,Audiovisual,4
creativity_0000,user,dynamic,2,11,13,suggest,AUTHORSHIP,OBJECT,obj,connections,connection,,Audiovisual,4
creativity_0000,user,dynamic,2,17,14,consider,IDEATION,SUBJECT,nsubj:pass,that,that,OTHER,Audiovisual,4
creativity_0000,user,changed_aspects,1,18,17,call,AI_USE,SUBJECT,nsubj,mentor,mentor,OTHER,Audiovisual,4
creativity_0000,user,changed_aspects,1,18,19,call,AI_USE,OBJECT,obj,it,it,,Audiovisual,4
creativity_0000,user,changed_aspects,3,15,14,imagine,IDEATION,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0000,user,concerns,1,5,9,make,CONTROL,OBJECT,obj,music,music,,Audiovisual,4
creativity_0000,user,concerns,2,9,8,generate,AI_USE,SUBJECT,nsubj,AI,AI,AI,Audiovisual,4
creativity_0000,user,concerns,2,9,10,generate,AI_USE,OBJECT,obj,music,music,,Audiovisual,4
creativity_0000,user,future,3,7,8,help,AI_USE,OBJECT,obj,me,I,,Audiovisual,4
creativity_0000,user,future,3,9,11,refine,IDEATION,OBJECT,obj,ideas,idea,,Audiovisual,4
creativity_0001,user,intro,1,3,4,do,AI_USE,OBJECT,obj,it,it,,Audiovisual,4
creativity_0001,user,basic_job_description,2,8,11,mix,AUTHORSHIP,OBJECT,obj,music,music,,Audiovisual,4
creativity_0001,user,basic_job_description,3,12,14,see,AI_USE,OBJECT,obj,record,record,,Audiovisual,4
creativity_0001,user,basic_job_description,4,25,23,hope,AI_USE,SUBJECT,nsubj,I,I,HUMAN,Audiovisual,4
creativity_0001,user,basic_job_description,4,29,32,do,AI_USE,OBJECT,obj,projects,project,,Audiovisual,4
creativity_0001,user,basic_job_description,5,9,13,produce,AUTHORSHIP,OBJECT,obj,music,music,,Audiovisual,4
creativity_0001,user,walkthrough,3,2,1,be,AUTHORSHIP,SUBJECT,nsubj,That,that,OTHER,Audiovisual,4
creativity_0001,user,walkthrough,3,10,8,write,AUTHORSHIP,SUBJECT,nsubj,me,I,HUMAN,Audiovisual,4
creativity_0001,user,walkthrough,3,10,12,write,AUTHORSHIP,OBJECT,obj,instrumentals,instrumental,,Audiovisual,4
creativity_0001,user,walkthrough,3,19,20,add,AUTHORSHIP,OBJECT,obj,lyrics,lyric,,Audiovisual,4
creativity_0001,user,walkthrough,4,5,4,come,IDEATION,SUBJECT,nsubj,it,it,OTHER,Audiovisual,4
creativity_0001,user,walkthrough,4,5,6,come,IDEATION,OBJECT,obj,time,time,,Audiovisual,4
creativity_0001,user,walkthrough,4,8,9,add,AUTHORSHIP,OBJECT,obj,lyrics,lyric,,Audiovisual,4
creativity_0001,user,walkthrough,5,2,5,get,IDEATION,OBJECT,obj,list,list,,Audiovisual,4
creativity_0001,user,walkthrough,5,15,17,find,IDEATION,OBJECT,obj,hook,hook,,Audiovisual,4
