category,pos_group,lemma,token_count
AI_USE,NOUN,ai,1531
AI_USE,NOUN,time,352
AI_USE,NOUN,model,218
AI_USE,NOUN,tool,194
AI_USE,NOUN,assistant,45
AI_USE,NOUN,llm,33
AI_USE,NOUN,collaboration,29
AI_USE,NOUN,chat,26
AI_USE,NOUN,chatgpt,26
AI_USE,NOUN,software,25
AI_USE,NOUN,system,25
AI_USE,VERB,use,1019
AI_USE,VERB,help,401
AI_USE,VERB,ask,243
AI_USE,VERB,look,167
AI_USE,VERB,tell,93
AI_USE,VERB,prompt,78
AI_USE,VERB,spend,51
AI_USE,VERB,save,48
AI_USE,VERB,love,41
AI_USE,VERB,turn,35
AI_USE,VERB,cut,28
AI_USE,VERB,reach,28
AI_USE,VERB,fill,26
AI_USE,VERB,train,24
AI_USE,VERB,rely,21
AI_USE,VERB,prefer,20
AI_USE,VERB,integrate,19
AI_USE,VERB,assist,18
AI_USE,VERB,feed,18
AI_USE,VERB,organize,18
AI_USE,VERB,clean,15
AI_USE,VERB,incorporate,15
AI_USE,VERB,utilize,15
AI_USE,VERB,act,14
AI_USE,VERB,automate,12
AI_USE,VERB,engage,11
AI_USE,VERB,lean,10
AUTHORSHIP,NOUN,image,264
AUTHORSHIP,NOUN,writing,237
AUTHORSHIP,NOUN,story,141
AUTHORSHIP,NOUN,art,134
AUTHORSHIP,NOUN,video,134
AUTHORSHIP,NOUN,content,128
AUTHORSHIP,NOUN,book,126
AUTHORSHIP,NOUN,writer,101
AUTHORSHIP,NOUN,style,81
AUTHORSHIP,NOUN,novel,79
AUTHORSHIP,NOUN,scene,71
AUTHORSHIP,NOUN,word,70
AUTHORSHIP,NOUN,music,69
AUTHORSHIP,NOUN,piece,64
AUTHORSHIP,NOUN,script,58
AUTHORSHIP,NOUN,article,50
AUTHORSHIP,NOUN,film,49
AUTHORSHIP,NOUN,page,49
AUTHORSHIP,NOUN,post,48
AUTHORSHIP,NOUN,text,47
AUTHORSHIP,NOUN,asset,45
AUTHORSHIP,NOUN,copy,45
AUTHORSHIP,NOUN,photo,43
AUTHORSHIP,NOUN,plot,43
AUTHORSHIP,NOUN,website,42
AUTHORSHIP,NOUN,generation,41
AUTHORSHIP,NOUN,line,40
AUTHORSHIP,NOUN,list,40
AUTHORSHIP,NOUN,material,38
AUTHORSHIP,NOUN,creation,37
AUTHORSHIP,NOUN,blog,34
AUTHORSHIP,NOUN,production,32
AUTHORSHIP,NOUN,output,30
AUTHORSHIP,NOUN,song,30
AUTHORSHIP,NOUN,picture,27
AUTHORSHIP,VERB,create,310
AUTHORSHIP,VERB,write,310
AUTHORSHIP,VERB,generate,186
AUTHORSHIP,VERB,design,177
AUTHORSHIP,VERB,draft,62
AUTHORSHIP,VERB,produce,60
AUTHORSHIP,VERB,draw,42
AUTHORSHIP,VERB,build,32
AUTHORSHIP,VERB,suggest,29
AUTHORSHIP,VERB,paint,27
AUTHORSHIP,VERB,publish,25
AUTHORSHIP,VERB,craft,18
AUTHORSHIP,VERB,upload,18
AUTHORSHIP,VERB,record,17
CONTROL,NOUN,editing,91
CONTROL,NOUN,decision,80
CONTROL,NOUN,feedback,53
CONTROL,NOUN,control,37
CONTROL,NOUN,direction,37
CONTROL,NOUN,track,28
CONTROL,VERB,edit,103
CONTROL,VERB,keep,79
CONTROL,VERB,let,73
CONTROL,VERB,check,61
CONTROL,VERB,drive,58
CONTROL,VERB,allow,49
CONTROL,VERB,plan,39
CONTROL,VERB,lose,33
CONTROL,VERB,worry,31
CONTROL,VERB,lead,30
CONTROL,VERB,decide,29
CONTROL,VERB,follow,27
CONTROL,VERB,choose,20
CONTROL,VERB,guide,20
CONTROL,VERB,direct,15
CONTROL,VERB,manage,13
IDEATION,NOUN,idea,440
IDEATION,NOUN,suggestion,64
IDEATION,NOUN,concept,59
IDEATION,NOUN,brainstorming,53
IDEATION,NOUN,creativity,50
IDEATION,NOUN,inspiration,45
IDEATION,NOUN,stage,42
IDEATION,NOUN,mind,34
IDEATION,NOUN,thought,27
IDEATION,NOUN,planning,23
IDEATION,NOUN,thinking,18
IDEATION,VERB,think,394
IDEATION,VERB,research,157
IDEATION,VERB,brainstorm,50
IDEATION,VERB,develop,38
IDEATION,VERB,refine,32
IDEATION,VERB,figure,24
IDEATION,VERB,identify,19
IDEATION,VERB,imagine,19
IDEATION,VERB,explore,17
IDEATION,VERB,prepare,14
