category,pos_group_cb,lemma,token_count
AI_USE,NOUN,ai,1531
AI_USE,NOUN,help,401
AI_USE,NOUN,creative,395
AI_USE,NOUN,time,352
AI_USE,NOUN,model,218
AI_USE,NOUN,need,218
AI_USE,NOUN,one,208
AI_USE,NOUN,process,204
AI_USE,NOUN,tool,194
AI_USE,NOUN,lot,188
AI_USE,NOUN,way,176
AI_USE,NOUN,research,157
AI_USE,NOUN,character,147
AI_USE,NOUN,example,136
AI_USE,NOUN,change,125
AI_USE,NOUN,edit,103
AI_USE,NOUN,writer,101
AI_USE,NOUN,client,100
AI_USE,NOUN,artist,89
AI_USE,NOUN,job,89
AI_USE,NOUN,point,82
AI_USE,NOUN,information,79
AI_USE,NOUN,prompt,78
AI_USE,NOUN,end,73
AI_USE,NOUN,concern,72
AI_USE,NOUN,task,72
AI_USE,NOUN,bit,70
AI_USE,NOUN,day,70
AI_USE,NOUN,year,69
AI_USE,NOUN,business,67
AI_USE,NOUN,name,65
AI_USE,NOUN,suggestion,64
AI_USE,NOUN,aspect,60
AI_USE,NOUN,voice,58
AI_USE,NOUN,level,56
AI_USE,NOUN,detail,54
AI_USE,NOUN,brainstorming,53
AI_USE,NOUN,feedback,53
AI_USE,NOUN,result,53
AI_USE,NOUN,topic,51
AI_USE,NOUN,place,48
AI_USE,NOUN,show,48
AI_USE,NOUN,past,47
AI_USE,NOUN,color,46
AI_USE,NOUN,sense,46
AI_USE,NOUN,assistant,45
AI_USE,NOUN,author,45
AI_USE,NOUN,company,43
AI_USE,NOUN,plot,43
AI_USE,NOUN,answer,42
AI_USE,NOUN,generation,41
AI_USE,NOUN,amount,40
AI_USE,NOUN,week,39
AI_USE,NOUN,hour,38
AI_USE,NOUN,creation,37
AI_USE,NOUN,case,35
AI_USE,NOUN,background,34
AI_USE,NOUN,designer,34
AI_USE,NOUN,mind,34
AI_USE,NOUN,search,34
AI_USE,NOUN,stuff,34
AI_USE,NOUN,llm,33
AI_USE,NOUN,response,33
AI_USE,NOUN,production,32
AI_USE,NOUN,life,31
AI_USE,NOUN,step,31
AI_USE,NOUN,output,30
AI_USE,NOUN,role,30
AI_USE,NOUN,audio,29
AI_USE,NOUN,collaboration,29
AI_USE,NOUN,partner,29
AI_USE,NOUN,form,28
AI_USE,NOUN,market,28
AI_USE,NOUN,track,28
AI_USE,NOUN,future,27
AI_USE,NOUN,money,27
AI_USE,NOUN,thought,27
AI_USE,NOUN,chatgpt,26
AI_USE,NOUN,eye,26
AI_USE,NOUN,moment,26
AI_USE,NOUN,perspective,26
AI_USE,NOUN,service,25
AI_USE,NOUN,software,25
AI_USE,NOUN,system,25
AI_USE,NOUN,issue,23
AI_USE,NOUN,development,22
AI_USE,NOUN,thanks,22
AI_USE,NOUN,google,21
AI_USE,NOUN,purpose,21
AI_USE,NOUN,source,21
AI_USE,NOUN,effort,20
AI_USE,NOUN,month,20
AI_USE,NOUN,subject,20
AI_USE,NOUN,gap,19
AI_USE,NOUN,version,19
AI_USE,NOUN,datum,18
AI_USE,NOUN,industry,18
AI_USE,NOUN,thinking,18
AI_USE,NOUN,admin,17
AI_USE,NOUN,knowledge,17
AI_USE,VERB,use,1019
AI_USE,VERB,do,952
AI_USE,VERB,help,401
AI_USE,VERB,feel,275
AI_USE,VERB,want,249
AI_USE,VERB,ask,243
AI_USE,VERB,take,241
AI_USE,VERB,see,226
AI_USE,VERB,generate,186
AI_USE,VERB,know,151
AI_USE,VERB,sound,149
AI_USE,VERB,say,146
AI_USE,VERB,provide,92
AI_USE,VERB,become,88
AI_USE,VERB,point,82
AI_USE,VERB,prompt,78
AI_USE,VERB,end,73
AI_USE,VERB,continue,64
AI_USE,VERB,check,61
AI_USE,VERB,understand,57
AI_USE,VERB,spend,51
AI_USE,VERB,mean,49
AI_USE,VERB,run,49
AI_USE,VERB,begin,48
AI_USE,VERB,place,48
AI_USE,VERB,save,48
AI_USE,VERB,cover,47
AI_USE,VERB,focus,46
AI_USE,VERB,hope,45
AI_USE,VERB,fit,39
AI_USE,VERB,struggle,38
AI_USE,VERB,happen,37
AI_USE,VERB,seem,34
AI_USE,VERB,thank,34
AI_USE,VERB,require,33
AI_USE,VERB,believe,32
AI_USE,VERB,replace,32
AI_USE,VERB,worry,31
AI_USE,VERB,depend,30
AI_USE,VERB,exist,30
AI_USE,VERB,tend,30
AI_USE,VERB,describe,29
AI_USE,VERB,play,28
AI_USE,VERB,reach,28
AI_USE,VERB,fill,26
AI_USE,VERB,leave,24
AI_USE,VERB,rely,21
AI_USE,VERB,capture,20
AI_USE,VERB,evolve,20
AI_USE,VERB,prefer,20
AI_USE,VERB,call,18
AI_USE,VERB,fall,18
AI_USE,VERB,grow,18
AI_USE,VERB,hit,18
AI_USE,VERB,ensure,17
AI_USE,VERB,force,17
AI_USE,VERB,realize,17
AI_USE,VERB,record,17
AI_USE,VERB,avoid,16
AI_USE,VERB,face,16
AI_USE,VERB,handle,16
AI_USE,VERB,hire,15
AI_USE,VERB,speak,15
AI_USE,VERB,vary,15
AI_USE,VERB,act,14
AI_USE,VERB,hear,14
AI_USE,VERB,notice,14
