group,category,pos_group,lemma,token_count,cc_total,c_total,lemma_in_cluster,p_lemma_given_cluster_cat,p_lemma_given_cluster,distinctiveness_cluster
"Art, design, crafts",AI_USE,NOUN,artist,49,4098,10130,49,0.011546536039188244,0.004796976451206512,0.878399668517738
"Art, design, crafts",AI_USE,NOUN,author,1,4098,10130,1,0.0003498950314905528,0.0001453629227638337,0.878399668517738
"Art, design, crafts",AI_USE,NOUN,company,23,4098,10130,23,0.005481688826685328,0.0022773524566333946,0.878399668517738
"Art, design, crafts",AI_USE,NOUN,plot,1,4098,10130,1,0.0003498950314905528,0.0001453629227638337,0.878399668517738
"Art, design, crafts",AI_USE,NOUN,process,63,4098,10130,63,0.014812222999766736,0.00615369706366896,0.878399668517738
"Art, design, crafts",AI_USE,NOUN,version,1,4098,10130,1,0.0003498950314905528,0.0001453629227638337,0.878399668517738
"Art, design, crafts",AI_USE,NOUN,way,44,4098,10130,44,0.010380219267553068,0.004312433375327066,0.878399668517738
"Art, design, crafts",AI_USE,NOUN,time,99,4098,10130,99,0.023209703755540004,0.009642407210000968,0.8783996685177375
"Art, design, crafts",AI_USE,NOUN,admin,10,4098,10130,10,0.00244926522043387,0.001017540459346836,0.8783996685177371
"Art, design, crafts",AI_USE,NOUN,ai,522,4098,10130,522,0.1218801026358759,0.050634751429402075,0.8783996685177371
"Art, design, crafts",AI_USE,NOUN,amount,9,4098,10130,9,0.0022160018661068347,0.0009206318441709468,0.8783996685177371
"Art, design, crafts",AI_USE,NOUN,aspect,20,4098,10130,20,0.004781898763704222,0.0019866266111057272,0.8783996685177371
"Art, design, crafts",AI_USE,VERB,continue,19,4098,10130,19,0.004548635409377187,0.0018897179959298381,0.878399668517738
"Art, design, crafts",AI_USE,VERB,notice,1,4098,10130,1,0.0003498950314905528,0.0001453629227638337,0.878399668517738
"Art, design, crafts",AI_USE,VERB,point,23,4098,10130,23,0.005481688826685328,0.0022773524566333946,0.878399668517738
"Art, design, crafts",AI_USE,VERB,say,47,4098,10130,47,0.011080009330534173,0.004603159220854734,0.878399668517738
"Art, design, crafts",AI_USE,VERB,take,80,4098,10130,80,0.018777700023326335,0.007801143521659075,0.8783996685177375
"Art, design, crafts",AI_USE,VERB,act,4,4098,10130,4,0.0010496850944716584,0.0004360887682915011,0.8783996685177371
"Art, design, crafts",AI_USE,VERB,adapt,5,4098,10130,5,0.0012829484487986936,0.0005329973834673902,0.8783996685177371
"Art, design, crafts",AI_USE,VERB,affect,6,4098,10130,6,0.0015162118031257288,0.0006299059986432793,0.8783996685177371
"Art, design, crafts",AI_USE,VERB,ask,70,4098,10130,70,0.016445066480055982,0.006832057369900184,0.8783996685177371
"Art, design, crafts",AI_USE,VERB,automate,4,4098,10130,4,0.0010496850944716584,0.0004360887682915011,0.8783996685177371
"Art, design, crafts",AI_USE,VERB,avoid,6,4098,10130,6,0.0015162118031257288,0.0006299059986432793,0.8783996685177371
"Art, design, crafts",AI_USE,VERB,become,21,4098,10130,21,0.005015162118031258,0.0020835352262816163,0.8783996685177371
"Art, design, crafts",AUTHORSHIP,NOUN,ability,15,3702,10130,15,0.00398355178617322,0.0015020835352262817,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,article,1,3702,10130,1,0.00038550501156515033,0.0001453629227638337,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,content,44,3702,10130,44,0.011436648676432794,0.004312433375327066,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,element,22,3702,10130,22,0.005782575173477255,0.0021804438414575055,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,event,15,3702,10130,15,0.00398355178617322,0.0015020835352262817,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,field,23,3702,10130,23,0.0060395785145206885,0.0022773524566333946,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,film,11,3702,10130,11,0.002955538421999486,0.001114449074522725,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,human,39,3702,10130,39,0.010151631971215627,0.003827890299447621,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,line,15,3702,10130,15,0.00398355178617322,0.0015020835352262817,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,photo,31,3702,10130,31,0.008095605242868157,0.003052621378040508,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,picture,15,3702,10130,15,0.00398355178617322,0.0015020835352262817,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,NOUN,skill,22,3702,10130,22,0.005782575173477255,0.0021804438414575055,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,cut,11,3702,10130,11,0.002955538421999486,0.001114449074522725,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,draw,23,3702,10130,23,0.0060395785145206885,0.0022773524566333946,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,finish,15,3702,10130,15,0.00398355178617322,0.0015020835352262817,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,include,23,3702,10130,23,0.0060395785145206885,0.0022773524566333946,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,love,11,3702,10130,11,0.002955538421999486,0.001114449074522725,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,mix,1,3702,10130,1,0.00038550501156515033,0.0001453629227638337,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,paint,23,3702,10130,23,0.0060395785145206885,0.0022773524566333946,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,produce,19,3702,10130,19,0.0050115651503469544,0.0018897179959298381,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,publish,1,3702,10130,1,0.00038550501156515033,0.0001453629227638337,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,put,22,3702,10130,22,0.005782575173477255,0.0021804438414575055,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,remove,11,3702,10130,11,0.002955538421999486,0.001114449074522725,0.9753206621311614
"Art, design, crafts",AUTHORSHIP,VERB,show,15,3702,10130,15,0.00398355178617322,0.0015020835352262817,0.9753206621311614
"Art, design, crafts",CONTROL,NOUN,decision,19,378,10130,19,0.03439153439153439,0.0018897179959298381,2.901382831387963
