category,pos_group_cb,lemma,token_count
AI_USE,NOUN,ai,1531
AI_USE,NOUN,help,401
AI_USE,NOUN,creative,395
AI_USE,NOUN,time,352
AI_USE,NOUN,model,218
AI_USE,NOUN,need,218
AI_USE,NOUN,one,208
AI_USE,NOUN,process,204
AI_USE,NOUN,tool,194
AI_USE,NOUN,lot,188
AI_USE,NOUN,way,176
AI_USE,NOUN,research,157
AI_USE,NOUN,character,147
AI_USE,NOUN,example,136
AI_USE,NOUN,change,125
AI_USE,NOUN,edit,103
AI_USE,NOUN,writer,101
AI_USE,NOUN,client,100
AI_USE,NOUN,artist,89
AI_USE,NOUN,job,89
AI_USE,VERB,use,1019
AI_USE,VERB,do,952
AI_USE,VERB,help,401
AI_USE,VERB,feel,275
AI_USE,VERB,want,249
AI_USE,VERB,ask,243
AI_USE,VERB,take,241
AI_USE,VERB,see,226
AI_USE,VERB,generate,186
AI_USE,VERB,know,151
AI_USE,VERB,sound,149
AI_USE,VERB,say,146
AI_USE,VERB,provide,92
AI_USE,VERB,become,88
AI_USE,VERB,point,82
AI_USE,VERB,prompt,78
AI_USE,VERB,end,73
AI_USE,VERB,continue,64
AI_USE,VERB,check,61
AI_USE,VERB,understand,57
AUTHORSHIP,NOUN,work,569
AUTHORSHIP,NOUN,image,264
AUTHORSHIP,NOUN,thing,264
AUTHORSHIP,NOUN,project,250
AUTHORSHIP,NOUN,person,244
AUTHORSHIP,NOUN,writing,237
AUTHORSHIP,NOUN,design,177
AUTHORSHIP,NOUN,human,154
AUTHORSHIP,NOUN,story,141
AUTHORSHIP,NOUN,art,134
AUTHORSHIP,NOUN,video,134
AUTHORSHIP,NOUN,content,128
AUTHORSHIP,NOUN,book,126
AUTHORSHIP,NOUN,part,92
AUTHORSHIP,NOUN,novel,79
AUTHORSHIP,NOUN,scene,71
AUTHORSHIP,NOUN,word,70
AUTHORSHIP,NOUN,music,69
AUTHORSHIP,NOUN,piece,64
AUTHORSHIP,NOUN,draft,62
AUTHORSHIP,VERB,be,3934
AUTHORSHIP,VERB,work,569
AUTHORSHIP,VERB,create,310
AUTHORSHIP,VERB,write,310
AUTHORSHIP,VERB,go,218
AUTHORSHIP,VERB,need,218
AUTHORSHIP,VERB,design,177
AUTHORSHIP,VERB,change,125
AUTHORSHIP,VERB,edit,103
AUTHORSHIP,VERB,put,71
AUTHORSHIP,VERB,include,64
AUTHORSHIP,VERB,draft,62
AUTHORSHIP,VERB,read,61
AUTHORSHIP,VERB,produce,60
AUTHORSHIP,VERB,add,57
AUTHORSHIP,VERB,improve,56
AUTHORSHIP,VERB,involve,56
AUTHORSHIP,VERB,show,48
AUTHORSHIP,VERB,answer,42
AUTHORSHIP,VERB,draw,42
CONTROL,NOUN,question,112
CONTROL,NOUN,decision,80
CONTROL,NOUN,media,65
CONTROL,NOUN,flow,42
CONTROL,NOUN,control,37
CONTROL,NOUN,direction,37
CONTROL,NOUN,experience,35
CONTROL,NOUN,chat,26
CONTROL,VERB,make,403
CONTROL,VERB,let,73
CONTROL,VERB,drive,58
CONTROL,VERB,set,50
CONTROL,VERB,allow,49
CONTROL,VERB,lead,30
CONTROL,VERB,decide,29
CONTROL,VERB,choose,20
CONTROL,VERB,guide,20
CONTROL,VERB,pick,17
CONTROL,VERB,direct,15
CONTROL,VERB,manage,13
CONTROL,VERB,determine,11
IDEATION,NOUN,use,1019
IDEATION,NOUN,idea,440
IDEATION,NOUN,sound,149
IDEATION,NOUN,editing,91
IDEATION,NOUN,etc.,86
IDEATION,NOUN,style,81
IDEATION,NOUN,concept,59
IDEATION,NOUN,creativity,50
IDEATION,NOUN,outline,49
IDEATION,NOUN,inspiration,45
IDEATION,NOUN,area,44
IDEATION,NOUN,theme,42
IDEATION,NOUN,sort,38
IDEATION,NOUN,term,35
IDEATION,NOUN,blog,34
IDEATION,NOUN,feature,31
IDEATION,NOUN,marketing,31
IDEATION,NOUN,fact,28
IDEATION,NOUN,tone,28
IDEATION,NOUN,reader,27
IDEATION,VERB,have,1431
IDEATION,VERB,like,518
IDEATION,VERB,think,394
IDEATION,VERB,get,360
IDEATION,VERB,give,216
IDEATION,VERB,come,211
IDEATION,VERB,find,208
IDEATION,VERB,look,167
IDEATION,VERB,research,157
IDEATION,VERB,start,137
IDEATION,VERB,try,129
IDEATION,VERB,tell,93
IDEATION,VERB,keep,79
IDEATION,VERB,base,64
IDEATION,VERB,brainstorm,50
IDEATION,VERB,outline,49
IDEATION,VERB,learn,48
IDEATION,VERB,copy,45
IDEATION,VERB,develop,38
IDEATION,VERB,turn,35
