section,category,pos_group_cb,lemma,token_count
basic_job_description,AI_USE,NOUN,creative,45
basic_job_description,AI_USE,NOUN,edit,28
basic_job_description,AI_USE,NOUN,ai,27
basic_job_description,AI_USE,NOUN,client,26
basic_job_description,AI_USE,NOUN,lot,26
basic_job_description,AI_USE,NOUN,one,26
basic_job_description,AI_USE,NOUN,writer,26
basic_job_description,AI_USE,NOUN,help,25
basic_job_description,AI_USE,NOUN,research,25
basic_job_description,AI_USE,NOUN,time,23
basic_job_description,AI_USE,VERB,do,78
basic_job_description,AI_USE,VERB,use,52
basic_job_description,AI_USE,VERB,take,30
basic_job_description,AI_USE,VERB,help,25
basic_job_description,AI_USE,VERB,depend,14
basic_job_description,AI_USE,VERB,focus,14
basic_job_description,AI_USE,VERB,run,12
basic_job_description,AI_USE,VERB,sound,11
basic_job_description,AI_USE,VERB,record,10
basic_job_description,AI_USE,VERB,mean,8
basic_job_description,AUTHORSHIP,NOUN,work,122
basic_job_description,AUTHORSHIP,NOUN,project,110
basic_job_description,AUTHORSHIP,NOUN,design,57
basic_job_description,AUTHORSHIP,NOUN,writing,45
basic_job_description,AUTHORSHIP,NOUN,story,37
basic_job_description,AUTHORSHIP,NOUN,video,33
basic_job_description,AUTHORSHIP,NOUN,content,32
basic_job_description,AUTHORSHIP,NOUN,film,26
basic_job_description,AUTHORSHIP,NOUN,novel,25
basic_job_description,AUTHORSHIP,NOUN,book,24
basic_job_description,AUTHORSHIP,VERB,be,398
basic_job_description,AUTHORSHIP,VERB,work,122
basic_job_description,AUTHORSHIP,VERB,write,80
basic_job_description,AUTHORSHIP,VERB,create,61
basic_job_description,AUTHORSHIP,VERB,design,57
basic_job_description,AUTHORSHIP,VERB,involve,33
basic_job_description,AUTHORSHIP,VERB,edit,28
basic_job_description,AUTHORSHIP,VERB,go,18
basic_job_description,AUTHORSHIP,VERB,include,18
basic_job_description,AUTHORSHIP,VERB,need,17
basic_job_description,CONTROL,NOUN,media,20
basic_job_description,CONTROL,NOUN,flow,8
basic_job_description,CONTROL,NOUN,question,7
basic_job_description,CONTROL,NOUN,chat,3
basic_job_description,CONTROL,NOUN,direction,3
basic_job_description,CONTROL,NOUN,experience,2
basic_job_description,CONTROL,VERB,make,42
basic_job_description,CONTROL,VERB,set,8
basic_job_description,CONTROL,VERB,manage,4
basic_job_description,CONTROL,VERB,choose,3
basic_job_description,CONTROL,VERB,pick,3
basic_job_description,CONTROL,VERB,decide,2
basic_job_description,CONTROL,VERB,direct,2
basic_job_description,CONTROL,VERB,lead,2
basic_job_description,CONTROL,VERB,allow,1
basic_job_description,CONTROL,VERB,determine,1
basic_job_description,IDEATION,NOUN,use,52
basic_job_description,IDEATION,NOUN,idea,28
basic_job_description,IDEATION,NOUN,etc.,21
basic_job_description,IDEATION,NOUN,editing,19
basic_job_description,IDEATION,NOUN,blog,15
basic_job_description,IDEATION,NOUN,marketing,11
basic_job_description,IDEATION,NOUN,sound,11
basic_job_description,IDEATION,NOUN,style,11
basic_job_description,IDEATION,NOUN,outline,9
basic_job_description,IDEATION,NOUN,area,8
basic_job_description,IDEATION,VERB,have,116
basic_job_description,IDEATION,VERB,like,31
basic_job_description,IDEATION,VERB,research,25
basic_job_description,IDEATION,VERB,start,22
basic_job_description,IDEATION,VERB,come,20
basic_job_description,IDEATION,VERB,get,13
basic_job_description,IDEATION,VERB,think,12
basic_job_description,IDEATION,VERB,try,12
basic_job_description,IDEATION,VERB,give,11
basic_job_description,IDEATION,VERB,develop,9
changed_aspects,AI_USE,NOUN,ai,146
changed_aspects,AI_USE,NOUN,time,79
changed_aspects,AI_USE,NOUN,help,67
changed_aspects,AI_USE,NOUN,creative,58
changed_aspects,AI_USE,NOUN,change,44
changed_aspects,AI_USE,NOUN,process,40
changed_aspects,AI_USE,NOUN,research,29
changed_aspects,AI_USE,NOUN,lot,24
changed_aspects,AI_USE,NOUN,way,23
changed_aspects,AI_USE,NOUN,model,21
changed_aspects,AI_USE,VERB,do,111
changed_aspects,AI_USE,VERB,use,105
changed_aspects,AI_USE,VERB,help,67
changed_aspects,AI_USE,VERB,feel,55
changed_aspects,AI_USE,VERB,take,38
changed_aspects,AI_USE,VERB,say,27
changed_aspects,AI_USE,VERB,spend,23
changed_aspects,AI_USE,VERB,know,18
changed_aspects,AI_USE,VERB,generate,17
changed_aspects,AI_USE,VERB,save,16
changed_aspects,AUTHORSHIP,NOUN,work,77
changed_aspects,AUTHORSHIP,NOUN,thing,38
changed_aspects,AUTHORSHIP,NOUN,image,36
changed_aspects,AUTHORSHIP,NOUN,writing,32
changed_aspects,AUTHORSHIP,NOUN,project,19
changed_aspects,AUTHORSHIP,NOUN,person,18
changed_aspects,AUTHORSHIP,NOUN,book,16
