category,agent_class,subject_lemma,edge_count
AI_USE,AI,ai,175
AI_USE,AI,model,27
AI_USE,AI,assistant,3
AI_USE,AI,tool,3
AI_USE,AI,chatgpt,2
AI_USE,AI,llm,1
AI_USE,AI,system,1
AI_USE,HUMAN,person,31
AI_USE,HUMAN,client,6
AI_USE,HUMAN,writer,6
AI_USE,HUMAN,designer,5
AI_USE,HUMAN,artist,3
AI_USE,HUMAN,author,3
AI_USE,HUMAN,human,3
AI_USE,OTHER,project,13
AI_USE,OTHER,lot,9
AI_USE,OTHER,use,8
AI_USE,OTHER,process,7
AI_USE,OTHER,work,7
AI_USE,OTHER,character,5
AI_USE,OTHER,scene,5
AI_USE,OTHER,writing,5
AI_USE,OTHER,business,4
AI_USE,OTHER,one,4
AI_USE,OTHER,thing,4
AI_USE,OTHER,collaboration,3
AI_USE,OTHER,company,3
AI_USE,OTHER,get,3
AI_USE,OTHER,have,3
AI_USE,OTHER,job,3
AI_USE,OTHER,reader,3
AI_USE,OTHER,search,3
AI_USE,OTHER,time,3
AI_USE,OTHER,concept,2
AI_USE,OTHER,conversation,2
AI_USE,OTHER,event,2
AI_USE,OTHER,film,2
AI_USE,OTHER,idea,2
AI_USE,OTHER,output,2
AI_USE,OTHER,part,2
AI_USE,OTHER,piece,2
AI_USE,OTHER,plan,2
AI_USE,OTHER,prompt,2
AI_USE,OTHER,show,2
AI_USE,OTHER,style,2
AI_USE,OTHER,text,2
AI_USE,OTHER,write,2
AI_USE,OTHER,amount,1
AI_USE,OTHER,answer,1
AI_USE,OTHER,art,1
AI_USE,OTHER,article,1
AI_USE,OTHER,aspect,1
AI_USE,OTHER,blog,1
AI_USE,OTHER,change,1
AI_USE,OTHER,content,1
AI_USE,OTHER,description,1
AI_USE,OTHER,detail,1
AI_USE,OTHER,do,1
AI_USE,OTHER,draw,1
AI_USE,OTHER,element,1
AI_USE,OTHER,example,1
AI_USE,OTHER,expand,1
AI_USE,OTHER,experience,1
AI_USE,OTHER,field,1
AI_USE,OTHER,find,1
AI_USE,OTHER,flow,1
AI_USE,OTHER,generate,1
AI_USE,OTHER,generation,1
AI_USE,OTHER,go,1
AI_USE,OTHER,image,1
AI_USE,OTHER,industry,1
AI_USE,OTHER,information,1
AI_USE,OTHER,inspiration,1
AI_USE,OTHER,keep,1
AI_USE,OTHER,know,1
AI_USE,OTHER,line,1
AI_USE,OTHER,look,1
AI_USE,OTHER,market,1
AI_USE,OTHER,moment,1
AI_USE,OTHER,name,1
AI_USE,OTHER,novel,1
AI_USE,OTHER,outline,1
AI_USE,OTHER,partner,1
AI_USE,OTHER,perspective,1
AI_USE,OTHER,quality,1
AI_USE,OTHER,question,1
AI_USE,OTHER,research,1
AI_USE,OTHER,response,1
AI_USE,OTHER,result,1
AI_USE,OTHER,role,1
AI_USE,OTHER,service,1
AI_USE,OTHER,shift,1
AI_USE,OTHER,side,1
AI_USE,OTHER,space,1
AI_USE,OTHER,story,1
AI_USE,OTHER,task,1
AI_USE,OTHER,version,1
AI_USE,OTHER,voice,1
AI_USE,OTHER,world,1
AUTHORSHIP,AI,ai,58
AUTHORSHIP,AI,model,12
AUTHORSHIP,AI,tool,7
AUTHORSHIP,AI,llm,3
AUTHORSHIP,AI,assistant,1
AUTHORSHIP,HUMAN,person,19
AUTHORSHIP,HUMAN,human,6
AUTHORSHIP,HUMAN,client,4
AUTHORSHIP,HUMAN,author,3
AUTHORSHIP,HUMAN,writer,2
AUTHORSHIP,HUMAN,artist,1
AUTHORSHIP,HUMAN,designer,1
AUTHORSHIP,OTHER,project,20
AUTHORSHIP,OTHER,lot,18
AUTHORSHIP,OTHER,time,8
AUTHORSHIP,OTHER,way,7
AUTHORSHIP,OTHER,job,6
AUTHORSHIP,OTHER,work,6
AUTHORSHIP,OTHER,concern,5
AUTHORSHIP,OTHER,skill,5
AUTHORSHIP,OTHER,creativity,4
AUTHORSHIP,OTHER,number,4
AUTHORSHIP,OTHER,use,4
AUTHORSHIP,OTHER,ability,3
AUTHORSHIP,OTHER,aspect,3
AUTHORSHIP,OTHER,bit,3
AUTHORSHIP,OTHER,company,3
AUTHORSHIP,OTHER,image,3
AUTHORSHIP,OTHER,one,3
AUTHORSHIP,OTHER,process,3
AUTHORSHIP,OTHER,thing,3
AUTHORSHIP,OTHER,writing,3
AUTHORSHIP,OTHER,collaboration,2
AUTHORSHIP,OTHER,content,2
AUTHORSHIP,OTHER,create,2
AUTHORSHIP,OTHER,example,2
AUTHORSHIP,OTHER,film,2
AUTHORSHIP,OTHER,generation,2
AUTHORSHIP,OTHER,have,2
AUTHORSHIP,OTHER,kind,2
AUTHORSHIP,OTHER,level,2
AUTHORSHIP,OTHER,output,2
AUTHORSHIP,OTHER,photo,2
AUTHORSHIP,OTHER,point,2
AUTHORSHIP,OTHER,quality,2
AUTHORSHIP,OTHER,research,2
AUTHORSHIP,OTHER,scene,2
AUTHORSHIP,OTHER,story,2
AUTHORSHIP,OTHER,video,2
AUTHORSHIP,OTHER,add,1
AUTHORSHIP,OTHER,area,1
AUTHORSHIP,OTHER,art,1
AUTHORSHIP,OTHER,asset,1
AUTHORSHIP,OTHER,blog,1
AUTHORSHIP,OTHER,business,1
AUTHORSHIP,OTHER,concept,1
AUTHORSHIP,OTHER,conversation,1
AUTHORSHIP,OTHER,creation,1
AUTHORSHIP,OTHER,creative,1
AUTHORSHIP,OTHER,cut,1
AUTHORSHIP,OTHER,detail,1
AUTHORSHIP,OTHER,develop,1
AUTHORSHIP,OTHER,direction,1
AUTHORSHIP,OTHER,edit,1
AUTHORSHIP,OTHER,editing,1
AUTHORSHIP,OTHER,flow,1
AUTHORSHIP,OTHER,follow,1
AUTHORSHIP,OTHER,gap,1
AUTHORSHIP,OTHER,idea,1
AUTHORSHIP,OTHER,information,1
AUTHORSHIP,OTHER,issue,1
AUTHORSHIP,OTHER,let,1
AUTHORSHIP,OTHER,line,1
AUTHORSHIP,OTHER,list,1
AUTHORSHIP,OTHER,market,1
AUTHORSHIP,OTHER,media,1
AUTHORSHIP,OTHER,music,1
AUTHORSHIP,OTHER,part,1
AUTHORSHIP,OTHER,piece,1
AUTHORSHIP,OTHER,place,1
AUTHORSHIP,OTHER,plan,1
AUTHORSHIP,OTHER,problem,1
AUTHORSHIP,OTHER,product,1
AUTHORSHIP,OTHER,prompt,1
AUTHORSHIP,OTHER,push,1
AUTHORSHIP,OTHER,question,1
AUTHORSHIP,OTHER,reader,1
AUTHORSHIP,OTHER,reference,1
AUTHORSHIP,OTHER,rely,1
AUTHORSHIP,OTHER,response,1
AUTHORSHIP,OTHER,role,1
AUTHORSHIP,OTHER,sense,1
AUTHORSHIP,OTHER,show,1
AUTHORSHIP,OTHER,spark,1
AUTHORSHIP,OTHER,step,1
AUTHORSHIP,OTHER,stuff,1
AUTHORSHIP,OTHER,style,1
AUTHORSHIP,OTHER,suggestion,1
AUTHORSHIP,OTHER,term,1
AUTHORSHIP,OTHER,theme,1
AUTHORSHIP,OTHER,topic,1
AUTHORSHIP,OTHER,type,1
AUTHORSHIP,OTHER,week,1
AUTHORSHIP,OTHER,world,1
AUTHORSHIP,OTHER,worry,1
AUTHORSHIP,OTHER,write,1
AUTHORSHIP,OTHER,year,1
CONTROL,AI,ai,29
CONTROL,AI,model,3
CONTROL,AI,llm,2
CONTROL,HUMAN,person,2
CONTROL,HUMAN,writer,1
CONTROL,OTHER,use,8
CONTROL,OTHER,question,4
CONTROL,OTHER,company,2
CONTROL,OTHER,decision,2
CONTROL,OTHER,have,2
CONTROL,OTHER,one,2
CONTROL,OTHER,suggestion,2
CONTROL,OTHER,ability,1
CONTROL,OTHER,book,1
CONTROL,OTHER,design,1
CONTROL,OTHER,do,1
CONTROL,OTHER,experience,1
CONTROL,OTHER,get,1
CONTROL,OTHER,information,1
CONTROL,OTHER,media,1
CONTROL,OTHER,novel,1
CONTROL,OTHER,picture,1
CONTROL,OTHER,plot,1
CONTROL,OTHER,project,1
CONTROL,OTHER,put,1
