category,agent_class,subject_lemma,edge_count
AI_USE,AI,ai,175
AI_USE,AI,model,27
AI_USE,AI,assistant,3
AI_USE,AI,tool,3
AI_USE,AI,chatgpt,2
AI_USE,AI,llm,1
AI_USE,AI,system,1
AI_USE,HUMAN,person,31
AI_USE,HUMAN,client,6
AI_USE,HUMAN,writer,6
AI_USE,HUMAN,designer,5
AI_USE,HUMAN,artist,3
AI_USE,HUMAN,author,3
AI_USE,HUMAN,human,3
AI_USE,OTHER,project,13
AI_USE,OTHER,lot,9
AI_USE,OTHER,use,8
AI_USE,OTHER,process,7
AI_USE,OTHER,work,7
AI_USE,OTHER,character,5
AI_USE,OTHER,scene,5
AI_USE,OTHER,writing,5
AI_USE,OTHER,business,4
AI_USE,OTHER,one,4
AI_USE,OTHER,thing,4
AI_USE,OTHER,collaboration,3
AI_USE,OTHER,company,3
AI_USE,OTHER,get,3
AI_USE,OTHER,have,3
AUTHORSHIP,AI,ai,58
AUTHORSHIP,AI,model,12
AUTHORSHIP,AI,tool,7
AUTHORSHIP,AI,llm,3
AUTHORSHIP,AI,assistant,1
AUTHORSHIP,HUMAN,person,19
AUTHORSHIP,HUMAN,human,6
AUTHORSHIP,HUMAN,client,4
AUTHORSHIP,HUMAN,author,3
AUTHORSHIP,HUMAN,writer,2
AUTHORSHIP,HUMAN,artist,1
AUTHORSHIP,HUMAN,designer,1
AUTHORSHIP,OTHER,project,20
AUTHORSHIP,OTHER,lot,18
AUTHORSHIP,OTHER,time,8
AUTHORSHIP,OTHER,way,7
AUTHORSHIP,OTHER,job,6
AUTHORSHIP,OTHER,work,6
AUTHORSHIP,OTHER,concern,5
AUTHORSHIP,OTHER,skill,5
AUTHORSHIP,OTHER,creativity,4
AUTHORSHIP,OTHER,number,4
AUTHORSHIP,OTHER,use,4
AUTHORSHIP,OTHER,ability,3
AUTHORSHIP,OTHER,aspect,3
AUTHORSHIP,OTHER,bit,3
AUTHORSHIP,OTHER,company,3
CONTROL,AI,ai,29
CONTROL,AI,model,3
CONTROL,AI,llm,2
CONTROL,HUMAN,person,2
CONTROL,HUMAN,writer,1
CONTROL,OTHER,use,8
CONTROL,OTHER,question,4
CONTROL,OTHER,company,2
CONTROL,OTHER,decision,2
CONTROL,OTHER,have,2
CONTROL,OTHER,one,2
CONTROL,OTHER,suggestion,2
CONTROL,OTHER,ability,1
CONTROL,OTHER,book,1
CONTROL,OTHER,design,1
CONTROL,OTHER,do,1
CONTROL,OTHER,experience,1
CONTROL,OTHER,get,1
CONTROL,OTHER,information,1
CONTROL,OTHER,media,1
IDEATION,AI,ai,61
IDEATION,AI,model,18
IDEATION,AI,tool,6
IDEATION,AI,assistant,2
IDEATION,AI,llm,2
IDEATION,AI,chatgpt,1
IDEATION,HUMAN,person,30
IDEATION,HUMAN,client,6
IDEATION,HUMAN,human,5
IDEATION,HUMAN,author,4
IDEATION,HUMAN,artist,2
IDEATION,HUMAN,writer,1
IDEATION,OTHER,image,6
IDEATION,OTHER,project,5
IDEATION,OTHER,work,5
IDEATION,OTHER,company,4
IDEATION,OTHER,one,4
IDEATION,OTHER,process,4
IDEATION,OTHER,art,3
IDEATION,OTHER,idea,3
IDEATION,OTHER,thing,3
IDEATION,OTHER,video,3
IDEATION,OTHER,book,2
IDEATION,OTHER,character,2
IDEATION,OTHER,element,2
IDEATION,OTHER,example,2
IDEATION,OTHER,generation,2
