transcript_id,section,sent_id,dep_word_id,head,deprel,dep_lemma,dep_text,verb_word_id,verb_lemma,verb_category,edge_role,group,long_cluster
creativity_0000,intro,2,1,2,nsubj,i,I,2,think,IDEATION,SUBJECT,Audiovisual,4
creativity_0000,intro,3,2,1,obj,we,'s,1,let,CONTROL,OBJECT,Audiovisual,4
creativity_0000,basic_job_description,2,3,4,nsubj,i,I,4,write,AUTHORSHIP,SUBJECT,Audiovisual,4
creativity_0000,basic_job_description,2,5,4,obj,music,music,4,write,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0000,basic_job_description,3,1,3,nsubj,i,I,3,write,AUTHORSHIP,SUBJECT,Audiovisual,4
creativity_0000,basic_job_description,3,5,3,obj,piece,pieces,3,write,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0000,walkthrough,1,1,2,nsubj,i,I,2,use,AI_USE,SUBJECT,Audiovisual,4
creativity_0000,walkthrough,1,4,2,obj,tool,tools,2,use,AI_USE,OBJECT,Audiovisual,4
creativity_0000,walkthrough,1,10,8,obj,question,questions,8,ask,AI_USE,OBJECT,Audiovisual,4
creativity_0000,walkthrough,2,5,7,nsubj,i,I,7,use,AI_USE,SUBJECT,Audiovisual,4
creativity_0000,walkthrough,2,10,7,obj,learning,learning,7,use,AI_USE,OBJECT,Audiovisual,4
creativity_0000,project_example,1,8,11,nsubj,i,I,11,use,AI_USE,SUBJECT,Audiovisual,4
creativity_0000,project_example,1,12,11,obj,ai,AI,11,use,AI_USE,OBJECT,Audiovisual,4
creativity_0000,project_example,3,2,5,nsubj,i,I,5,ask,AI_USE,SUBJECT,Audiovisual,4
creativity_0000,project_example,3,6,5,iobj,ai,AI,5,ask,AI_USE,OBJECT,Audiovisual,4
creativity_0000,project_example,3,12,9,obj,essay,essay,9,write,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0000,dynamic,1,6,7,nsubj,it,it,7,help,AI_USE,SUBJECT,Audiovisual,4
creativity_0000,dynamic,1,8,7,obj,i,me,7,help,AI_USE,OBJECT,Audiovisual,4
creativity_0000,dynamic,1,12,9,obj,perspective,perspective,9,refine,IDEATION,OBJECT,Audiovisual,4
creativity_0000,dynamic,2,13,11,obj,connection,connections,11,suggest,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0000,changed_aspects,3,14,15,nsubj,i,I,15,imagine,IDEATION,SUBJECT,Audiovisual,4
creativity_0000,concerns,2,8,9,nsubj,ai,AI,9,generate,AUTHORSHIP,SUBJECT,Audiovisual,4
creativity_0000,concerns,2,10,9,obj,music,music,9,generate,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0000,concerns,3,24,22,obj,music,music,22,generate,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0000,future,3,8,7,obj,i,me,7,help,AI_USE,OBJECT,Audiovisual,4
creativity_0000,future,3,11,9,obj,idea,ideas,9,refine,IDEATION,OBJECT,Audiovisual,4
creativity_0000,extra_comments,1,1,4,nsubj,i,I,4,think,IDEATION,SUBJECT,Audiovisual,4
creativity_0001,intro,1,2,1,obj,we,'s,1,let,CONTROL,OBJECT,Audiovisual,4
creativity_0001,basic_job_description,5,13,9,obj,music,music,9,produce,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0001,walkthrough,1,1,3,nsubj,i,I,3,use,AI_USE,SUBJECT,Audiovisual,4
creativity_0001,walkthrough,1,4,3,obj,it,it,3,use,AI_USE,OBJECT,Audiovisual,4
creativity_0001,walkthrough,3,8,10,nsubj,i,me,10,write,AUTHORSHIP,SUBJECT,Audiovisual,4
creativity_0001,walkthrough,3,12,10,obj,instrumental,instrumentals,10,write,AUTHORSHIP,OBJECT,Audiovisual,4
creativity_0001,walkthrough,4,11,13,nsubj,i,I,13,ask,AI_USE,SUBJECT,Audiovisual,4
creativity_0001,walkthrough,4,14,13,iobj,chatgpt,ChatGPT,13,ask,AI_USE,OBJECT,Audiovisual,4
creativity_0001,walkthrough,5,2,13,csubj,get,getting,13,lead,CONTROL,SUBJECT,Audiovisual,4
creativity_0001,project_example,3,2,3,nsubj,i,I,3,tell,AI_USE,SUBJECT,Audiovisual,4
creativity_0001,project_example,3,4,3,iobj,chatgpt,ChatGPT,3,tell,AI_USE,OBJECT,Audiovisual,4
