verb_category,agent_class,edge_count,total,share
AI_USE,AI,68,1230,0.055284552845528454
AI_USE,HUMAN,886,1230,0.7203252032520325
AI_USE,OTHER,276,1230,0.22439024390243903
AUTHORSHIP,AI,39,371,0.10512129380053908
AUTHORSHIP,HUMAN,241,371,0.6495956873315364
AUTHORSHIP,OTHER,91,371,0.24528301886792453
CONTROL,AI,16,269,0.05947955390334572
CONTROL,HUMAN,162,269,0.6022304832713755
CONTROL,OTHER,91,269,0.3382899628252788
IDEATION,AI,1,392,0.002551020408163265
IDEATION,HUMAN,374,392,0.9540816326530612
IDEATION,OTHER,17,392,0.04336734693877551
