verb_category,cluster,agent_class,edge_count,total,share
AI_USE,"Art, design, crafts",AI,20,399,0.05012531328320802
AI_USE,"Art, design, crafts",HUMAN,291,399,0.7293233082706767
AI_USE,"Art, design, crafts",OTHER,88,399,0.22055137844611528
AI_USE,Audiovisual,AI,3,137,0.021897810218978103
AI_USE,Audiovisual,HUMAN,96,137,0.7007299270072993
AI_USE,Audiovisual,OTHER,38,137,0.2773722627737226
AI_USE,Content writing,AI,14,202,0.06930693069306931
AI_USE,Content writing,HUMAN,147,202,0.7277227722772277
AI_USE,Content writing,OTHER,41,202,0.20297029702970298
AI_USE,Fiction writing,AI,22,335,0.06567164179104477
AI_USE,Fiction writing,HUMAN,236,335,0.7044776119402985
AI_USE,Fiction writing,OTHER,77,335,0.2298507462686567
AI_USE,Mix,AI,9,157,0.05732484076433121
AI_USE,Mix,HUMAN,116,157,0.7388535031847133
AI_USE,Mix,OTHER,32,157,0.20382165605095542
AUTHORSHIP,"Art, design, crafts",AI,11,123,0.08943089430894309
AUTHORSHIP,"Art, design, crafts",HUMAN,77,123,0.6260162601626016
AUTHORSHIP,"Art, design, crafts",OTHER,35,123,0.2845528455284553
AUTHORSHIP,Audiovisual,AI,2,37,0.05405405405405406
AUTHORSHIP,Audiovisual,HUMAN,29,37,0.7837837837837838
AUTHORSHIP,Audiovisual,OTHER,6,37,0.16216216216216217
AUTHORSHIP,Content writing,AI,4,62,0.06451612903225806
AUTHORSHIP,Content writing,HUMAN,45,62,0.7258064516129032
AUTHORSHIP,Content writing,OTHER,13,62,0.20967741935483872
AUTHORSHIP,Fiction writing,AI,14,114,0.12280701754385964
AUTHORSHIP,Fiction writing,HUMAN,76,114,0.6666666666666666
AUTHORSHIP,Fiction writing,OTHER,24,114,0.21052631578947367
AUTHORSHIP,Mix,AI,8,35,0.22857142857142856
AUTHORSHIP,Mix,HUMAN,14,35,0.4
AUTHORSHIP,Mix,OTHER,13,35,0.37142857142857144
CONTROL,"Art, design, crafts",AI,9,90,0.1
CONTROL,"Art, design, crafts",HUMAN,44,90,0.4888888888888889
CONTROL,"Art, design, crafts",OTHER,37,90,0.4111111111111111
CONTROL,Audiovisual,AI,1,30,0.03333333333333333
CONTROL,Audiovisual,HUMAN,20,30,0.6666666666666666
CONTROL,Audiovisual,OTHER,9,30,0.3
CONTROL,Content writing,AI,1,41,0.024390243902439025
CONTROL,Content writing,HUMAN,30,41,0.7317073170731707
CONTROL,Content writing,OTHER,10,41,0.24390243902439024
CONTROL,Fiction writing,AI,2,65,0.03076923076923077
CONTROL,Fiction writing,HUMAN,39,65,0.6
CONTROL,Fiction writing,OTHER,24,65,0.36923076923076925
CONTROL,Mix,AI,3,43,0.06976744186046512
CONTROL,Mix,HUMAN,29,43,0.6744186046511628
CONTROL,Mix,OTHER,11,43,0.2558139534883721
IDEATION,"Art, design, crafts",HUMAN,110,111,0.990990990990991
IDEATION,"Art, design, crafts",OTHER,1,111,0.009009009009009009
IDEATION,Audiovisual,HUMAN,49,51,0.9607843137254902
IDEATION,Audiovisual,OTHER,2,51,0.0392156862745098
IDEATION,Content writing,HUMAN,67,71,0.9436619718309859
IDEATION,Content writing,OTHER,4,71,0.056338028169014086
IDEATION,Fiction writing,AI,1,108,0.009259259259259259
IDEATION,Fiction writing,HUMAN,100,108,0.9259259259259259
IDEATION,Fiction writing,OTHER,7,108,0.06481481481481481
IDEATION,Mix,HUMAN,48,51,0.9411764705882353
IDEATION,Mix,OTHER,3,51,0.058823529411764705
