verb_category,section,agent_class,edge_count,total,share
AI_USE,basic_job_description,AI,4,55,0.07272727272727272
AI_USE,basic_job_description,HUMAN,41,55,0.7454545454545455
AI_USE,basic_job_description,OTHER,10,55,0.18181818181818182
AI_USE,changed_aspects,AI,15,143,0.1048951048951049
AI_USE,changed_aspects,HUMAN,78,143,0.5454545454545454
AI_USE,changed_aspects,OTHER,50,143,0.34965034965034963
AI_USE,concerns,AI,4,104,0.038461538461538464
AI_USE,concerns,HUMAN,56,104,0.5384615384615384
AI_USE,concerns,OTHER,44,104,0.4230769230769231
AI_USE,dynamic,AI,12,135,0.08888888888888889
AI_USE,dynamic,HUMAN,97,135,0.7185185185185186
AI_USE,dynamic,OTHER,26,135,0.1925925925925926
AI_USE,extra_comments,HUMAN,17,25,0.68
AI_USE,extra_comments,OTHER,8,25,0.32
AI_USE,future,AI,5,112,0.044642857142857144
AI_USE,future,HUMAN,82,112,0.7321428571428571
AI_USE,future,OTHER,25,112,0.22321428571428573
AI_USE,project_example,AI,12,262,0.04580152671755725
AI_USE,project_example,HUMAN,189,262,0.7213740458015268
AI_USE,project_example,OTHER,61,262,0.23282442748091603
AI_USE,walkthrough,AI,16,394,0.04060913705583756
AI_USE,walkthrough,HUMAN,326,394,0.8274111675126904
AI_USE,walkthrough,OTHER,52,394,0.1319796954314721
AUTHORSHIP,basic_job_description,HUMAN,85,96,0.8854166666666666
AUTHORSHIP,basic_job_description,OTHER,11,96,0.11458333333333333
AUTHORSHIP,changed_aspects,HUMAN,16,28,0.5714285714285714
AUTHORSHIP,changed_aspects,OTHER,12,28,0.42857142857142855
AUTHORSHIP,concerns,AI,13,51,0.2549019607843137
AUTHORSHIP,concerns,HUMAN,17,51,0.3333333333333333
AUTHORSHIP,concerns,OTHER,21,51,0.4117647058823529
AUTHORSHIP,dynamic,AI,5,29,0.1724137931034483
AUTHORSHIP,dynamic,HUMAN,17,29,0.5862068965517241
AUTHORSHIP,dynamic,OTHER,7,29,0.2413793103448276
AUTHORSHIP,extra_comments,AI,2,11,0.18181818181818182
AUTHORSHIP,extra_comments,HUMAN,6,11,0.5454545454545454
AUTHORSHIP,extra_comments,OTHER,3,11,0.2727272727272727
AUTHORSHIP,future,AI,6,22,0.2727272727272727
AUTHORSHIP,future,HUMAN,8,22,0.36363636363636365
AUTHORSHIP,future,OTHER,8,22,0.36363636363636365
AUTHORSHIP,intro,HUMAN,1,1,1.0
AUTHORSHIP,project_example,AI,7,72,0.09722222222222222
AUTHORSHIP,project_example,HUMAN,44,72,0.6111111111111112
AUTHORSHIP,project_example,OTHER,21,72,0.2916666666666667
AUTHORSHIP,walkthrough,AI,6,61,0.09836065573770492
AUTHORSHIP,walkthrough,HUMAN,47,61,0.7704918032786885
AUTHORSHIP,walkthrough,OTHER,8,61,0.13114754098360656
CONTROL,basic_job_description,HUMAN,14,20,0.7
CONTROL,basic_job_description,OTHER,6,20,0.3
CONTROL,changed_aspects,AI,4,25,0.16
CONTROL,changed_aspects,HUMAN,9,25,0.36
CONTROL,changed_aspects,OTHER,12,25,0.48
CONTROL,concerns,AI,3,49,0.061224489795918366
CONTROL,concerns,HUMAN,30,49,0.6122448979591837
CONTROL,concerns,OTHER,16,49,0.32653061224489793
CONTROL,dynamic,AI,5,76,0.06578947368421052
CONTROL,dynamic,HUMAN,57,76,0.75
CONTROL,dynamic,OTHER,14,76,0.18421052631578946
CONTROL,extra_comments,HUMAN,1,2,0.5
CONTROL,extra_comments,OTHER,1,2,0.5
CONTROL,future,AI,1,24,0.041666666666666664
CONTROL,future,HUMAN,15,24,0.625
CONTROL,future,OTHER,8,24,0.3333333333333333
CONTROL,intro,HUMAN,1,5,0.2
CONTROL,intro,OTHER,4,5,0.8
CONTROL,project_example,AI,2,38,0.05263157894736842
CONTROL,project_example,HUMAN,17,38,0.4473684210526316
CONTROL,project_example,OTHER,19,38,0.5
CONTROL,walkthrough,AI,1,30,0.03333333333333333
CONTROL,walkthrough,HUMAN,18,30,0.6
CONTROL,walkthrough,OTHER,11,30,0.36666666666666664
IDEATION,basic_job_description,HUMAN,13,17,0.7647058823529411
IDEATION,basic_job_description,OTHER,4,17,0.23529411764705882
IDEATION,changed_aspects,HUMAN,46,46,1.0
IDEATION,concerns,HUMAN,72,75,0.96
IDEATION,concerns,OTHER,3,75,0.04
IDEATION,dynamic,HUMAN,36,42,0.8571428571428571
IDEATION,dynamic,OTHER,6,42,0.14285714285714285
IDEATION,extra_comments,HUMAN,47,47,1.0
IDEATION,future,HUMAN,99,100,0.99
IDEATION,future,OTHER,1,100,0.01
IDEATION,intro,HUMAN,5,5,1.0
IDEATION,project_example,AI,1,37,0.02702702702702703
IDEATION,project_example,HUMAN,33,37,0.8918918918918919
IDEATION,project_example,OTHER,3,37,0.08108108108108109
IDEATION,walkthrough,HUMAN,23,23,1.0
