verb_category,section,cluster,agent_class,edge_count,total,share
AI_USE,basic_job_description,"Art, design, crafts",HUMAN,6,7,0.8571428571428571
AI_USE,basic_job_description,"Art, design, crafts",OTHER,1,7,0.14285714285714285
AI_USE,basic_job_description,Audiovisual,HUMAN,2,2,1.0
AI_USE,basic_job_description,Content writing,HUMAN,2,3,0.6666666666666666
AI_USE,basic_job_description,Content writing,OTHER,1,3,0.3333333333333333
AI_USE,basic_job_description,Fiction writing,HUMAN,5,8,0.625
AI_USE,basic_job_description,Fiction writing,OTHER,3,8,0.375
AI_USE,basic_job_description,Mix,AI,4,35,0.11428571428571428
AI_USE,basic_job_description,Mix,HUMAN,26,35,0.7428571428571429
AI_USE,basic_job_description,Mix,OTHER,5,35,0.14285714285714285
AI_USE,changed_aspects,"Art, design, crafts",AI,4,42,0.09523809523809523
AI_USE,changed_aspects,"Art, design, crafts",HUMAN,26,42,0.6190476190476191
AI_USE,changed_aspects,"Art, design, crafts",OTHER,12,42,0.2857142857142857
AI_USE,changed_aspects,Audiovisual,HUMAN,6,13,0.46153846153846156
AI_USE,changed_aspects,Audiovisual,OTHER,7,13,0.5384615384615384
AI_USE,changed_aspects,Content writing,AI,6,40,0.15
AI_USE,changed_aspects,Content writing,HUMAN,19,40,0.475
AI_USE,changed_aspects,Content writing,OTHER,15,40,0.375
AI_USE,changed_aspects,Fiction writing,AI,5,31,0.16129032258064516
AI_USE,changed_aspects,Fiction writing,HUMAN,16,31,0.5161290322580645
AI_USE,changed_aspects,Fiction writing,OTHER,10,31,0.3225806451612903
AI_USE,changed_aspects,Mix,HUMAN,11,17,0.6470588235294118
AI_USE,changed_aspects,Mix,OTHER,6,17,0.35294117647058826
AI_USE,concerns,"Art, design, crafts",AI,3,34,0.08823529411764706
AI_USE,concerns,"Art, design, crafts",HUMAN,18,34,0.5294117647058824
AI_USE,concerns,"Art, design, crafts",OTHER,13,34,0.38235294117647056
AI_USE,concerns,Audiovisual,HUMAN,7,13,0.5384615384615384
AI_USE,concerns,Audiovisual,OTHER,6,13,0.46153846153846156
AI_USE,concerns,Content writing,HUMAN,6,12,0.5
AI_USE,concerns,Content writing,OTHER,6,12,0.5
AI_USE,concerns,Fiction writing,HUMAN,20,33,0.6060606060606061
AI_USE,concerns,Fiction writing,OTHER,13,33,0.3939393939393939
AI_USE,concerns,Mix,AI,1,12,0.08333333333333333
AI_USE,concerns,Mix,HUMAN,5,12,0.4166666666666667
AI_USE,concerns,Mix,OTHER,6,12,0.5
AI_USE,dynamic,"Art, design, crafts",AI,4,47,0.0851063829787234
AI_USE,dynamic,"Art, design, crafts",HUMAN,36,47,0.7659574468085106
AI_USE,dynamic,"Art, design, crafts",OTHER,7,47,0.14893617021276595
AI_USE,dynamic,Audiovisual,HUMAN,10,15,0.6666666666666666
AI_USE,dynamic,Audiovisual,OTHER,5,15,0.3333333333333333
AI_USE,dynamic,Content writing,AI,1,23,0.043478260869565216
AI_USE,dynamic,Content writing,HUMAN,18,23,0.782608695652174
AI_USE,dynamic,Content writing,OTHER,4,23,0.17391304347826086
AI_USE,dynamic,Fiction writing,AI,6,42,0.14285714285714285
AI_USE,dynamic,Fiction writing,HUMAN,28,42,0.6666666666666666
AI_USE,dynamic,Fiction writing,OTHER,8,42,0.19047619047619047
AI_USE,dynamic,Mix,AI,1,8,0.125
AI_USE,dynamic,Mix,HUMAN,5,8,0.625
AI_USE,dynamic,Mix,OTHER,2,8,0.25
AI_USE,extra_comments,"Art, design, crafts",HUMAN,7,8,0.875
AI_USE,extra_comments,"Art, design, crafts",OTHER,1,8,0.125
AI_USE,extra_comments,Audiovisual,HUMAN,3,5,0.6
AI_USE,extra_comments,Audiovisual,OTHER,2,5,0.4
AI_USE,extra_comments,Content writing,HUMAN,1,3,0.3333333333333333
AI_USE,extra_comments,Content writing,OTHER,2,3,0.6666666666666666
AI_USE,extra_comments,Fiction writing,HUMAN,4,6,0.6666666666666666
AI_USE,extra_comments,Fiction writing,OTHER,2,6,0.3333333333333333
AI_USE,extra_comments,Mix,HUMAN,2,3,0.6666666666666666
AI_USE,extra_comments,Mix,OTHER,1,3,0.3333333333333333
AI_USE,future,"Art, design, crafts",AI,2,32,0.0625
AI_USE,future,"Art, design, crafts",HUMAN,20,32,0.625
AI_USE,future,"Art, design, crafts",OTHER,10,32,0.3125
AI_USE,future,Audiovisual,HUMAN,8,13,0.6153846153846154
AI_USE,future,Audiovisual,OTHER,5,13,0.38461538461538464
AI_USE,future,Content writing,AI,2,16,0.125
AI_USE,future,Content writing,HUMAN,13,16,0.8125
AI_USE,future,Content writing,OTHER,1,16,0.0625
AI_USE,future,Fiction writing,AI,1,32,0.03125
AI_USE,future,Fiction writing,HUMAN,26,32,0.8125
AI_USE,future,Fiction writing,OTHER,5,32,0.15625
AI_USE,future,Mix,HUMAN,15,19,0.7894736842105263
AI_USE,future,Mix,OTHER,4,19,0.21052631578947367
AI_USE,project_example,"Art, design, crafts",AI,5,100,0.05
AI_USE,project_example,"Art, design, crafts",HUMAN,68,100,0.68
AI_USE,project_example,"Art, design, crafts",OTHER,27,100,0.27
AI_USE,project_example,Audiovisual,AI,2,34,0.058823529411764705
AI_USE,project_example,Audiovisual,HUMAN,26,34,0.7647058823529411
AI_USE,project_example,Audiovisual,OTHER,6,34,0.17647058823529413
AI_USE,project_example,Content writing,AI,1,45,0.022222222222222223
AI_USE,project_example,Content writing,HUMAN,35,45,0.7777777777777778
AI_USE,project_example,Content writing,OTHER,9,45,0.2
AI_USE,project_example,Fiction writing,AI,1,63,0.015873015873015872
AI_USE,project_example,Fiction writing,HUMAN,47,63,0.746031746031746
AI_USE,project_example,Fiction writing,OTHER,15,63,0.23809523809523808
AI_USE,project_example,Mix,AI,3,20,0.15
AI_USE,project_example,Mix,HUMAN,13,20,0.65
AI_USE,project_example,Mix,OTHER,4,20,0.2
AI_USE,walkthrough,"Art, design, crafts",AI,2,129,0.015503875968992248
AI_USE,walkthrough,"Art, design, crafts",HUMAN,110,129,0.8527131782945736
AI_USE,walkthrough,"Art, design, crafts",OTHER,17,129,0.13178294573643412
AI_USE,walkthrough,Audiovisual,AI,1,42,0.023809523809523808
AI_USE,walkthrough,Audiovisual,HUMAN,34,42,0.8095238095238095
AI_USE,walkthrough,Audiovisual,OTHER,7,42,0.16666666666666666
AI_USE,walkthrough,Content writing,AI,4,60,0.06666666666666667
AI_USE,walkthrough,Content writing,HUMAN,53,60,0.8833333333333333
AI_USE,walkthrough,Content writing,OTHER,3,60,0.05
AI_USE,walkthrough,Fiction writing,AI,9,120,0.075
AI_USE,walkthrough,Fiction writing,HUMAN,90,120,0.75
AI_USE,walkthrough,Fiction writing,OTHER,21,120,0.175
AI_USE,walkthrough,Mix,HUMAN,39,43,0.9069767441860465
AI_USE,walkthrough,Mix,OTHER,4,43,0.09302325581395349
AUTHORSHIP,basic_job_description,"Art, design, crafts",HUMAN,30,37,0.8108108108108109
AUTHORSHIP,basic_job_description,"Art, design, crafts",OTHER,7,37,0.1891891891891892
AUTHORSHIP,basic_job_description,Audiovisual,HUMAN,4,4,1.0
AUTHORSHIP,basic_job_description,Content writing,HUMAN,18,20,0.9
AUTHORSHIP,basic_job_description,Content writing,OTHER,2,20,0.1
AUTHORSHIP,basic_job_description,Fiction writing,HUMAN,28,29,0.9655172413793104
AUTHORSHIP,basic_job_description,Fiction writing,OTHER,1,29,0.034482758620689655
AUTHORSHIP,basic_job_description,Mix,HUMAN,5,6,0.8333333333333334
AUTHORSHIP,basic_job_description,Mix,OTHER,1,6,0.16666666666666666
AUTHORSHIP,changed_aspects,"Art, design, crafts",HUMAN,6,11,0.5454545454545454
AUTHORSHIP,changed_aspects,"Art, design, crafts",OTHER,5,11,0.45454545454545453
AUTHORSHIP,changed_aspects,Audiovisual,HUMAN,2,3,0.6666666666666666
AUTHORSHIP,changed_aspects,Audiovisual,OTHER,1,3,0.3333333333333333
AUTHORSHIP,changed_aspects,Content writing,OTHER,1,1,1.0
AUTHORSHIP,changed_aspects,Fiction writing,HUMAN,8,9,0.8888888888888888
AUTHORSHIP,changed_aspects,Fiction writing,OTHER,1,9,0.1111111111111111
AUTHORSHIP,changed_aspects,Mix,OTHER,4,4,1.0
AUTHORSHIP,concerns,"Art, design, crafts",AI,2,14,0.14285714285714285
AUTHORSHIP,concerns,"Art, design, crafts",HUMAN,6,14,0.42857142857142855
AUTHORSHIP,concerns,"Art, design, crafts",OTHER,6,14,0.42857142857142855
AUTHORSHIP,concerns,Audiovisual,AI,1,4,0.25
AUTHORSHIP,concerns,Audiovisual,HUMAN,1,4,0.25
AUTHORSHIP,concerns,Audiovisual,OTHER,2,4,0.5
AUTHORSHIP,concerns,Content writing,AI,1,9,0.1111111111111111
AUTHORSHIP,concerns,Content writing,HUMAN,4,9,0.4444444444444444
AUTHORSHIP,concerns,Content writing,OTHER,4,9,0.4444444444444444
AUTHORSHIP,concerns,Fiction writing,AI,6,14,0.42857142857142855
AUTHORSHIP,concerns,Fiction writing,HUMAN,2,14,0.14285714285714285
AUTHORSHIP,concerns,Fiction writing,OTHER,6,14,0.42857142857142855
AUTHORSHIP,concerns,Mix,AI,3,10,0.3
AUTHORSHIP,concerns,Mix,HUMAN,4,10,0.4
AUTHORSHIP,concerns,Mix,OTHER,3,10,0.3
AUTHORSHIP,dynamic,"Art, design, crafts",AI,3,6,0.5
AUTHORSHIP,dynamic,"Art, design, crafts",HUMAN,2,6,0.3333333333333333
AUTHORSHIP,dynamic,"Art, design, crafts",OTHER,1,6,0.16666666666666666
AUTHORSHIP,dynamic,Audiovisual,HUMAN,5,6,0.8333333333333334
AUTHORSHIP,dynamic,Audiovisual,OTHER,1,6,0.16666666666666666
AUTHORSHIP,dynamic,Content writing,AI,1,7,0.14285714285714285
AUTHORSHIP,dynamic,Content writing,HUMAN,4,7,0.5714285714285714
AUTHORSHIP,dynamic,Content writing,OTHER,2,7,0.2857142857142857
AUTHORSHIP,dynamic,Fiction writing,AI,1,9,0.1111111111111111
AUTHORSHIP,dynamic,Fiction writing,HUMAN,6,9,0.6666666666666666
AUTHORSHIP,dynamic,Fiction writing,OTHER,2,9,0.2222222222222222
AUTHORSHIP,dynamic,Mix,OTHER,1,1,1.0
AUTHORSHIP,extra_comments,"Art, design, crafts",AI,2,7,0.2857142857142857
AUTHORSHIP,extra_comments,"Art, design, crafts",HUMAN,2,7,0.2857142857142857
AUTHORSHIP,extra_comments,"Art, design, crafts",OTHER,3,7,0.42857142857142855
AUTHORSHIP,extra_comments,Audiovisual,HUMAN,3,3,1.0
AUTHORSHIP,extra_comments,Fiction writing,HUMAN,1,1,1.0
AUTHORSHIP,future,"Art, design, crafts",AI,1,5,0.2
AUTHORSHIP,future,"Art, design, crafts",HUMAN,1,5,0.2
AUTHORSHIP,future,"Art, design, crafts",OTHER,3,5,0.6
AUTHORSHIP,future,Audiovisual,AI,1,3,0.3333333333333333
AUTHORSHIP,future,Audiovisual,HUMAN,2,3,0.6666666666666666
AUTHORSHIP,future,Content writing,AI,1,3,0.3333333333333333
AUTHORSHIP,future,Content writing,HUMAN,1,3,0.3333333333333333
AUTHORSHIP,future,Content writing,OTHER,1,3,0.3333333333333333
AUTHORSHIP,future,Fiction writing,AI,3,8,0.375
AUTHORSHIP,future,Fiction writing,HUMAN,4,8,0.5
AUTHORSHIP,future,Fiction writing,OTHER,1,8,0.125
