cluster,agent_class,edge_count,total,share
"Art, design, crafts",AI,40,723,0.05532503457814661
"Art, design, crafts",HUMAN,522,723,0.7219917012448133
"Art, design, crafts",OTHER,161,723,0.22268326417704012
Audiovisual,AI,6,255,0.023529411764705882
Audiovisual,HUMAN,194,255,0.7607843137254902
Audiovisual,OTHER,55,255,0.21568627450980393
Content writing,AI,19,376,0.05053191489361702
Content writing,HUMAN,289,376,0.7686170212765957
Content writing,OTHER,68,376,0.18085106382978725
Fiction writing,AI,39,622,0.06270096463022508
Fiction writing,HUMAN,451,622,0.72508038585209
Fiction writing,OTHER,132,622,0.21221864951768488
Mix,AI,20,286,0.06993006993006994
Mix,HUMAN,207,286,0.7237762237762237
Mix,OTHER,59,286,0.2062937062937063
