section,agent_class,edge_count,total,share
basic_job_description,AI,4,188,0.02127659574468085
basic_job_description,HUMAN,153,188,0.8138297872340425
basic_job_description,OTHER,31,188,0.16489361702127658
changed_aspects,AI,19,242,0.07851239669421488
changed_aspects,HUMAN,149,242,0.6157024793388429
changed_aspects,OTHER,74,242,0.30578512396694213
concerns,AI,20,279,0.07168458781362007
concerns,HUMAN,175,279,0.6272401433691757
concerns,OTHER,84,279,0.3010752688172043
dynamic,AI,22,282,0.07801418439716312
dynamic,HUMAN,207,282,0.7340425531914894
dynamic,OTHER,53,282,0.1879432624113475
extra_comments,AI,2,85,0.023529411764705882
extra_comments,HUMAN,71,85,0.8352941176470589
extra_comments,OTHER,12,85,0.1411764705882353
future,AI,12,258,0.046511627906976744
future,HUMAN,204,258,0.7906976744186046
future,OTHER,42,258,0.16279069767441862
intro,HUMAN,7,11,0.6363636363636364
intro,OTHER,4,11,0.36363636363636365
project_example,AI,22,409,0.05378973105134474
project_example,HUMAN,283,409,0.6919315403422983
project_example,OTHER,104,409,0.254278728606357
walkthrough,AI,23,508,0.045275590551181105
walkthrough,HUMAN,414,508,0.8149606299212598
walkthrough,OTHER,71,508,0.13976377952755906
