group,category,token_count,group_total,share
"Art, design, crafts",AI_USE,1617,3611,0.4477983937967322
"Art, design, crafts",AUTHORSHIP,1177,3611,0.3259484907227915
"Art, design, crafts",IDEATION,513,3611,0.1420659097202991
"Art, design, crafts",CONTROL,304,3611,0.08418720576017724
Audiovisual,AI_USE,570,1315,0.43346007604562736
Audiovisual,AUTHORSHIP,468,1315,0.355893536121673
Audiovisual,IDEATION,179,1315,0.1361216730038023
Audiovisual,CONTROL,98,1315,0.07452471482889733
Content writing,AI_USE,822,1888,0.4353813559322034
Content writing,AUTHORSHIP,635,1888,0.3363347457627119
Content writing,IDEATION,246,1888,0.13029661016949154
Content writing,CONTROL,185,1888,0.09798728813559322
Fiction writing,AI_USE,1299,3183,0.40810556079170596
Fiction writing,AUTHORSHIP,1122,3183,0.352497643732328
Fiction writing,IDEATION,478,3183,0.15017279296261388
Fiction writing,CONTROL,284,3183,0.08922400251335218
Mix,AI_USE,684,1500,0.456
Mix,AUTHORSHIP,478,1500,0.31866666666666665
Mix,IDEATION,203,1500,0.13533333333333333
Mix,CONTROL,135,1500,0.09
