section,category,token_count,group_total,share
basic_job_description,AUTHORSHIP,780,1200,0.65
basic_job_description,AI_USE,195,1200,0.1625
basic_job_description,IDEATION,129,1200,0.1075
basic_job_description,CONTROL,96,1200,0.08
changed_aspects,AI_USE,556,1219,0.4561115668580804
changed_aspects,AUTHORSHIP,363,1219,0.2977850697292863
changed_aspects,IDEATION,203,1219,0.16652994257588188
changed_aspects,CONTROL,97,1219,0.07957342083675144
concerns,AI_USE,679,1518,0.44729907773386035
concerns,AUTHORSHIP,566,1518,0.37285902503293805
concerns,IDEATION,155,1518,0.10210803689064558
concerns,CONTROL,118,1518,0.077733860342556
dynamic,AI_USE,607,1403,0.43264433357091947
dynamic,AUTHORSHIP,286,1403,0.20384889522451888
dynamic,CONTROL,267,1403,0.1903064861012117
dynamic,IDEATION,243,1403,0.17320028510334998
extra_comments,AI_USE,129,279,0.46236559139784944
extra_comments,AUTHORSHIP,72,279,0.25806451612903225
extra_comments,IDEATION,70,279,0.25089605734767023
extra_comments,CONTROL,8,279,0.02867383512544803
future,AI_USE,707,1423,0.4968376669009136
future,AUTHORSHIP,421,1423,0.29585382993675335
future,IDEATION,192,1423,0.13492621222768797
future,CONTROL,103,1423,0.07238229093464511
intro,CONTROL,33,44,0.75
intro,IDEATION,6,44,0.13636363636363635
intro,AI_USE,3,44,0.06818181818181818
intro,AUTHORSHIP,2,44,0.045454545454545456
project_example,AI_USE,880,1915,0.4595300261096606
project_example,AUTHORSHIP,629,1915,0.32845953002610967
project_example,IDEATION,276,1915,0.14412532637075717
project_example,CONTROL,130,1915,0.06788511749347259
walkthrough,AI_USE,1236,2496,0.4951923076923077
walkthrough,AUTHORSHIP,761,2496,0.30488782051282054
walkthrough,IDEATION,345,2496,0.13822115384615385
walkthrough,CONTROL,154,2496,0.06169871794871795
