verb_category,action_category,agent_class,edge_count
AI_USE,AI_USE,OTHER,22
AI_USE,AI_USE,HUMAN,21
AI_USE,AI_USE,AI,3
AI_USE,AUTHORSHIP,OTHER,57
AI_USE,AUTHORSHIP,HUMAN,39
AI_USE,AUTHORSHIP,AI,1
AI_USE,CONTROL,OTHER,14
AI_USE,CONTROL,HUMAN,4
AI_USE,IDEATION,OTHER,37
AI_USE,IDEATION,HUMAN,9
AI_USE,IDEATION,AI,4
AUTHORSHIP,AI_USE,OTHER,5
AUTHORSHIP,CONTROL,HUMAN,1
CONTROL,AI_USE,OTHER,12
CONTROL,AI_USE,HUMAN,9
CONTROL,AUTHORSHIP,OTHER,6
CONTROL,AUTHORSHIP,HUMAN,4
CONTROL,AUTHORSHIP,AI,1
CONTROL,CONTROL,HUMAN,4
CONTROL,CONTROL,OTHER,2
CONTROL,IDEATION,OTHER,2
CONTROL,IDEATION,AI,1
CONTROL,IDEATION,HUMAN,1
IDEATION,AI_USE,HUMAN,24
IDEATION,AI_USE,OTHER,3
IDEATION,AUTHORSHIP,HUMAN,4
IDEATION,CONTROL,HUMAN,6
IDEATION,CONTROL,OTHER,3
IDEATION,IDEATION,HUMAN,1
IDEATION,IDEATION,OTHER,1
