action_category,cluster,agent_class,edge_count,total,share
AI_USE,"Art, design, crafts",HUMAN,13,23,0.5652173913043478
AI_USE,"Art, design, crafts",OTHER,10,23,0.43478260869565216
AI_USE,Audiovisual,HUMAN,9,11,0.8181818181818182
AI_USE,Audiovisual,OTHER,2,11,0.18181818181818182
AI_USE,Content writing,HUMAN,4,6,0.6666666666666666
AI_USE,Content writing,OTHER,2,6,0.3333333333333333
AI_USE,Fiction writing,AI,1,24,0.041666666666666664
AI_USE,Fiction writing,HUMAN,19,24,0.7916666666666666
AI_USE,Fiction writing,OTHER,4,24,0.16666666666666666
AI_USE,Mix,AI,2,12,0.16666666666666666
AI_USE,Mix,HUMAN,9,12,0.75
AI_USE,Mix,OTHER,1,12,0.08333333333333333
AUTHORSHIP,"Art, design, crafts",AI,1,15,0.06666666666666667
AUTHORSHIP,"Art, design, crafts",HUMAN,13,15,0.8666666666666667
AUTHORSHIP,"Art, design, crafts",OTHER,1,15,0.06666666666666667
AUTHORSHIP,Audiovisual,HUMAN,8,9,0.8888888888888888
AUTHORSHIP,Audiovisual,OTHER,1,9,0.1111111111111111
AUTHORSHIP,Content writing,HUMAN,7,7,1.0
AUTHORSHIP,Fiction writing,AI,1,19,0.05263157894736842
AUTHORSHIP,Fiction writing,HUMAN,14,19,0.7368421052631579
AUTHORSHIP,Fiction writing,OTHER,4,19,0.21052631578947367
AUTHORSHIP,Mix,HUMAN,5,8,0.625
AUTHORSHIP,Mix,OTHER,3,8,0.375
CONTROL,"Art, design, crafts",HUMAN,5,6,0.8333333333333334
CONTROL,"Art, design, crafts",OTHER,1,6,0.16666666666666666
CONTROL,Audiovisual,OTHER,2,2,1.0
CONTROL,Content writing,HUMAN,4,6,0.6666666666666666
CONTROL,Content writing,OTHER,2,6,0.3333333333333333
CONTROL,Fiction writing,HUMAN,4,4,1.0
CONTROL,Mix,HUMAN,2,2,1.0
IDEATION,"Art, design, crafts",AI,1,8,0.125
IDEATION,"Art, design, crafts",HUMAN,5,8,0.625
IDEATION,"Art, design, crafts",OTHER,2,8,0.25
IDEATION,Audiovisual,HUMAN,3,4,0.75
IDEATION,Audiovisual,OTHER,1,4,0.25
IDEATION,Content writing,AI,2,3,0.6666666666666666
IDEATION,Content writing,HUMAN,1,3,0.3333333333333333
IDEATION,Fiction writing,AI,1,6,0.16666666666666666
IDEATION,Fiction writing,HUMAN,2,6,0.3333333333333333
IDEATION,Fiction writing,OTHER,3,6,0.5
IDEATION,Mix,AI,1,1,1.0
