action_category,section,agent_class,edge_count,total,share
AI_USE,basic_job_description,AI,2,4,0.5
AI_USE,basic_job_description,HUMAN,1,4,0.25
AI_USE,basic_job_description,OTHER,1,4,0.25
AI_USE,changed_aspects,HUMAN,7,14,0.5
AI_USE,changed_aspects,OTHER,7,14,0.5
AI_USE,concerns,HUMAN,4,8,0.5
AI_USE,concerns,OTHER,4,8,0.5
AI_USE,dynamic,AI,1,12,0.08333333333333333
AI_USE,dynamic,HUMAN,7,12,0.5833333333333334
AI_USE,dynamic,OTHER,4,12,0.3333333333333333
AI_USE,future,HUMAN,14,24,0.5833333333333334
AI_USE,future,OTHER,10,24,0.4166666666666667
AI_USE,project_example,HUMAN,8,17,0.47058823529411764
AI_USE,project_example,OTHER,9,17,0.5294117647058824
AI_USE,walkthrough,HUMAN,13,20,0.65
AI_USE,walkthrough,OTHER,7,20,0.35
AUTHORSHIP,basic_job_description,OTHER,4,4,1.0
AUTHORSHIP,changed_aspects,HUMAN,4,5,0.8
AUTHORSHIP,changed_aspects,OTHER,1,5,0.2
AUTHORSHIP,concerns,HUMAN,8,16,0.5
AUTHORSHIP,concerns,OTHER,8,16,0.5
AUTHORSHIP,dynamic,AI,1,6,0.16666666666666666
AUTHORSHIP,dynamic,HUMAN,1,6,0.16666666666666666
AUTHORSHIP,dynamic,OTHER,4,6,0.6666666666666666
AUTHORSHIP,extra_comments,HUMAN,1,1,1.0
AUTHORSHIP,future,HUMAN,5,12,0.4166666666666667
AUTHORSHIP,future,OTHER,7,12,0.5833333333333334
AUTHORSHIP,project_example,HUMAN,14,29,0.4827586206896552
AUTHORSHIP,project_example,OTHER,15,29,0.5172413793103449
AUTHORSHIP,walkthrough,AI,1,39,0.02564102564102564
AUTHORSHIP,walkthrough,HUMAN,14,39,0.358974358974359
AUTHORSHIP,walkthrough,OTHER,24,39,0.6153846153846154
CONTROL,basic_job_description,HUMAN,1,1,1.0
CONTROL,changed_aspects,HUMAN,1,7,0.14285714285714285
CONTROL,changed_aspects,OTHER,6,7,0.8571428571428571
CONTROL,concerns,HUMAN,3,5,0.6
CONTROL,concerns,OTHER,2,5,0.4
CONTROL,dynamic,HUMAN,3,6,0.5
CONTROL,dynamic,OTHER,3,6,0.5
CONTROL,extra_comments,HUMAN,1,1,1.0
CONTROL,future,HUMAN,2,6,0.3333333333333333
CONTROL,future,OTHER,4,6,0.6666666666666666
CONTROL,project_example,HUMAN,2,5,0.4
CONTROL,project_example,OTHER,3,5,0.6
CONTROL,walkthrough,HUMAN,2,3,0.6666666666666666
CONTROL,walkthrough,OTHER,1,3,0.3333333333333333
IDEATION,basic_job_description,OTHER,3,3,1.0
IDEATION,changed_aspects,AI,3,6,0.5
IDEATION,changed_aspects,HUMAN,2,6,0.3333333333333333
IDEATION,changed_aspects,OTHER,1,6,0.16666666666666666
IDEATION,dynamic,HUMAN,1,5,0.2
IDEATION,dynamic,OTHER,4,5,0.8
IDEATION,future,HUMAN,1,4,0.25
IDEATION,future,OTHER,3,4,0.75
IDEATION,project_example,AI,1,21,0.047619047619047616
IDEATION,project_example,HUMAN,6,21,0.2857142857142857
IDEATION,project_example,OTHER,14,21,0.6666666666666666
IDEATION,walkthrough,AI,1,17,0.058823529411764705
IDEATION,walkthrough,HUMAN,1,17,0.058823529411764705
IDEATION,walkthrough,OTHER,15,17,0.8823529411764706
