verb_category,patient_class,edge_count,total,share
AI_USE,AI,480,1676,0.2863961813842482
AI_USE,HUMAN,273,1676,0.16288782816229117
AI_USE,OTHER,923,1676,0.5507159904534606
AUTHORSHIP,AI,5,814,0.006142506142506142
AUTHORSHIP,HUMAN,12,814,0.014742014742014743
AUTHORSHIP,OTHER,797,814,0.9791154791154791
CONTROL,AI,16,407,0.03931203931203931
CONTROL,HUMAN,106,407,0.26044226044226043
CONTROL,OTHER,285,407,0.7002457002457002
IDEATION,AI,2,168,0.011904761904761904
IDEATION,HUMAN,3,168,0.017857142857142856
IDEATION,OTHER,163,168,0.9702380952380952
