verb_category,section,patient_class,edge_count,total,share
AI_USE,basic_job_description,AI,12,90,0.13333333333333333
AI_USE,basic_job_description,HUMAN,15,90,0.16666666666666666
AI_USE,basic_job_description,OTHER,63,90,0.7
AI_USE,changed_aspects,AI,42,188,0.22340425531914893
AI_USE,changed_aspects,HUMAN,42,188,0.22340425531914893
AI_USE,changed_aspects,OTHER,104,188,0.5531914893617021
AI_USE,concerns,AI,52,170,0.3058823529411765
AI_USE,concerns,HUMAN,20,170,0.11764705882352941
AI_USE,concerns,OTHER,98,170,0.5764705882352941
AI_USE,dynamic,AI,48,167,0.2874251497005988
AI_USE,dynamic,HUMAN,19,167,0.11377245508982035
AI_USE,dynamic,OTHER,100,167,0.5988023952095808
AI_USE,extra_comments,AI,8,32,0.25
AI_USE,extra_comments,HUMAN,4,32,0.125
AI_USE,extra_comments,OTHER,20,32,0.625
AI_USE,future,AI,48,208,0.23076923076923078
AI_USE,future,HUMAN,33,208,0.15865384615384615
AI_USE,future,OTHER,127,208,0.6105769230769231
AI_USE,project_example,AI,100,337,0.29673590504451036
AI_USE,project_example,HUMAN,60,337,0.17804154302670624
AI_USE,project_example,OTHER,177,337,0.5252225519287834
AI_USE,walkthrough,AI,170,484,0.3512396694214876
AI_USE,walkthrough,HUMAN,80,484,0.1652892561983471
AI_USE,walkthrough,OTHER,234,484,0.4834710743801653
AUTHORSHIP,basic_job_description,AI,1,168,0.005952380952380952
AUTHORSHIP,basic_job_description,HUMAN,2,168,0.011904761904761904
AUTHORSHIP,basic_job_description,OTHER,165,168,0.9821428571428571
AUTHORSHIP,changed_aspects,HUMAN,2,59,0.03389830508474576
AUTHORSHIP,changed_aspects,OTHER,57,59,0.9661016949152542
AUTHORSHIP,concerns,AI,2,114,0.017543859649122806
AUTHORSHIP,concerns,OTHER,112,114,0.9824561403508771
AUTHORSHIP,dynamic,HUMAN,1,53,0.018867924528301886
AUTHORSHIP,dynamic,OTHER,52,53,0.9811320754716981
AUTHORSHIP,extra_comments,HUMAN,1,15,0.06666666666666667
AUTHORSHIP,extra_comments,OTHER,14,15,0.9333333333333333
AUTHORSHIP,future,HUMAN,1,98,0.01020408163265306
AUTHORSHIP,future,OTHER,97,98,0.9897959183673469
AUTHORSHIP,intro,OTHER,1,1,1.0
AUTHORSHIP,project_example,AI,1,154,0.006493506493506494
AUTHORSHIP,project_example,HUMAN,2,154,0.012987012987012988
AUTHORSHIP,project_example,OTHER,151,154,0.9805194805194806
AUTHORSHIP,walkthrough,AI,1,152,0.006578947368421052
AUTHORSHIP,walkthrough,HUMAN,3,152,0.019736842105263157
AUTHORSHIP,walkthrough,OTHER,148,152,0.9736842105263158
CONTROL,basic_job_description,HUMAN,3,32,0.09375
CONTROL,basic_job_description,OTHER,29,32,0.90625
CONTROL,changed_aspects,AI,2,37,0.05405405405405406
CONTROL,changed_aspects,HUMAN,18,37,0.4864864864864865
CONTROL,changed_aspects,OTHER,17,37,0.4594594594594595
CONTROL,concerns,AI,2,39,0.05128205128205128
CONTROL,concerns,HUMAN,6,39,0.15384615384615385
CONTROL,concerns,OTHER,31,39,0.7948717948717948
CONTROL,dynamic,AI,7,100,0.07
CONTROL,dynamic,HUMAN,7,100,0.07
CONTROL,dynamic,OTHER,86,100,0.86
CONTROL,extra_comments,HUMAN,1,4,0.25
CONTROL,extra_comments,OTHER,3,4,0.75
CONTROL,future,AI,1,44,0.022727272727272728
CONTROL,future,HUMAN,6,44,0.13636363636363635
CONTROL,future,OTHER,37,44,0.8409090909090909
CONTROL,intro,HUMAN,32,32,1.0
CONTROL,project_example,AI,1,56,0.017857142857142856
CONTROL,project_example,HUMAN,22,56,0.39285714285714285
CONTROL,project_example,OTHER,33,56,0.5892857142857143
CONTROL,walkthrough,AI,3,63,0.047619047619047616
CONTROL,walkthrough,HUMAN,11,63,0.1746031746031746
CONTROL,walkthrough,OTHER,49,63,0.7777777777777778
IDEATION,basic_job_description,OTHER,26,26,1.0
IDEATION,changed_aspects,OTHER,16,16,1.0
IDEATION,concerns,AI,1,10,0.1
IDEATION,concerns,OTHER,9,10,0.9
IDEATION,dynamic,OTHER,17,17,1.0
IDEATION,extra_comments,AI,1,1,1.0
IDEATION,future,OTHER,18,18,1.0
IDEATION,project_example,HUMAN,2,40,0.05
IDEATION,project_example,OTHER,38,40,0.95
IDEATION,walkthrough,HUMAN,1,40,0.025
IDEATION,walkthrough,OTHER,39,40,0.975
