action_category,action_lemma,edge_count
AI_USE,use,33
AI_USE,help,18
AI_USE,look,7
AI_USE,save,6
AI_USE,ask,5
AI_USE,fill,4
AI_USE,organize,4
AI_USE,spend,4
AI_USE,cut,3
AI_USE,act,2
AI_USE,clean,2
AI_USE,engage,2
AI_USE,tell,2
AI_USE,train,2
AI_USE,assist,1
AI_USE,automate,1
AI_USE,lean,1
AI_USE,prefer,1
AI_USE,rely,1
AUTHORSHIP,create,41
AUTHORSHIP,generate,28
AUTHORSHIP,write,27
AUTHORSHIP,draw,4
AUTHORSHIP,build,3
AUTHORSHIP,design,3
AUTHORSHIP,paint,2
AUTHORSHIP,produce,2
AUTHORSHIP,draft,1
AUTHORSHIP,publish,1
CONTROL,keep,6
CONTROL,drive,4
CONTROL,edit,4
CONTROL,lose,4
CONTROL,decide,3
CONTROL,plan,3
CONTROL,allow,2
CONTROL,lead,2
CONTROL,manage,2
CONTROL,check,1
CONTROL,follow,1
CONTROL,guide,1
CONTROL,let,1
IDEATION,brainstorm,19
IDEATION,think,11
IDEATION,refine,7
IDEATION,identify,6
IDEATION,figure,4
IDEATION,develop,3
IDEATION,explore,3
IDEATION,research,2
IDEATION,prepare,1
