verb_category,agent_class,agent_lemma,edge_count
AI_USE,AI,chatgpt,1
AI_USE,AI,gemini,1
AI_USE,AI,llm,1
AI_USE,AI,model,6
AI_USE,AI,ai,59
AI_USE,HUMAN,boss,1
AI_USE,HUMAN,designer,1
AI_USE,HUMAN,he,1
AI_USE,HUMAN,she,1
AI_USE,HUMAN,author,2
AI_USE,HUMAN,writer,4
AI_USE,HUMAN,client,5
AI_USE,HUMAN,person,14
AI_USE,HUMAN,they,16
AI_USE,HUMAN,we,20
AI_USE,HUMAN,you,22
AI_USE,HUMAN,i,799
AI_USE,OTHER,actor,1
AI_USE,OTHER,amount,1
AI_USE,OTHER,any,1
AI_USE,OTHER,anyone,1
AI_USE,OTHER,asset,1
AI_USE,OTHER,atmosphere,1
AI_USE,OTHER,belief,1
AI_USE,OTHER,brute,1
AI_USE,OTHER,business,1
AI_USE,OTHER,center,1
AI_USE,OTHER,change,1
AI_USE,OTHER,choice,1
AI_USE,OTHER,collaboration,1
AI_USE,OTHER,color,1
AI_USE,OTHER,comedian,1
AI_USE,OTHER,design,1
AI_USE,OTHER,documentary,1
AI_USE,OTHER,double,1
AI_USE,OTHER,encouragement,1
AI_USE,OTHER,example,1
AI_USE,OTHER,expand,1
AI_USE,OTHER,experience,1
AI_USE,OTHER,film,1
AI_USE,OTHER,frame,1
AI_USE,OTHER,goal,1
AI_USE,OTHER,god,1
AI_USE,OTHER,information,1
AI_USE,OTHER,keep,1
AI_USE,OTHER,majority,1
AI_USE,OTHER,maker,1
AI_USE,OTHER,manor,1
AI_USE,OTHER,market,1
AI_USE,OTHER,member,1
AI_USE,OTHER,method,1
AI_USE,OTHER,name,1
AI_USE,OTHER,other,1
AI_USE,OTHER,painting,1
AI_USE,OTHER,partner,1
AI_USE,OTHER,party,1
AI_USE,OTHER,plan,1
AI_USE,OTHER,privacy,1
AI_USE,OTHER,product,1
AI_USE,OTHER,publisher,1
AI_USE,OTHER,purpose,1
AI_USE,OTHER,reader,1
AI_USE,OTHER,relationship,1
AI_USE,OTHER,research,1
AI_USE,OTHER,room,1
AI_USE,OTHER,search,1
AI_USE,OTHER,seo,1
AI_USE,OTHER,setting,1
AI_USE,OTHER,shoe,1
AI_USE,OTHER,some,1
AI_USE,OTHER,step,1
AI_USE,OTHER,system,1
AI_USE,OTHER,third,1
AI_USE,OTHER,tide,1
AI_USE,OTHER,tool,1
AI_USE,OTHER,video,1
AI_USE,OTHER,way,1
AI_USE,OTHER,write,1
AI_USE,OTHER,assistant,2
AI_USE,OTHER,have,2
AI_USE,OTHER,image,2
AI_USE,OTHER,lot,2
AI_USE,OTHER,perspective,2
AI_USE,OTHER,someone,2
AI_USE,OTHER,something,2
AI_USE,OTHER,time,2
AI_USE,OTHER,one,3
AI_USE,OTHER,process,3
AI_USE,OTHER,thing,3
AI_USE,OTHER,everyone,4
AI_USE,OTHER,project,4
AI_USE,OTHER,what,4
AI_USE,OTHER,use,6
AI_USE,OTHER,which,9
AI_USE,OTHER,this,12
AI_USE,OTHER,who,13
AI_USE,OTHER,that,37
AI_USE,OTHER,it,101
AUTHORSHIP,AI,model,5
AUTHORSHIP,AI,ai,34
AUTHORSHIP,HUMAN,artist,1
AUTHORSHIP,HUMAN,author,1
AUTHORSHIP,HUMAN,customer,1
AUTHORSHIP,HUMAN,my,1
AUTHORSHIP,HUMAN,producer,1
AUTHORSHIP,HUMAN,writer,1
AUTHORSHIP,HUMAN,person,3
AUTHORSHIP,HUMAN,human,4
AUTHORSHIP,HUMAN,we,5
AUTHORSHIP,HUMAN,you,5
AUTHORSHIP,HUMAN,they,9
AUTHORSHIP,HUMAN,i,209
AUTHORSHIP,OTHER,ability,1
AUTHORSHIP,OTHER,cloud,1
AUTHORSHIP,OTHER,error,1
