transcript_id,section,sent_id,dep_word_id,head,deprel,dep_lemma,dep_text,dep_upos,verb_word_id,verb_lemma,verb_category,edge_role_detail,agency_role,group,long_cluster
creativity_0000,intro,2,1,2,nsubj,i,I,PRON,2,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0000,intro,2,5,2,ccomp,good,good,ADJ,2,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0000,intro,3,2,1,obj,we,'s,PRON,1,let,CONTROL,OBJECT,PATIENT,Audiovisual,4
creativity_0000,intro,3,3,1,xcomp,get,get,VERB,1,let,CONTROL,XCOMP,OTHER,Audiovisual,4
creativity_0000,basic_job_description,2,3,4,nsubj,i,I,PRON,4,write,AUTHORSHIP,SUBJECT,AGENT,Audiovisual,4
creativity_0000,basic_job_description,2,5,4,obj,music,music,NOUN,4,write,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0000,basic_job_description,3,1,3,nsubj,i,I,PRON,3,write,AUTHORSHIP,SUBJECT,AGENT,Audiovisual,4
creativity_0000,basic_job_description,3,5,3,obj,piece,pieces,NOUN,3,write,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0000,walkthrough,1,1,2,nsubj,i,I,PRON,2,use,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0000,walkthrough,1,4,2,obj,tool,tools,NOUN,2,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0000,walkthrough,1,10,8,obj,question,questions,NOUN,8,ask,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0000,walkthrough,2,5,7,nsubj,i,I,PRON,7,use,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0000,walkthrough,2,10,7,obj,learning,learning,NOUN,7,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0000,project_example,1,8,11,nsubj,i,I,PRON,11,use,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0000,project_example,1,12,11,obj,ai,AI,PROPN,11,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0000,project_example,3,2,5,nsubj,i,I,PRON,5,ask,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0000,project_example,3,6,5,iobj,ai,AI,PROPN,5,ask,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0000,project_example,3,8,5,xcomp,help,help,VERB,5,ask,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0000,project_example,3,9,8,xcomp,write,write,VERB,8,help,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0000,project_example,3,12,9,obj,essay,essay,NOUN,9,write,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0000,dynamic,1,6,7,nsubj,it,it,PRON,7,help,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0000,dynamic,1,8,7,obj,i,me,PRON,7,help,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0000,dynamic,1,9,7,xcomp,refine,refine,VERB,7,help,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0000,dynamic,1,12,9,obj,perspective,perspective,NOUN,9,refine,IDEATION,OBJECT,PATIENT,Audiovisual,4
creativity_0000,dynamic,2,13,11,obj,connection,connections,NOUN,11,suggest,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0000,changed_aspects,3,14,15,nsubj,i,I,PRON,15,imagine,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0000,changed_aspects,3,20,15,ccomp,matter,matter,NOUN,15,imagine,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0000,concerns,2,8,9,nsubj,ai,AI,PROPN,9,generate,AUTHORSHIP,SUBJECT,AGENT,Audiovisual,4
creativity_0000,concerns,2,10,9,obj,music,music,NOUN,9,generate,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0000,concerns,3,24,22,obj,music,music,NOUN,22,generate,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0000,future,3,8,7,obj,i,me,PRON,7,help,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0000,future,3,9,7,xcomp,refine,refine,VERB,7,help,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0000,future,3,11,9,obj,idea,ideas,NOUN,9,refine,IDEATION,OBJECT,PATIENT,Audiovisual,4
creativity_0000,extra_comments,1,1,4,nsubj,i,I,PRON,4,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0001,intro,1,2,1,obj,we,'s,PRON,1,let,CONTROL,OBJECT,PATIENT,Audiovisual,4
creativity_0001,intro,1,3,1,xcomp,do,do,VERB,1,let,CONTROL,XCOMP,OTHER,Audiovisual,4
creativity_0001,basic_job_description,5,13,9,obj,music,music,NOUN,9,produce,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0001,walkthrough,1,1,3,nsubj,i,I,PRON,3,use,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,walkthrough,1,4,3,obj,it,it,PRON,3,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,walkthrough,3,8,10,nsubj,i,me,PRON,10,write,AUTHORSHIP,SUBJECT,AGENT,Audiovisual,4
creativity_0001,walkthrough,3,12,10,obj,instrumental,instrumentals,NOUN,10,write,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0001,walkthrough,4,11,13,nsubj,i,I,PRON,13,ask,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,walkthrough,4,14,13,iobj,chatgpt,ChatGPT,PROPN,13,ask,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,walkthrough,5,2,13,csubj,get,getting,VERB,13,lead,CONTROL,SUBJECT,AGENT,Audiovisual,4
creativity_0001,project_example,3,2,3,nsubj,i,I,PRON,3,tell,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,project_example,3,4,3,iobj,chatgpt,ChatGPT,PROPN,3,tell,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,project_example,4,14,16,nsubj,it,it,PRON,16,use,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,project_example,4,18,16,obj,info,info,NOUN,16,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,project_example,5,2,3,nsubj,i,I,PRON,3,tell,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,project_example,5,4,3,iobj,it,it,PRON,3,tell,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,project_example,5,9,3,obj,name,names,NOUN,3,tell,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,dynamic,1,5,4,obj,control,control,NOUN,4,keep,CONTROL,OBJECT,PATIENT,Audiovisual,4
creativity_0001,dynamic,5,1,4,nsubj,i,I,PRON,4,tell,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,dynamic,5,5,4,iobj,it,it,PRON,4,tell,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,dynamic,5,8,4,ccomp,cheesy,cheesy,ADJ,4,tell,AI_USE,CCOMP,OTHER,Audiovisual,4
creativity_0001,changed_aspects,1,1,3,nsubj,i,I,PRON,3,spend,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,changed_aspects,1,5,3,obj,time,time,NOUN,3,spend,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,changed_aspects,1,6,3,xcomp,brainstorm,brainstorming,VERB,3,spend,AI_USE,XCOMP,OTHER,Audiovisual,4
creativity_0001,concerns,3,14,16,nsubj,that,that,PRON,16,assist,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,concerns,3,17,16,obj,you,you,PRON,16,assist,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,concerns,3,26,24,obj,part,parts,NOUN,24,write,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0001,concerns,5,3,1,obj,rhythm,rhythms,NOUN,1,write,AUTHORSHIP,OBJECT,PATIENT,Audiovisual,4
creativity_0001,concerns,6,7,8,nsubj,it,it,PRON,8,help,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,concerns,7,13,12,obj,ai,AI,NOUN,12,use,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,concerns,10,12,13,nsubj,i,I,PRON,13,think,IDEATION,SUBJECT,AGENT,Audiovisual,4
creativity_0001,concerns,10,14,13,xcomp,take,taking,VERB,13,think,IDEATION,XCOMP,OTHER,Audiovisual,4
creativity_0001,concerns,10,23,13,ccomp,mistake,mistake,NOUN,13,think,IDEATION,CCOMP,OTHER,Audiovisual,4
creativity_0001,future,5,1,2,nsubj,i,I,PRON,2,spend,AI_USE,SUBJECT,AGENT,Audiovisual,4
creativity_0001,future,5,3,2,obj,hour,hours,NOUN,2,spend,AI_USE,OBJECT,PATIENT,Audiovisual,4
creativity_0001,future,5,10,8,obj,song,song,NOUN,8,edit,CONTROL,OBJECT,PATIENT,Audiovisual,4
creativity_0002,basic_job_description,1,11,8,obj,content,content,NOUN,8,write,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,basic_job_description,1,18,17,obj,keyword,keywords,NOUN,17,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,basic_job_description,1,21,20,obj,content,content,NOUN,20,produce,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,basic_job_description,1,22,24,nsubj,that,that,PRON,24,help,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,basic_job_description,1,25,24,obj,website,websites,NOUN,24,help,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,basic_job_description,1,26,24,xcomp,rank,rank,VERB,24,help,AI_USE,XCOMP,OTHER,Content writing,2
creativity_0002,basic_job_description,2,1,3,nsubj,i,I,PRON,3,manage,CONTROL,SUBJECT,AGENT,Content writing,2
creativity_0002,basic_job_description,2,6,3,obj,team,team,NOUN,3,manage,CONTROL,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,2,1,2,nsubj,i,I,PRON,2,use,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,walkthrough,2,3,2,obj,it,it,PRON,2,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,2,16,15,obj,it,it,PRON,15,feed,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,2,17,15,obj,prompt,prompts,NOUN,15,feed,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,2,20,19,obj,content,content,NOUN,19,generate,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,3,1,4,nsubj,i,I,PRON,4,use,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,walkthrough,3,5,4,obj,it,it,PRON,4,use,AI_USE,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,3,18,17,obj,it,it,PRON,17,check,CONTROL,OBJECT,PATIENT,Content writing,2
creativity_0002,walkthrough,4,2,5,nsubj,i,I,PRON,5,reach,AI_USE,SUBJECT,AGENT,Content writing,2
creativity_0002,project_example,1,6,4,obj,page,pages,NOUN,4,write,AUTHORSHIP,OBJECT,PATIENT,Content writing,2
creativity_0002,project_example,2,11,16,nsubj:pass,content,content,NOUN,16,write,AUTHORSHIP,SUBJECT_PASS,PATIENT,Content writing,2
