lemma,noun_roles_top,head_verbs_top,amod_top,compound_top,examples
AI,obj:447 | nsubj:360 | compound:277 | obl:129 | nmod:85 | iobj:55 | obl:agent:26 | nmod:poss:23 | nsubj:pass:23 | conj:20 | root:6 | obl:unmarked:6,use:331 | ask:43 | help:40 | generate:34 | have:33 | get:21 | make:20 | tell:19 | give:18 | take:18 | work:14 | create:14,generative:15 | current:2 | single:2 | creative:1 | early:1 | short:1 | enable:1 | smart:1 | different:1 | strategic:1 | visual:1 | careful:1,%:1 | work:1 | progress:1 | peruse:1 | processing:1 | Photoshop:1 | use:1 | bot:1 | image:1,"I use AI tools for brainstorming , asking quick questions about technique and theory , general admin , copywriting , emails / comms , and also business planning . || This was n't a client project but I 've been using AI to critically analyse film scores . || Basically I 've been asking AI to help write out an essay on something like the film Arrival and what made the score by Johannsson so unique . || I also am pretty concerned about how AI generated music might impact streaming platform saturation ."
idea,obj:226 | obl:98 | nmod:51 | conj:29 | nsubj:15 | compound:10 | root:4 | ccomp:3 | nsubj:outer:2 | appos:1 | obl:agent:1,come:41 | have:34 | give:27 | get:19 | brainstorm:16 | use:14 | bounce:13 | generate:13 | create:10 | provide:8 | take:7 | ask:5,general:8 | own:7 | creative:7 | original:7 | new:6 | clear:5 | initial:5 | good:5 | specific:4 | rough:4 | unique:4 | many:4,design:7 | brainstorming:6 | gift:3 | content:2 | theme:2 | painting:2 | name:2 | bundle:2 | character:2 | illustration:2 | song:1 | topic:1,Anyway — brainstorming is and ideation is really just a process of bouncing my ideas off a peer . || Just digging into broad topics and synthesising ideas . || Hopefully it 'll be able to help me refine my ideas and speed up my workflow . || Just getting a long list to try out over the instrumental often leads to finding a hook or at least a seed for a song idea .
time,obj:97 | nmod:77 | obl:69 | obl:unmarked:44 | compound:20 | nsubj:14 | root:13 | conj:11 | nsubj:pass:3 | nmod:unmarked:2 | nsubj:outer:1 | parataxis:1,save:27 | spend:22 | have:21 | take:16 | consume:7 | cut:7 | give:6 | be:5 | use:5 | free:4 | get:4 | think:4,more:19 | much:13 | less:9 | other:7 | same:4 | few:4 | many:4 | hard:3 | long:3 | own:2 | first:2 | free:2,research:2 | year:2 | travel:1 | planning:1 | prep:1 | turnaround:1 | bazillion:1,"I do n't know if these have actuated in the work yet but I imagine it 's only a matter of time . || Sometimes , when it comes time to add lyrics , I 'll ask ChatGPT or Claude for lists of interesting word pairings . || I probably spend less time brainstorming or procrastinating because it gets me started faster in that way . || I find myself increasingly reaching for AI tools , especially as time goes on and its capabilities continue to improve ."
work,obj:103 | nmod:97 | obl:65 | nsubj:28 | compound:11 | conj:11 | nsubj:pass:2 | root:2 | ccomp:2 | advcl:2 | appos:1,do:20 | use:11 | take:9 | create:7 | have:7 | focus:6 | change:5 | check:5 | make:5 | edit:4 | get:4 | see:4,creative:52 | own:7 | more:4 | write:4 | personal:3 | actual:3 | good:2 | much:2 | original:2 | mental:2 | low:2 | detailed:2,grunt:4 | design:3 | quality:3 | admin:3 | editing:2 | client:2 | drudge:1 | photography:1 | day:1 | illustration:1 | core:1 | writing:1,"I do n't know if these have actuated in the work yet but I imagine it 's only a matter of time . || My creative work is largely centred on writing SEO web content and articles , which involves using keywords to produce content that will help websites rank in search results . || I can see AI 's role continuing to grow larger as it continues to improve , saving further time and allowing for more work to be done than ever before . || They are very helpful for things like drafting memos or research into e.g. different eras of fashion for costume design , which frees up more time to focus on creative work ."
thing,obj:108 | obl:46 | nmod:41 | nsubj:17 | nsubj:outer:15 | root:13 | conj:9 | nsubj:pass:3 | appos:3 | parataxis:3 | xcomp:2 | ccomp:2,do:18 | create:8 | use:7 | come:5 | know:4 | see:4 | make:4 | keep:4 | look:4 | have:4 | try:3 | get:3,other:8 | new:7 | same:7 | good:5 | only:4 | different:4 | many:3 | whole:3 | specific:3 | few:2 | bad:2 | such:2,AI:1 | grunt:1 | work:1 | standalone:1,"The other thing that concerns me is how VOD streaming platforms might leverage AI tech along with their publishing libraries infinitely generate new music . || It 's kind of an "" ill know it when I hear it "" thing , so I just want it to throw lots of ideas at the wall . || One of the most concerning things I 've seen is new AI plugins that will assist you in the creative process by actually writing song parts . || I felt positive about the experience , as using AI helped me achieve a consistent tone and saved a lot of time from having to research things and write from scratch"
image,obj:117 | compound:44 | obl:40 | nmod:33 | conj:12 | nsubj:12 | nsubj:pass:2 | root:2 | parataxis:1,generate:25 | create:16 | use:13 | get:9 | have:6 | find:6 | upload:6 | give:5 | look:4 | base:4 | edit:4 | change:4,generate:6 | realistic:4 | good:2 | specific:2 | static:2 | amazing:2 | few:2 | dialectical:2 | original:2 | different:2 | strong:1 | produce:1,reference:4 | AI:4 | stock:4 | quality:3 | 2nd:2 | line:2 | product:2 | concept:2 | body:1 | listing:1 | business:1 | asset:1,"We 've also tried using it for things like generating graphics for internal comms like event invitations , but it did n't work too well for that - I have n't found an AI model that 's capable of producing a document with both coherent text and strong images together yet . || I think it would be the same for more truly creative tasks like graphic design as well , but it 's harder to get the necessary level of control over AI produced images than it is for text . || Brute forcing image generations can help with that , so I can at least begin to think , "" yes perhaps they would style their hair that way "" or the shape and color of their eyes . || While there is the counter - movement and support for artists who still work from hand , there are also people who simply want to be able to have an image ."
project,nsubj:69 | obl:65 | obj:44 | nmod:43 | compound:10 | nsubj:outer:7 | conj:4 | root:1 | obl:unmarked:1 | advcl:1 | ccomp:1 | iobj:1,work:12 | involve:10 | have:9 | do:8 | use:7 | start:6 | vary:5 | take:5 | complete:5 | include:4 | need:4 | make:3,typical:32 | recent:10 | creative:6 | different:5 | current:5 | other:4 | multiple:3 | big:3 | many:3 | more:2 | main:2 | small:2,writing:3 | 3d:2 | video:2 | client:1 | mixing:1 | map:1 | asset:1 | illustration:1 | craft:1 | crochet:1 | example:1 | fall:1,"Depending on the project I and scope I do everything from sound design to recording but my main skill is composing . || This was n't a client project but I 've been using AI to critically analyse film scores . || Many of my projects have been full productions - so , seeing the record through from demo to recording to mixing . || With an overseas move coming up though , I wo n't have the same access to my current home studio , so I 'm hoping to move towards doing more mixing projects , exclusively ."
person,nsubj:104 | nmod:39 | obl:32 | obj:26 | compound:11 | conj:7 | nmod:poss:6 | root:6 | advcl:3 | appos:3 | nsubj:pass:2 | obl:agent:2,have:9 | be:8 | use:8 | get:7 | see:5 | pay:5 | know:4 | want:4 | start:4 | make:3 | think:3 | come:3,many:11 | creative:5 | first:3 | most:3 | real:3 | less:3 | more:2 | talented:2 | other:2 | few:2 | third:2 | normal:1,camera:1 | jerk:1 | hunting:1 | purpose:1 | practice:1,"Planning so many classes each week takes so much time , which I do not get paid for ( I only get paid for in - person instruction ) . || This involves being across the entire filming process from start to finish , including hiring other creatives like camera people , costume designers , set designers , writers and editors . || A task like that is n't really creative , but I as the person using the tool to draft the letter would be in charge of the decisions on how it should be written , structured , etc . || I know people are concerned that it will take jobs away from freelancers eventually ."
writing,compound:63 | nmod:49 | obl:45 | obj:37 | nsubj:21 | conj:15 | appos:3 | ccomp:2 | parataxis:1 | acl:1,use:12 | do:9 | take:4 | put:2 | like:2 | think:2 | produce:2 | love:2 | learn:2 | have:2 | become:2 | need:2,creative:15 | original:4 | human:3 | professional:3 | actual:3 | good:2 | novel:2 | technical:2 | prompt:1 | own:1 | beautiful:1 | traditional:1,script:2 | blurb:2 | AI:2 | ghost:2 | copy:1 | business:1 | discovery:1 | media:1 | style:1 | message:1 | eBay:1 | listing:1,"They 're not currently advanced enough to be really useful for script writing , on screen graphic design , or other key creative elements . || Specifically the fields of editing and writing seem to be the most at risk . || Some of it is simple as editing , however , my main writing projects typically take the form of a choose - your - own - adventure gamebook . || That is to say , since I tend to world build in tandem with my writing ( and adjust for any potential additions ) using AI to generate "" moodboard "" pieces , or basic diagrams , can help me continue to the next step of my writing while having a simple foundation to draw upon ."
model,nsubj:72 | obj:51 | obl:29 | iobj:23 | nmod:23 | nsubj:pass:5 | conj:4 | obl:agent:3 | compound:3 | nmod:poss:2 | appos:1,use:25 | ask:18 | give:11 | have:5 | provide:5 | train:5 | get:4 | do:4 | try:4 | come:3 | work:3 | generate:3,different:5 | large:4 | generate:4 | multiple:3 | advanced:2 | free:2 | base:2 | few:2 | new:2 | intelligent:1 | various:1 | evaluative:1,AI:41 | image:6 | D:4 | text:3 | language:3 | generation:2 | hope:1 | frontier:1 | 3D:1 | 3d:1 | sale:1 | gen:1,"If I feel that the AI model is getting off track or giving me ideas that are far off from what I am envisioning , I will redirect the model or ask if we can start over . || We 've also tried using it for things like generating graphics for internal comms like event invitations , but it did n't work too well for that - I have n't found an AI model that 's capable of producing a document with both coherent text and strong images together yet . || Even using larger , more intelligent models , there 's rarely a point where I 've really felt like the AI is driving the creative decision - making . || The AI model might throw up some random things that could be relevant - for example , we both use vibrant red and orange hues in our paintings ."
