lemma,subjects_top,objects_top,xcomp_top,ccomp_top,obl_top,examples
use,I:462 | AI:14 | we:12 | it:10 | that:10 | you:7 | person:7 | who:7 | writer:3 | model:2 | they:2 | everyone:2,AI:315 | it:188 | tool:44 | that:24 | model:22 | they:17 | image:9 | ChatGPT:7 | idea:7 | program:6 | something:6 | this:5,generate:11 | do:6 | write:6 | help:5 | create:3 | come:3 | brainstorm:3 | have:3 | talk:2 | edit:2 | begin:2 | require:2,,for:13 | way:13 | writing:12 | example:10 | task:9 | stage:9 | work:9 | tool:8 | brainstorming:7 | idea:7 | research:7 | process:7,"I use AI tools for brainstorming , asking quick questions about technique and theory , general admin , copywriting , emails / comms , and also business planning . || Oh I should mention I also use some machine learning mixing plugins like iZotope Ozone and Sonible Smart :EQ . || This was n't a client project but I 've been using AI to critically analyse film scores . || I 'm using it mostly for brainstorming out of creative blocks , and for troubleshooting or techy workflow questions ."
have,I:385 | it:39 | that:22 | we:18 | they:16 | you:16 | AI:8 | who:6 | person:6 | human:4 | everyone:3 | client:3,idea:34 | concern:26 | AI:22 | question:20 | time:16 | it:16 | conversation:14 | that:11 | trouble:8 | lot:7 | experience:5 | I:5,do:26 | go:10 | create:7 | spend:7 | make:6 | write:5 | think:5 | check:5 | look:4 | generate:3 | keep:3 | help:3,impact:1 | cause:1,example:12 | mind:5 | project:4 | past:4 | work:4 | time:4 | I:3 | it:3 | hand:3 | term:2 | aspect:2 | head:2,"With an overseas move coming up though , I wo n't have the same access to my current home studio , so I 'm hoping to move towards doing more mixing projects , exclusively . || For example , I have an EP 's worth ( 4 tracks ) of instrumental electronic music . || Again , I 'll have an LLM drop a list of thematic words or pairings to get ideas flowing for song names . || I had placeholder names for the projects , but I wanted to change a few of them ."
do,I:131 | it:23 | AI:13 | they:7 | that:6 | you:4 | model:4 | who:2 | we:2 | machine:1 | relative:1 | plugin:1,that:23 | it:21 | this:20 | work:20 | thing:17 | research:17 | job:13 | all:9 | something:7 | what:6 | lot:6 | writing:6,good:2 | quick:2 | honest:1 | pre-internet:1 | googl:1 | book:1 | product:1,respond:1,I:7 | own:6 | project:4 | they:4 | AI:3 | level:3 | day:3 | writing:3 | you:3 | amount:3 | person:2 | past:2,"Depending on the project I and scope I do everything from sound design to recording but my main skill is composing . || I 'm honestly doing a lot my "" bucket filling "" ( that 's what a mentor calls it ) . || Let 's do it ! || With an overseas move coming up though , I wo n't have the same access to my current home studio , so I 'm hoping to move towards doing more mixing projects , exclusively ."
make,I:52 | it:38 | that:15 | AI:14 | what:5 | this:5 | which:5 | person:2 | we:2 | model:2 | they:2 | he:1,it:30 | sense:22 | I:19 | they:15 | decision:12 | art:11 | process:11 | money:11 | that:9 | suggestion:8 | edit:6 | use:5,sure:34 | easy:15 | feel:10 | look:8 | hard:6 | fast:5 | efficient:5 | sound:5 | want:4 | do:3 | flow:3 | unique:2,,I:7 | year:3 | it:2 | material:2 | AI:2 | you:2 | Johannsson:1 | Suno:1 | help:1 | novel:1 | silver:1 | pen:1,"Basically I 've been asking AI to help write out an essay on something like the film Arrival and what made the score by Johannsson so unique . || Well certainly for composers making "" production "" music it 's a big problem . || It 'll certainly make the non-creative aspects less tedious . || Everyone and their mother has a plugin company selling some sort of "" fix all "" solution to "" make your beats slap . """
think,I:320 | it:4 | you:3 | person:2 | they:2 | reader:1 | AI:1 | who:1 | one:1 | we:1 | which:1,that:8 | more:3 | which:2 | card:1 | Moonlight:1 | how:1 | important:1 | subject:1 | they:1 | what:1,take:1 | include:1 | use:1 | follow:1 | note:1 | ask:1 | make:1,be:11 | have:10 | get:10 | continue:10 | help:9 | good:7 | use:7 | useful:7 | cover:7 | change:6 | it:6 | able:5,of:8 | it:5 | that:5 | about:4 | AI:3 | own:3 | time:3 | idea:3 | myself:2 | lot:2 | anything:2 | use:2,"I think I 'm good for questions . || I do n't think so . || This is ok for finding a vibe , but again , I think taking * creative * direction from it is a mistake , because it robs the human creativity element that makes art interesting . || I 'd like to think that I am driving the create decisions ."
help,it:52 | AI:43 | that:15 | I:9 | which:6 | this:5 | model:2 | they:2 | assistant:2 | brute:1 | thing:1 | you:1,I:164 | we:7 | they:5 | lot:5 | you:3 | website:2 | author:2 | that:2 | which:2 | husband:2 | ground:1 | text:1,create:16 | come:16 | brainstorm:15 | get:13 | write:6 | refine:6 | make:6 | understand:6 | find:5 | save:4 | figure:4 | maintain:4,say:1 | ask:1 | learn:1,that:9 | research:6 | process:3 | task:2 | stage:2 | stuff:2 | example:2 | area:2 | writing:1 | creation:1 | decision:1 | comm:1,Basically I 've been asking AI to help write out an essay on something like the film Arrival and what made the score by Johannsson so unique . || It was fun but also it helped me refine my own perspective somewhat . || Hopefully it 'll be able to help me refine my ideas and speed up my workflow . || I 'm much more interested in it helping with technical tasks .
get,I:79 | it:14 | AI:11 | we:6 | they:6 | you:6 | person:5 | model:4 | that:3 | this:2 | which:2 | she:2,idea:18 | it:10 | image:9 | AI:8 | feedback:8 | result:6 | I:5 | what:5 | work:4 | answer:4 | word:4 | something:4,good:27 | do:9 | flow:6 | right:5 | close:5 | smart:3 | wrong:3 | start:2 | write:2 | easy:2 | decide:2 | advanced:2,tell:1 | come:1 | churn:1,AI:4 | time:3 | it:2 | place:2 | how:2 | topic:2 | client:2 | mind:2 | task:2 | example:2 | process:2 | page:2,"Let 's get into it . || It 's been good to get the creative thinking flowing . || Just getting a long list to try out over the instrumental often leads to finding a hook or at least a seed for a song idea . || Again , I 'll have an LLM drop a list of thematic words or pairings to get ideas flowing for song names ."
write,I:108 | AI:6 | it:4 | that:4 | they:3 | second:2 | VC:1 | person:1 | lot:1 | idea:1 | writer:1 | you:1,story:15 | book:15 | novel:9 | it:8 | that:8 | script:7 | article:6 | content:5 | something:5 | piece:4 | description:4 | series:4,good:1 | allow:1 | wise:1 | use:1 | engage:1,amount:1,they:5 | scratch:3 | about:3 | I:3 | something:2 | client:2 | AI:2 | time:2 | way:2 | website:2 | example:2 | word:2,"That means I write music for film , tv , video artwork , installations , etc . || I also write standalone pieces but that 's much more occasional . || Basically I 've been asking AI to help write out an essay on something like the film Arrival and what made the score by Johannsson so unique . || That is , it works best for me to write full instrumentals in the DAW first , then add lyrics ."
create,I:48 | that:10 | AI:8 | it:5 | this:3 | kind:2 | you:2 | someone:2 | we:2 | who:2 | tool:2 | other:1,content:15 | image:14 | art:8 | asset:8 | idea:7 | work:6 | thing:6 | draft:6 | that:4 | spark:4 | page:4 | piece:3,quick:1 | use:1 | intrigue:1,,own:4 | AI:4 | scratch:4 | idea:3 | I:2 | hand:2 | Photoshop:2 | each:1 | what:1 | sure:1 | they:1 | genre:1,"Additionally , I create a dance combination for each class and each week . || This means that I create a short piece of chorography in each of the styles that are tailored to the students ' level , the choreographic style I 'm going for , and sometimes other factors such as the time of year . || I 'd like to think that I am driving the create decisions . || In the future , I would like to get to a place where I can quickly create a lesson plan / choreography on my own and only use AI to tweak it"
feel,I:158 | it:28 | that:8 | AI:3 | reader:2 | you:2 | some:1 | amount:1 | conversation:1 | inspiration:1 | Ai:1 | process:1,that:3 | need:3 | urge:1 | fraud:1 | liker:1 | more:1 | concern:1 | which:1 | desire:1 | sense:1 | guilt:1 | how:1,confident:6 | overwhelm:5 | bad:5 | guilty:3 | okay:3 | nice:3 | stuck:3 | wrong:3 | good:3 | great:3 | collaborative:3 | overwhelmed:2,go:4 | have:3 | take:2 | help:2 | become:2 | fit:2 | get:1 | threat:1 | claim:1 | tool:1 | easy:1 | anything:1,control:4 | I:3 | way:3 | it:2 | bit:2 | thing:2 | piece:1 | first:1 | battle:1 | end:1 | director:1 | work:1,"I felt positive about the experience , as using AI helped me achieve a consistent tone and saved a lot of time from having to research things and write from scratch || This made me feel much less overwhelmed . || If I feel that the AI model is getting off track or giving me ideas that are far off from what I am envisioning , I will redirect the model or ask if we can start over . || Because I am feeling less overwhelmed and anxious about the main planning portion of lesson planning , I find that I am more creative ."
