creative_type,agent_binary,count,total,share
,AI,16,26,0.6153846153846154
,HUMAN,10,26,0.38461538461538464
arts_crafts,AI,45,68,0.6617647058823529
arts_crafts,HUMAN,23,68,0.3382352941176471
design,AI,84,138,0.6086956521739131
design,HUMAN,54,138,0.391304347826087
film_video,AI,27,46,0.5869565217391305
film_video,HUMAN,19,46,0.41304347826086957
music,AI,24,40,0.6
music,HUMAN,16,40,0.4
photo,AI,32,70,0.45714285714285713
photo,HUMAN,38,70,0.5428571428571428
screenwriting,AI,42,77,0.5454545454545454
screenwriting,HUMAN,35,77,0.45454545454545453
web_content,AI,36,53,0.6792452830188679
web_content,HUMAN,17,53,0.32075471698113206
writing_fiction,AI,55,106,0.5188679245283019
writing_fiction,HUMAN,51,106,0.4811320754716981
writing_misc,AI,73,125,0.584
writing_misc,HUMAN,52,125,0.416
