section,creative_type,agent_binary,count,total,share
basic_job_description,,HUMAN,1,1,1.0
basic_job_description,arts_crafts,HUMAN,2,2,1.0
basic_job_description,design,AI,1,2,0.5
basic_job_description,design,HUMAN,1,2,0.5
basic_job_description,film_video,HUMAN,2,2,1.0
basic_job_description,photo,AI,7,11,0.6363636363636364
basic_job_description,photo,HUMAN,4,11,0.36363636363636365
basic_job_description,screenwriting,AI,3,10,0.3
basic_job_description,screenwriting,HUMAN,7,10,0.7
basic_job_description,writing_fiction,AI,1,5,0.2
basic_job_description,writing_fiction,HUMAN,4,5,0.8
basic_job_description,writing_misc,AI,5,8,0.625
basic_job_description,writing_misc,HUMAN,3,8,0.375
dynamic,,AI,3,7,0.42857142857142855
dynamic,,HUMAN,4,7,0.5714285714285714
dynamic,arts_crafts,AI,5,12,0.4166666666666667
dynamic,arts_crafts,HUMAN,7,12,0.5833333333333334
dynamic,design,AI,18,39,0.46153846153846156
dynamic,design,HUMAN,21,39,0.5384615384615384
dynamic,film_video,AI,4,13,0.3076923076923077
dynamic,film_video,HUMAN,9,13,0.6923076923076923
dynamic,music,AI,1,7,0.14285714285714285
dynamic,music,HUMAN,6,7,0.8571428571428571
dynamic,photo,AI,2,13,0.15384615384615385
dynamic,photo,HUMAN,11,13,0.8461538461538461
dynamic,screenwriting,AI,7,16,0.4375
dynamic,screenwriting,HUMAN,9,16,0.5625
dynamic,web_content,AI,5,15,0.3333333333333333
dynamic,web_content,HUMAN,10,15,0.6666666666666666
dynamic,writing_fiction,AI,11,26,0.4230769230769231
dynamic,writing_fiction,HUMAN,15,26,0.5769230769230769
dynamic,writing_misc,AI,10,28,0.35714285714285715
dynamic,writing_misc,HUMAN,18,28,0.6428571428571429
project_example,,AI,4,7,0.5714285714285714
project_example,,HUMAN,3,7,0.42857142857142855
project_example,arts_crafts,AI,15,23,0.6521739130434783
project_example,arts_crafts,HUMAN,8,23,0.34782608695652173
project_example,design,AI,19,36,0.5277777777777778
project_example,design,HUMAN,17,36,0.4722222222222222
project_example,film_video,AI,5,8,0.625
project_example,film_video,HUMAN,3,8,0.375
project_example,music,AI,5,11,0.45454545454545453
project_example,music,HUMAN,6,11,0.5454545454545454
project_example,photo,AI,9,22,0.4090909090909091
project_example,photo,HUMAN,13,22,0.5909090909090909
project_example,screenwriting,AI,19,29,0.6551724137931034
project_example,screenwriting,HUMAN,10,29,0.3448275862068966
project_example,web_content,AI,6,12,0.5
project_example,web_content,HUMAN,6,12,0.5
project_example,writing_fiction,AI,10,18,0.5555555555555556
project_example,writing_fiction,HUMAN,8,18,0.4444444444444444
project_example,writing_misc,AI,11,24,0.4583333333333333
project_example,writing_misc,HUMAN,13,24,0.5416666666666666
walkthrough,,AI,9,11,0.8181818181818182
walkthrough,,HUMAN,2,11,0.18181818181818182
walkthrough,arts_crafts,AI,25,31,0.8064516129032258
walkthrough,arts_crafts,HUMAN,6,31,0.1935483870967742
walkthrough,design,AI,46,61,0.7540983606557377
walkthrough,design,HUMAN,15,61,0.2459016393442623
walkthrough,film_video,AI,18,23,0.782608695652174
walkthrough,film_video,HUMAN,5,23,0.21739130434782608
walkthrough,music,AI,18,22,0.8181818181818182
walkthrough,music,HUMAN,4,22,0.18181818181818182
walkthrough,photo,AI,14,24,0.5833333333333334
walkthrough,photo,HUMAN,10,24,0.4166666666666667
walkthrough,screenwriting,AI,13,22,0.5909090909090909
walkthrough,screenwriting,HUMAN,9,22,0.4090909090909091
walkthrough,web_content,AI,25,26,0.9615384615384616
walkthrough,web_content,HUMAN,1,26,0.038461538461538464
walkthrough,writing_fiction,AI,33,57,0.5789473684210527
walkthrough,writing_fiction,HUMAN,24,57,0.42105263157894735
walkthrough,writing_misc,AI,47,65,0.7230769230769231
walkthrough,writing_misc,HUMAN,18,65,0.27692307692307694
