transcript_id,creative_type,agent_binary,count,total,share
creativity_0000,music,AI,3,3,1.0
creativity_0001,music,AI,3,5,0.6
creativity_0001,music,HUMAN,2,5,0.4
creativity_0002,web_content,AI,4,8,0.5
creativity_0002,web_content,HUMAN,4,8,0.5
creativity_0003,photo,AI,2,5,0.4
creativity_0003,photo,HUMAN,3,5,0.6
creativity_0004,film_video,HUMAN,2,2,1.0
creativity_0005,arts_crafts,AI,2,4,0.5
creativity_0005,arts_crafts,HUMAN,2,4,0.5
creativity_0006,screenwriting,AI,4,6,0.6666666666666666
creativity_0006,screenwriting,HUMAN,2,6,0.3333333333333333
creativity_0007,web_content,AI,2,2,1.0
creativity_0008,photo,AI,3,8,0.375
creativity_0008,photo,HUMAN,5,8,0.625
creativity_0009,design,AI,6,7,0.8571428571428571
creativity_0009,design,HUMAN,1,7,0.14285714285714285
creativity_0010,photo,AI,5,15,0.3333333333333333
creativity_0010,photo,HUMAN,10,15,0.6666666666666666
creativity_0011,design,AI,3,4,0.75
creativity_0011,design,HUMAN,1,4,0.25
creativity_0012,writing_fiction,AI,4,6,0.6666666666666666
creativity_0012,writing_fiction,HUMAN,2,6,0.3333333333333333
creativity_0013,photo,AI,2,3,0.6666666666666666
creativity_0013,photo,HUMAN,1,3,0.3333333333333333
creativity_0014,design,AI,1,1,1.0
creativity_0015,writing_misc,AI,5,8,0.625
creativity_0015,writing_misc,HUMAN,3,8,0.375
creativity_0016,,AI,5,7,0.7142857142857143
creativity_0016,,HUMAN,2,7,0.2857142857142857
creativity_0017,writing_fiction,AI,5,8,0.625
creativity_0017,writing_fiction,HUMAN,3,8,0.375
creativity_0018,music,AI,1,3,0.3333333333333333
creativity_0018,music,HUMAN,2,3,0.6666666666666666
creativity_0019,design,AI,4,6,0.6666666666666666
creativity_0019,design,HUMAN,2,6,0.3333333333333333
creativity_0021,writing_fiction,AI,3,5,0.6
creativity_0021,writing_fiction,HUMAN,2,5,0.4
creativity_0022,design,AI,7,11,0.6363636363636364
creativity_0022,design,HUMAN,4,11,0.36363636363636365
creativity_0023,arts_crafts,HUMAN,1,1,1.0
creativity_0024,writing_fiction,AI,4,8,0.5
creativity_0024,writing_fiction,HUMAN,4,8,0.5
creativity_0025,arts_crafts,AI,3,6,0.5
creativity_0025,arts_crafts,HUMAN,3,6,0.5
creativity_0026,screenwriting,AI,5,8,0.625
creativity_0026,screenwriting,HUMAN,3,8,0.375
creativity_0027,design,AI,1,5,0.2
creativity_0027,design,HUMAN,4,5,0.8
creativity_0028,writing_fiction,AI,2,4,0.5
creativity_0028,writing_fiction,HUMAN,2,4,0.5
creativity_0029,design,AI,6,7,0.8571428571428571
creativity_0029,design,HUMAN,1,7,0.14285714285714285
creativity_0030,writing_fiction,AI,6,8,0.75
creativity_0030,writing_fiction,HUMAN,2,8,0.25
creativity_0031,film_video,AI,1,4,0.25
creativity_0031,film_video,HUMAN,3,4,0.75
creativity_0032,writing_fiction,AI,2,9,0.2222222222222222
creativity_0032,writing_fiction,HUMAN,7,9,0.7777777777777778
