agent_binary,subj_lemma,pred_lemma,obj_lemma,action_lemma,pattern,voice,ai_in_obl,ai_obl_hits,freq,n_transcripts,n_sections,n_clusters,triplet_sig,examples,examples_ctx,ai_in_ctx
AI,I,use,AI,,SVO,ACT,,,115,68,3,5,I :: use :: AI,I using AI ||| I use AI ||| I used AI,"I using AI  || ctx: I 've been using AI to critically ||| I use AI  || ctx: , I will use AI for straight ||| I use AI  || ctx: would say I use AI most in",TRUE
AI,I,use,it,,SVO,ACT,,,61,43,3,5,I :: use :: it,I using it ||| I use it ||| I used it,I using it  || ctx: I 'm using it mostly for ||| I use it  || ctx: I use it for everything ||| I use it  || ctx: I also occasionally use it for proofreading,FALSE
HUMAN,I,think,,,SV,ACT,TRUE,ai,36,29,3,5,I :: think ::,I think ||| I thinking ||| I thought,I think  || ctx: I think it would be ||| I thinking  || ctx: while I was thinking about a whole ||| I think  || ctx: haha so I think it is just,FALSE
HUMAN,I,drive,decision,,SVO,ACT,,,27,27,1,5,I :: drive :: decision,I driving the creative decisions ||| I driving the create decisions ||| I driving the decisions,I driving the creative decisions  || ctx: ultimately I 'm driving the creative decisions ||| I driving the create decisions  || ctx: that I am driving the create decisions ||| I driving the creative decisions  || ctx: guess I 'm driving the creative decisions,FALSE
,I,go,,,SV,ACT,TRUE,ai,24,18,3,5,I :: go ::,I gon ||| I go ||| I going,"I gon  || ctx: , I 'm gon na be so ||| I go  || ctx: I sometimes will go as far as ||| I going  || ctx: what I 'm going for and provide",FALSE
HUMAN,I,have,idea,,SVO,ACT,,,19,18,3,5,I :: have :: idea,I have a specific idea what ||| I have the main idea ||| I have a clear idea head,I have a specific idea what  || ctx: I have a very specific ||| I have the main idea  || ctx: I generally have the main idea ||| I have a clear idea head  || ctx: decisions because I have a clear idea,FALSE
AI,I,use,tool,,SVO,ACT,,,19,15,2,5,I :: use :: tool,I use AI tools ||| I use VidIQ AI tools ||| I used an AI tool,I use AI tools  || ctx: I use AI tools for ||| I use AI tools  || ctx: I use AI tools every ||| I use VidIQ AI tools  || ctx: I also use VidIQ and YouTube,TRUE
HUMAN,I,come,,,SV,ACT,TRUE,ai,18,16,3,5,I :: come ::,I come ||| I coming ||| I came,I come  || ctx: I come with some clear ||| I come  || ctx: obscure questions I come up with requires ||| I come  || ctx: I could n't come up with a,FALSE
,I,start,,,SV,ACT,TRUE,ai,13,12,3,4,I :: start ::,I start ||| I started ||| I starting,"I start  || ctx: the prompt I start with has as ||| I started  || ctx: When I started out , I ||| I started  || ctx: So , I started by basically saying",FALSE
AI,I,reach,,,SV,ACT,TRUE,ai|llm,13,11,2,4,I :: reach ::,I reach ||| I reaching ||| I reached,I reach  || ctx: I 'll also reach for AI when ||| I reach  || ctx: I do n't reach for AI a ||| I reach  || ctx: I will sometimes reach out to AI,TRUE
AI,I,ask,AI,,SVO,ACT,,,12,9,3,3,I :: ask :: AI,I ask AI ||| I asked AI ||| I ask the AI,"I ask AI  || ctx: , I might ask AI for a ||| I asked AI  || ctx: and then I asked AI for a ||| I asked AI  || ctx: , I have asked AI what the",TRUE
,I,need,,,SV,ACT,TRUE,ai,11,10,3,5,I :: need ::,I need ||| I needed,"I need  || ctx: on it I need to be happy ||| I needed  || ctx: Reel like I needed here , it ||| I need  || ctx: finding information I need for realism ,",FALSE
AI,I,like,,use,SVxCOMP,ACT,,,10,10,2,4,I :: like ::  :: use,I like → use ||| I like → using,"I like → use  || ctx: I really like to use AI ||| I like → using  || ctx: I like using AI to ||| I like → use  || ctx: for , I like to use deep",TRUE
AI,I,use,model,,SVO,ACT,,,9,8,3,5,I :: use :: model,I use AI models ||| I use that model ||| I use the models,I use AI models  || ctx: but I often use AI models to ||| I use that model  || ctx: so I generally use that model . ||| I use the models  || ctx: I also use the models to,TRUE
HUMAN,I,get,,,SV,ACT,TRUE,ai,9,7,3,4,I :: get ::,I get ||| I gotten ||| I got,I get  || ctx: so I could get to the fun ||| I gotten  || ctx: I have gotten close a couple ||| I get  || ctx: I will get there ( i,FALSE
