label,obj_lemma,count
AI,AI,173
AI,,52
AI,tool,19
AI,model,18
AI,I,16
AI,myself,9
AI,ChatGPT,5
AI,conversation,4
AI,idea,4
AI,they,4
AI,Ai,3
AI,job,3
AI,answer,2
AI,article,2
AI,chatgpt,2
AI,difficulty,2
AI,how,2
AI,most,2
AI,much,2
AI,response,2
AI,suggestion,2
HUMAN,,72
HUMAN,decision,33
HUMAN,idea,31
HUMAN,help,7
HUMAN,image,4
HUMAN,kit,3
HUMAN,research,3
HUMAN,amount,2
HUMAN,background,2
HUMAN,book,2
HUMAN,collaboration,2
HUMAN,example,2
HUMAN,hallucination,2
HUMAN,how,2
HUMAN,info,2
HUMAN,knowledge,2
HUMAN,lot,2
HUMAN,process,2
HUMAN,program,2
HUMAN,scene,2
HUMAN,video,2
HUMAN,word,2
