transcript_id,AI,HUMAN,TOTAL,AI_share
creativity_0000,3,0,3,1.0
creativity_0005,2,0,2,1.0
creativity_0007,2,0,2,1.0
creativity_0013,2,0,2,1.0
creativity_0014,1,0,1,1.0
creativity_0054,2,0,2,1.0
creativity_0044,2,0,2,1.0
creativity_0056,4,0,4,1.0
creativity_0047,1,0,1,1.0
creativity_0029,6,0,6,1.0
creativity_0073,8,0,8,1.0
creativity_0063,7,0,7,1.0
creativity_0100,2,0,2,1.0
creativity_0106,2,0,2,1.0
creativity_0105,2,0,2,1.0
creativity_0124,2,0,2,1.0
creativity_0118,3,0,3,1.0
creativity_0119,5,0,5,1.0
creativity_0113,4,0,4,1.0
creativity_0109,2,0,2,1.0
creativity_0120,3,0,3,1.0
creativity_0081,5,0,5,1.0
creativity_0087,2,0,2,1.0
creativity_0088,5,0,5,1.0
creativity_0074,4,0,4,1.0
creativity_0076,1,0,1,1.0
creativity_0078,11,1,12,0.9166666666666666
creativity_0123,9,1,10,0.9
creativity_0097,8,1,9,0.8888888888888888
creativity_0117,6,1,7,0.8571428571428571
creativity_0009,6,1,7,0.8571428571428571
creativity_0072,5,1,6,0.8333333333333334
creativity_0026,5,1,6,0.8333333333333334
creativity_0043,4,1,5,0.8
creativity_0045,4,1,5,0.8
creativity_0042,4,1,5,0.8
creativity_0094,4,1,5,0.8
creativity_0096,4,1,5,0.8
creativity_0090,4,1,5,0.8
creativity_0012,4,1,5,0.8
creativity_0019,4,1,5,0.8
creativity_0024,4,1,5,0.8
creativity_0103,3,1,4,0.75
creativity_0111,3,1,4,0.75
creativity_0011,3,1,4,0.75
creativity_0060,3,1,4,0.75
creativity_0021,3,1,4,0.75
creativity_0065,3,1,4,0.75
creativity_0062,3,1,4,0.75
creativity_0064,3,1,4,0.75
creativity_0049,3,1,4,0.75
creativity_0030,6,2,8,0.75
creativity_0122,5,2,7,0.7142857142857143
creativity_0083,5,2,7,0.7142857142857143
creativity_0086,5,2,7,0.7142857142857143
creativity_0016,5,2,7,0.7142857142857143
creativity_0046,5,2,7,0.7142857142857143
creativity_0017,5,2,7,0.7142857142857143
creativity_0015,5,2,7,0.7142857142857143
creativity_0022,7,3,10,0.7
creativity_0069,4,2,6,0.6666666666666666
creativity_0104,6,3,9,0.6666666666666666
creativity_0114,4,2,6,0.6666666666666666
creativity_0116,4,2,6,0.6666666666666666
creativity_0107,4,2,6,0.6666666666666666
creativity_0082,2,1,3,0.6666666666666666
creativity_0077,6,3,9,0.6666666666666666
creativity_0057,2,1,3,0.6666666666666666
creativity_0006,4,2,6,0.6666666666666666
creativity_0059,2,1,3,0.6666666666666666
creativity_0036,2,1,3,0.6666666666666666
creativity_0035,5,3,8,0.625
creativity_0110,5,3,8,0.625
creativity_0091,3,2,5,0.6
creativity_0089,9,6,15,0.6
creativity_0079,3,2,5,0.6
creativity_0040,3,2,5,0.6
creativity_0001,3,2,5,0.6
creativity_0038,3,2,5,0.6
creativity_0055,7,5,12,0.5833333333333334
creativity_0048,5,4,9,0.5555555555555556
creativity_0121,5,4,9,0.5555555555555556
creativity_0002,4,4,8,0.5
creativity_0003,2,2,4,0.5
creativity_0028,2,2,4,0.5
creativity_0025,3,3,6,0.5
creativity_0010,5,5,10,0.5
creativity_0018,1,1,2,0.5
creativity_0051,3,3,6,0.5
creativity_0041,1,1,2,0.5
creativity_0052,1,1,2,0.5
creativity_0053,2,2,4,0.5
creativity_0095,1,1,2,0.5
creativity_0093,1,1,2,0.5
creativity_0112,1,1,2,0.5
creativity_0102,2,2,4,0.5
creativity_0099,1,1,2,0.5
creativity_0070,4,4,8,0.5
creativity_0085,2,2,4,0.5
creativity_0084,4,4,8,0.5
creativity_0075,2,2,4,0.5
creativity_0034,3,4,7,0.42857142857142855
creativity_0071,5,7,12,0.4166666666666667
creativity_0039,2,3,5,0.4
creativity_0037,2,3,5,0.4
creativity_0050,2,3,5,0.4
creativity_0066,2,3,5,0.4
creativity_0092,2,3,5,0.4
creativity_0101,4,6,10,0.4
creativity_0108,2,4,6,0.3333333333333333
creativity_0115,1,2,3,0.3333333333333333
creativity_0031,1,2,3,0.3333333333333333
creativity_0058,5,10,15,0.3333333333333333
creativity_0027,1,2,3,0.3333333333333333
creativity_0032,2,5,7,0.2857142857142857
creativity_0033,2,5,7,0.2857142857142857
creativity_0061,2,5,7,0.2857142857142857
creativity_0068,1,3,4,0.25
creativity_0008,1,4,5,0.2
creativity_0098,1,5,6,0.16666666666666666
creativity_0004,0,1,1,0.0
creativity_0023,0,1,1,0.0
creativity_0080,0,3,3,0.0
creativity_0067,0,1,1,0.0
