transcript_id,section,AI,HUMAN,TOTAL,AI_share
creativity_0000,project_example,2,0,2,1.0
creativity_0000,walkthrough,1,0,1,1.0
creativity_0001,dynamic,1,1,2,0.5
creativity_0001,project_example,1,1,2,0.5
creativity_0001,walkthrough,1,0,1,1.0
creativity_0002,dynamic,0,2,2,0.0
creativity_0002,project_example,0,1,1,0.0
creativity_0002,walkthrough,4,1,5,0.8
creativity_0003,dynamic,0,1,1,0.0
creativity_0003,project_example,1,1,2,0.5
creativity_0003,walkthrough,1,0,1,1.0
creativity_0004,dynamic,0,1,1,0.0
creativity_0005,project_example,1,0,1,1.0
creativity_0005,walkthrough,1,0,1,1.0
creativity_0006,dynamic,0,1,1,0.0
creativity_0006,project_example,1,1,2,0.5
creativity_0006,walkthrough,3,0,3,1.0
creativity_0007,walkthrough,2,0,2,1.0
creativity_0008,dynamic,0,2,2,0.0
creativity_0008,walkthrough,1,2,3,0.3333333333333333
creativity_0009,dynamic,2,0,2,1.0
creativity_0009,project_example,3,0,3,1.0
creativity_0009,walkthrough,1,1,2,0.5
creativity_0010,dynamic,0,1,1,0.0
creativity_0010,project_example,4,3,7,0.5714285714285714
creativity_0010,walkthrough,1,1,2,0.5
creativity_0011,dynamic,1,0,1,1.0
creativity_0011,walkthrough,2,1,3,0.6666666666666666
creativity_0012,dynamic,0,1,1,0.0
creativity_0012,project_example,1,0,1,1.0
creativity_0012,walkthrough,3,0,3,1.0
creativity_0013,walkthrough,2,0,2,1.0
creativity_0014,dynamic,1,0,1,1.0
creativity_0015,dynamic,1,1,2,0.5
creativity_0015,project_example,1,0,1,1.0
creativity_0015,walkthrough,3,1,4,0.75
creativity_0016,dynamic,0,2,2,0.0
creativity_0016,project_example,2,0,2,1.0
creativity_0016,walkthrough,3,0,3,1.0
creativity_0017,dynamic,2,1,3,0.6666666666666666
creativity_0017,walkthrough,3,1,4,0.75
creativity_0018,project_example,0,1,1,0.0
creativity_0018,walkthrough,1,0,1,1.0
creativity_0019,project_example,1,0,1,1.0
creativity_0019,walkthrough,3,1,4,0.75
creativity_0021,dynamic,1,0,1,1.0
creativity_0021,project_example,1,0,1,1.0
creativity_0021,walkthrough,1,1,2,0.5
creativity_0022,dynamic,0,3,3,0.0
creativity_0022,project_example,1,0,1,1.0
creativity_0022,walkthrough,6,0,6,1.0
creativity_0023,dynamic,0,1,1,0.0
creativity_0024,project_example,0,1,1,0.0
creativity_0024,walkthrough,4,0,4,1.0
creativity_0025,dynamic,1,2,3,0.3333333333333333
creativity_0025,walkthrough,2,1,3,0.6666666666666666
creativity_0026,dynamic,0,1,1,0.0
creativity_0026,project_example,5,0,5,1.0
creativity_0027,project_example,0,2,2,0.0
creativity_0027,walkthrough,1,0,1,1.0
creativity_0028,dynamic,1,0,1,1.0
creativity_0028,walkthrough,1,2,3,0.3333333333333333
creativity_0029,dynamic,1,0,1,1.0
