triplet_sig,count_dynamic,count_other,p_dyn,p_oth,log_odds_dyn,share_in_dynamic,agent_binary_any
I :: drive :: decision,27.0,0.0,0.023871527777777776,0.00013000520020800833,5.2128672701253596,1.0,HUMAN
I :: make :: decision,6.0,0.0,0.005642361111111111,0.00013000520020800833,3.770483442354425,1.0,HUMAN
I :: make :: ,7.0,4.0,0.006510416666666667,0.001170046801872075,1.7163597086588793,0.6363636363636364,
I :: get :: ,5.0,4.0,0.004774305555555556,0.001170046801872075,1.4062047803550397,0.5555555555555556,HUMAN
I :: need :: ,6.0,5.0,0.005642361111111111,0.0014300572022880914,1.3725881695560547,0.5454545454545454,
it :: work :: ,6.0,5.0,0.005642361111111111,0.0014300572022880914,1.3725881695560547,0.5454545454545454,
it :: feel :: ,13.0,12.0,0.01171875,0.003250130005200208,1.282495126029017,0.52,
I :: feel :: ,37.0,35.0,0.032552083333333336,0.00923036921476859,1.2603423213878837,0.5138888888888888,
I :: want :: ,12.0,12.0,0.010850694444444444,0.003250130005200208,1.2055340848928884,0.5,
I :: say :: ,9.0,12.0,0.008246527777777778,0.003250130005200208,0.9310972391911283,0.42857142857142855,
I :: have :: idea,8.0,11.0,0.007378472222222222,0.0029901196047841913,0.9032532130199549,0.42105263157894735,HUMAN
I :: think :: ,17.0,24.0,0.015190972222222222,0.006370254810192408,0.8690618482716755,0.4146341463414634,
it :: come :: ,8.0,16.0,0.007378472222222222,0.004290171606864275,0.5422398674826242,0.3333333333333333,
I :: look :: ,9.0,19.0,0.008246527777777778,0.005070202808112325,0.4864114179296825,0.32142857142857145,
I :: use :: ,5.0,11.0,0.004774305555555556,0.0029901196047841913,0.4679351417621094,0.3125,
I :: ask :: ,7.0,25.0,0.006510416666666667,0.006630265210608425,-0.018241346729227205,0.21875,
I :: use :: it,8.0,57.0,0.007378472222222222,0.014950598023920956,-0.7061846994141454,0.12307692307692308,AI
I :: use :: AI,12.0,114.0,0.010850694444444444,0.029771190847633907,-1.0093120937931506,0.09523809523809523,AI
I :: work :: ,8.0,82.0,0.007378472222222222,0.021450858034321372,-1.0671980449514762,0.08888888888888889,
