transcript_id,sent_id,section,role,cluster,long_cluster,voice,pattern,subj_lemma,pred_lemma,obj_lemma,action_lemma,subj_text,pred_text,obj_text,action_text
creativity_0000,2,basic_job_description,user,Audiovisual,4,ACT,SVxCOMP,that,mean,,write,That,means,,write
creativity_0000,2,basic_job_description,user,Audiovisual,4,ACT,SVO,I,write,music,,I,write,music,
creativity_0000,3,basic_job_description,user,Audiovisual,4,ACT,SVO,I,write,piece,,I,write,standalone pieces,
creativity_0000,4,basic_job_description,user,Audiovisual,4,ACT,SVO,I,do,everything,,I,do,everything design,
creativity_0000,4,basic_job_description,user,Audiovisual,4,ACT,SVO,I,do,everything,,I,do,everything design,
creativity_0000,4,basic_job_description,user,Audiovisual,4,ACT,SV,skill,compose,,,my main skill,composing,,
creativity_0000,1,walkthrough,user,Audiovisual,4,ACT,SVO,I,use,tool,,I,use,AI tools,
creativity_0000,2,walkthrough,user,Audiovisual,4,ACT,SVxCOMP,I,mention,,use,I,mention,,use
creativity_0000,2,walkthrough,user,Audiovisual,4,ACT,SVO,I,use,learning,,I,use,some machine learning,
creativity_0000,4,walkthrough,user,Audiovisual,4,ACT,SV,it,talk,,,it,talking,,
creativity_0000,1,project_example,user,Audiovisual,4,ACT,SVO,I,use,AI,,I,using,AI,
creativity_0000,3,project_example,user,Audiovisual,4,ACT,SVOxCOMP,I,ask,AI,help,I,asking,AI,help
creativity_0000,3,project_example,user,Audiovisual,4,ACT,SVO,what,make,score,,what,made,the score,
creativity_0000,1,dynamic,user,Audiovisual,4,ACT,SVOxCOMP,it,help,I,refine,it,helped,me,refine
creativity_0000,2,dynamic,user,Audiovisual,4,ACT,SV,I,send,,,I,sending,,
creativity_0000,2,dynamic,user,Audiovisual,4,PASS,SVO,that,consider,that,,that,considered,that,
creativity_0001,2,basic_job_description,user,Audiovisual,4,ACT,SV,I,work,,,I,work,,
creativity_0001,4,basic_job_description,user,Audiovisual,4,ACT,SVO,I,have,access,,I,have,the same access studio,
creativity_0001,4,basic_job_description,user,Audiovisual,4,ACT,SVxCOMP,I,hope,,move,I,hoping,,move
creativity_0001,5,basic_job_description,user,Audiovisual,4,ACT,SVO,I,play,guitar,,I,play,guitar,
creativity_0001,5,basic_job_description,user,Audiovisual,4,ACT,SV,I,can,,,I,can,,
creativity_0001,1,walkthrough,user,Audiovisual,4,ACT,SVO,I,use,it,,I,using,it,
creativity_0001,3,walkthrough,user,Audiovisual,4,ACT,SV,that,be,,,That,is,,
creativity_0001,3,walkthrough,user,Audiovisual,4,ACT,SV,write,work,,,write,works,,
creativity_0001,3,walkthrough,user,Audiovisual,4,ACT,SVO,I,write,instrumental,,me,write,full instrumentals,
creativity_0001,4,walkthrough,user,Audiovisual,4,ACT,SVO,it,come,time,,it,comes,time,
creativity_0001,4,walkthrough,user,Audiovisual,4,ACT,SVO,I,ask,ChatGPT,,I,ask,ChatGPT,
creativity_0001,5,walkthrough,user,Audiovisual,4,ACT,SV,get,lead,,,getting,leads,,
creativity_0001,7,walkthrough,user,Audiovisual,4,ACT,SVO,I,have,worth,,I,have,EP worth music,
creativity_0001,8,walkthrough,user,Audiovisual,4,ACT,SV,theme,be,,,themes,'s,,
creativity_0001,9,walkthrough,user,Audiovisual,4,ACT,SVOxCOMP,I,have,llm,drop,I,have,an LLM,drop
creativity_0001,2,project_example,user,Audiovisual,4,ACT,SVO,I,have,name,,I,had,placeholder names,
creativity_0001,2,project_example,user,Audiovisual,4,ACT,SVxCOMP,I,want,,change,I,wanted,,change
creativity_0001,3,project_example,user,Audiovisual,4,ACT,SVO,I,tell,ChatGPT,,I,told,ChatGPT,
creativity_0001,4,project_example,user,Audiovisual,4,ACT,SVO,ChatGPT,know,lot,,ChatGPT,knows,a lot projects,
creativity_0001,4,project_example,user,Audiovisual,4,ACT,SVO,it,use,info,,it,use,that info,
creativity_0001,5,project_example,user,Audiovisual,4,ACT,SVO,I,tell,it,,I,told,it,
creativity_0001,5,project_example,user,Audiovisual,4,ACT,SVO,I,tell,name,,I,told,the 4 working track names,
creativity_0001,5,project_example,user,Audiovisual,4,ACT,SV,I,like,,,I,liked,,
creativity_0001,5,project_example,user,Audiovisual,4,ACT,SV,I,do,,,I,did,,
creativity_0001,6,project_example,user,Audiovisual,4,ACT,SV,we,go,,,We,went,,
creativity_0001,6,project_example,user,Audiovisual,4,ACT,SV,I,end,,,I,ended,,
creativity_0001,1,dynamic,user,Audiovisual,4,ACT,SVxCOMP,I,like,,keep,I,like,,keep
creativity_0001,2,dynamic,user,Audiovisual,4,ACT,SVO,I,have,idea,,I,have,a specific idea what,
creativity_0001,2,dynamic,user,Audiovisual,4,ACT,SVOxCOMP,I,want,name,evoke,I,wanted,the song names,evoke
creativity_0001,3,dynamic,user,Audiovisual,4,ACT,SVO,it,know,it,,It,know,it,
creativity_0001,3,dynamic,user,Audiovisual,4,ACT,SVO,it,know,thing,,It,know,thing,
creativity_0001,3,dynamic,user,Audiovisual,4,ACT,SVO,I,hear,it,,I,hear,it,
creativity_0001,3,dynamic,user,Audiovisual,4,ACT,SVOxCOMP,I,want,it,throw,I,want,it,throw
creativity_0001,5,dynamic,user,Audiovisual,4,ACT,SVO,I,tell,it,,I,tell,it,
creativity_0001,5,dynamic,user,Audiovisual,4,ACT,SV,we,get,,,we,get,,
creativity_0002,1,basic_job_description,user,Content writing,2,PASS,SVO,work,centre,work,,My creative work,centred,My creative work,
creativity_0002,1,basic_job_description,user,Content writing,2,ACT,SVxCOMP,which,involve,,use,which,involves,,using
creativity_0002,1,basic_job_description,user,Content writing,2,ACT,SVOxCOMP,that,help,website,rank,that,help,websites,rank
creativity_0002,2,basic_job_description,user,Content writing,2,ACT,SVO,I,manage,team,,I,manage,a small team writers,
creativity_0002,1,walkthrough,user,Content writing,2,ACT,SVOxCOMP,I,find,myself,reach,I,find,myself,reaching
creativity_0002,1,walkthrough,user,Content writing,2,ACT,SV,time,go,,,time,goes,,
creativity_0002,1,walkthrough,user,Content writing,2,ACT,SVxCOMP,capability,continue,,improve,its capabilities,continue,,improve
creativity_0002,2,walkthrough,user,Content writing,2,ACT,SVO,I,use,it,,I,use,it,
creativity_0002,3,walkthrough,user,Content writing,2,ACT,SVO,I,use,it,,I,use,it,
creativity_0002,4,walkthrough,user,Content writing,2,ACT,SV,I,reach,,,I,reach,,
creativity_0002,4,walkthrough,user,Content writing,2,ACT,SVxCOMP,I,have,,do,I,have,,do
creativity_0002,1,project_example,user,Content writing,2,ACT,SVxCOMP,I,need,,write,I,needed,,write
creativity_0002,2,project_example,user,Content writing,2,PASS,SVO,content,write,content,,the content,written,the content,
creativity_0002,3,project_example,user,Content writing,2,ACT,SV,I,rewrite,,,I,rewrite,,
creativity_0002,4,project_example,user,Content writing,2,ACT,SV,I,feel,,,I,felt,,
creativity_0002,4,project_example,user,Content writing,2,ACT,SVOxCOMP,use,help,I,achieve,using,helped,me,achieve
creativity_0002,1,dynamic,user,Content writing,2,ACT,SVOxCOMP,I,get,AI,do,I,get,AI,do
creativity_0002,1,dynamic,user,Content writing,2,ACT,SV,I,tidy,,,I,tidy,,
creativity_0002,2,dynamic,user,Content writing,2,ACT,SV,I,make,,,I,make,,
creativity_0002,2,dynamic,user,Content writing,2,ACT,SVO,content,undergoe,check,,all content,undergoes,multiple human checks,
creativity_0002,2,dynamic,user,Content writing,2,ACT,SV,hallucination,be,,,no hallucinations,are,,
creativity_0002,3,dynamic,user,Content writing,2,ACT,SV,I,make,,,I,make,,
creativity_0002,3,dynamic,user,Content writing,2,ACT,SV,I,start,,,I,start,,
creativity_0002,3,dynamic,user,Content writing,2,ACT,SVO,prompt,have,information,,the prompt,has,much information,
creativity_0002,3,dynamic,user,Content writing,2,ACT,SVxCOMP,which,mean,,drive,which,means,,driving
creativity_0002,3,dynamic,user,Content writing,2,ACT,SVO,I,drive,decision,,I,driving,the creative decisions,
creativity_0002,3,dynamic,user,Content writing,2,ACT,SVO,I,want,it,,I,want,it,
creativity_0003,2,basic_job_description,user,Content writing,2,ACT,SV,I,come,,,I,coming,,
creativity_0003,2,basic_job_description,user,Content writing,2,ACT,SVO,who,learn,tap,,who,learning,tap,
creativity_0003,3,basic_job_description,user,Content writing,2,ACT,SV,plan,need,,,The lesson plans,need,,
creativity_0003,4,basic_job_description,user,Content writing,2,ACT,SV,something,expand,,,Something else,expand,,
creativity_0003,4,basic_job_description,user,Content writing,2,ACT,SV,plan,expand,,,the lesson plans,expand,,
creativity_0003,4,basic_job_description,user,Content writing,2,PASS,SVO,skill,review,skill,,other skills,reviewed,other skills,
creativity_0003,5,basic_job_description,user,Content writing,2,ACT,SVO,I,create,combination,,I,create,a dance combination class,
creativity_0003,6,basic_job_description,user,Content writing,2,ACT,SVxCOMP,this,mean,,create,This,means,,create
creativity_0003,6,basic_job_description,user,Content writing,2,ACT,SVO,I,create,piece,,I,create,a short piece chorography,
creativity_0003,6,basic_job_description,user,Content writing,2,PASS,SVO,that,tailor,that,,that,tailored,that,
creativity_0003,6,basic_job_description,user,Content writing,2,ACT,SV,I,go,,,I,going,,
creativity_0003,7,basic_job_description,user,Content writing,2,ACT,SVO,I,develop,style,,I,developing,my own choreography style,
creativity_0003,8,basic_job_description,user,Content writing,2,ACT,SVO,I,choreograph,piece,,I,choreographing,a few pieces,
creativity_0003,1,walkthrough,user,Content writing,2,ACT,SVO,I,use,tool,,I,use,AI tools,
creativity_0003,2,walkthrough,user,Content writing,2,ACT,SVxCOMP,I,like,,ask,I,like,,ask
creativity_0003,2,walkthrough,user,Content writing,2,ACT,SVO,I,teach,that,,I,teach,that,
creativity_0003,2,walkthrough,user,Content writing,2,ACT,SVO,I,teach,student,,I,teach,my students,
creativity_0003,2,project_example,user,Content writing,2,ACT,SVOxCOMP,I,ask,AI,come,I,asked,AI,come
creativity_0003,3,project_example,user,Content writing,2,ACT,SVOxCOMP,this,make,I,feel,This,made,me,feel
creativity_0003,4,project_example,user,Content writing,2,ACT,SVO,plan,take,time,,Planning,takes,much time,
creativity_0003,4,project_example,user,Content writing,2,PASS,SVO,I,pay,which,,I,paid,which for,
creativity_0003,4,project_example,user,Content writing,2,PASS,SVO,I,pay,I,,I,paid,I,
creativity_0003,5,project_example,user,Content writing,2,ACT,SVO,AI,save,I,,AI,saved,me,
creativity_0003,5,project_example,user,Content writing,2,ACT,SVO,AI,save,time,,AI,saved,much time,
creativity_0003,6,project_example,user,Content writing,2,ACT,SVO,I,spend,lot,,I,spending,a lot time,
creativity_0003,7,project_example,user,Content writing,2,ACT,SVO,I,find,syllabi,,I,finding,different dance syllabi,
creativity_0003,7,project_example,user,Content writing,2,ACT,SVO,I,use,that,,I,use,that,
creativity_0003,9,project_example,user,Content writing,2,ACT,SVxCOMP,AI,seem,,do,AI,seems,,do
creativity_0003,11,project_example,user,Content writing,2,ACT,SVOxCOMP,I,ask,AI,make,I,ask,AI,make
creativity_0003,11,project_example,user,Content writing,2,ACT,SVOxCOMP,I,ask,it,add,I,ask,it,add
creativity_0003,1,dynamic,user,Content writing,2,ACT,SVxCOMP,I,like,,think,I,like,,think
creativity_0003,1,dynamic,user,Content writing,2,ACT,SVO,I,drive,decision,,I,driving,the create decisions,
creativity_0003,2,dynamic,user,Content writing,2,ACT,SV,I,want,,,I,want,,
creativity_0003,3,dynamic,user,Content writing,2,ACT,SVxCOMP,I,feel,,get,I,feel,,getting
creativity_0003,3,dynamic,user,Content writing,2,ACT,SV,model,get,,,the AI model,getting,,
creativity_0003,3,dynamic,user,Content writing,2,ACT,SV,I,envision,,,I,envisioning,,
creativity_0003,3,dynamic,user,Content writing,2,ACT,SVO,I,redirect,model,,I,redirect,the model,
creativity_0003,3,dynamic,user,Content writing,2,ACT,SV,we,start,,,we,start,,
creativity_0004,1,basic_job_description,user,Audiovisual,4,ACT,SV,I,work,,,I,work,,
creativity_0004,2,basic_job_description,user,Audiovisual,4,ACT,SV,this,involve,,,This,involves,,
creativity_0004,1,walkthrough,user,Audiovisual,4,ACT,SV,I,find,,,I,find,,
creativity_0004,3,walkthrough,user,Audiovisual,4,ACT,SVO,which,free,time,,which,frees,more time,
creativity_0004,1,project_example,user,Audiovisual,4,ACT,SV,I,work,,,I,worked,,
creativity_0004,1,project_example,user,Audiovisual,4,ACT,SVOxCOMP,we,use,AI,draft,we,used,AI,draft
creativity_0004,2,project_example,user,Audiovisual,4,ACT,SV,department,be,,,no HR department productions,is,,
creativity_0004,2,project_example,user,Audiovisual,4,ACT,SV,task,fall,,,those tasks,fall,,
creativity_0004,2,project_example,user,Audiovisual,4,ACT,SVO,that,have,tone,,that,has,the right tone,
creativity_0004,3,project_example,user,Audiovisual,4,ACT,SVxCOMP,we,try,,use,We,tried,,using
creativity_0004,3,project_example,user,Audiovisual,4,ACT,SV,it,work,,,it,work,,
creativity_0004,3,project_example,user,Audiovisual,4,ACT,SVO,I,find,model,,I,found,an AI model,
creativity_0004,1,dynamic,user,Audiovisual,4,PASS,SVO,it,write,it,,it,written,it,
creativity_0004,2,dynamic,user,Audiovisual,4,ACT,SVxCOMP,I,go,,send,I,going,,send
creativity_0004,2,dynamic,user,Audiovisual,4,ACT,SV,I,need,,,I,need,,
creativity_0004,2,dynamic,user,Audiovisual,4,ACT,SVO,I,want,it,,I,want,it,
creativity_0004,3,dynamic,user,Audiovisual,4,ACT,SV,I,think,,,I,think,,
creativity_0004,3,dynamic,user,Audiovisual,4,ACT,SV,it,be,,,it,is,,
creativity_0005,2,basic_job_description,user,"Art, design, crafts",1,ACT,SVxCOMP,I,begin,,work,I,began,,work
creativity_0005,3,basic_job_description,user,"Art, design, crafts",1,ACT,SVO,I,run,show,,I,run,the show,
creativity_0005,3,basic_job_description,user,"Art, design, crafts",1,ACT,SV,I,come,,,I,come,,
creativity_0005,4,basic_job_description,user,"Art, design, crafts",1,PASS,SVO,we,focus,we,,we,focused,we,
creativity_0005,4,basic_job_description,user,"Art, design, crafts",1,ACT,SVO,I,light,work,,I,light,work,
creativity_0005,5,basic_job_description,user,"Art, design, crafts",1,ACT,SVO,I,learn,something,,I,learning,something,
creativity_0005,6,basic_job_description,user,"Art, design, crafts",1,ACT,SV,I,come,,,I,came,,
creativity_0005,6,basic_job_description,user,"Art, design, crafts",1,ACT,SV,have,go,,,having,go,,
creativity_0005,7,basic_job_description,user,"Art, design, crafts",1,ACT,SV,project,vary,,,Projects,vary,,
creativity_0005,7,basic_job_description,user,"Art, design, crafts",1,ACT,SVO,I,try,thing,,I,trying,new things,
creativity_0005,7,basic_job_description,user,"Art, design, crafts",1,ACT,SVO,we,have,segment,,we,have,a consistent Student segment,
creativity_0005,7,basic_job_description,user,"Art, design, crafts",1,ACT,SV,I,prepare,,,I,prepare,,
creativity_0005,3,walkthrough,user,"Art, design, crafts",1,ACT,SV,it,come,,,it,comes,,
creativity_0005,4,walkthrough,user,"Art, design, crafts",1,ACT,SV,I,hate,,,I,hate,,
creativity_0005,4,walkthrough,user,"Art, design, crafts",1,ACT,SV,I,go,,,I,gon,,
creativity_0005,4,walkthrough,user,"Art, design, crafts",1,ACT,SVxCOMP,I,start,,italicize,I,started,,italicizing
creativity_0005,5,walkthrough,user,"Art, design, crafts",1,ACT,SVxCOMP,I,hate,,come,I,hate,,coming
creativity_0005,5,walkthrough,user,"Art, design, crafts",1,ACT,SVO,I,post,type,,I,posting,many different types content,
creativity_0005,8,walkthrough,user,"Art, design, crafts",1,ACT,SV,I,go,,,I,go,,
creativity_0005,8,walkthrough,user,"Art, design, crafts",1,ACT,SV,hashtag,generate,,,hashtag,generating,,
creativity_0005,8,walkthrough,user,"Art, design, crafts",1,ACT,SV,I,feel,,,I,feel,,
creativity_0005,8,walkthrough,user,"Art, design, crafts",1,ACT,SVO,AI,need,work,,AI,needs,some work that,
creativity_0005,9,walkthrough,user,"Art, design, crafts",1,ACT,SVO,I,use,AI,,I,use,AI,
creativity_0005,10,walkthrough,user,"Art, design, crafts",1,ACT,SVxCOMP,I,find,,pick,I,find,,pick
creativity_0005,10,walkthrough,user,"Art, design, crafts",1,ACT,SV,AI,pick,,,AI,pick,,
creativity_0005,2,project_example,user,"Art, design, crafts",1,ACT,SV,I,say,,,I,said,,
creativity_0005,2,project_example,user,"Art, design, crafts",1,ACT,SVOxCOMP,I,start,spit,ball,I,start,spit,balling
creativity_0005,2,project_example,user,"Art, design, crafts",1,ACT,SV,I,look,,,I,looking,,
creativity_0005,3,project_example,user,"Art, design, crafts",1,ACT,SVO,I,make,video,,I,made,a video,
creativity_0005,4,project_example,user,"Art, design, crafts",1,ACT,SV,video,read,,,the video,read,,
creativity_0005,5,project_example,user,"Art, design, crafts",1,ACT,SVOxCOMP,I,want,vibe,represent,I,wanted,that vibe,represent
creativity_0005,5,project_example,user,"Art, design, crafts",1,ACT,SVO,I,make,sale,,I,making,a sale,
creativity_0005,6,project_example,user,"Art, design, crafts",1,ACT,SVO,I,use,ChatGPT,,I,used,ChatGPT,
creativity_0005,8,project_example,user,"Art, design, crafts",1,ACT,SVxCOMP,I,find,,say,I,find,,say
creativity_0005,8,project_example,user,"Art, design, crafts",1,PASS,SVO,caption,need,caption,,a long caption,needed,a long caption,
creativity_0005,8,project_example,user,"Art, design, crafts",1,ACT,SV,I,need,,,I,needed,,
creativity_0005,8,project_example,user,"Art, design, crafts",1,ACT,SVO,I,provide,lot,,I,provide,a lot detail,
creativity_0005,9,project_example,user,"Art, design, crafts",1,ACT,SV,brain,go,,,My ADHD brain,goes,,
creativity_0005,9,project_example,user,"Art, design, crafts",1,ACT,SVxCOMP,it,struggle,,do,it,struggles,,do
creativity_0005,11,project_example,user,"Art, design, crafts",1,ACT,SVxCOMP,video,need,,post,This video particular,needed,,posted
creativity_0005,11,project_example,user,"Art, design, crafts",1,ACT,SVO,get,take,try,,get,took,5 tries,
creativity_0005,11,project_example,user,"Art, design, crafts",1,ACT,SV,I,like,,,I,liked,,
creativity_0005,11,project_example,user,"Art, design, crafts",1,ACT,SVO,that,match,vibe,,that,matched,the vibe,
creativity_0005,2,dynamic,user,"Art, design, crafts",1,ACT,SVO,I,find,chatbot,,I,find,that chatbot,
creativity_0005,3,dynamic,user,"Art, design, crafts",1,PASS,SVO,follow,include,follow,,follow,included,follow,
creativity_0005,3,dynamic,user,"Art, design, crafts",1,PASS,SVO,follow,include,question,,follow,included,questions,
creativity_0005,3,dynamic,user,"Art, design, crafts",1,PASS,SVO,question,include,follow,,questions,included,follow,
creativity_0005,3,dynamic,user,"Art, design, crafts",1,PASS,SVO,question,include,question,,questions,included,questions,
creativity_0006,1,basic_job_description,user,Fiction writing,0,ACT,SVO,work,span,gamut,,My creative work,spans,the gamut,
creativity_0006,2,basic_job_description,user,Fiction writing,0,ACT,SVO,project,take,form,,my main writing projects,take,the form gamebook,
creativity_0006,3,basic_job_description,user,Fiction writing,0,ACT,SVO,it,have,aspect,,it,has,aspects novel,
creativity_0006,4,basic_job_description,user,Fiction writing,0,ACT,SVxCOMP,I,end,,create,I,end,,creating
creativity_0006,1,walkthrough,user,Fiction writing,0,ACT,SVO,I,incorporate,AI,,I,incorporate,AI,
creativity_0006,1,walkthrough,user,Fiction writing,0,ACT,SV,it,come,,,it,comes,,
creativity_0006,1,walkthrough,user,Fiction writing,0,ACT,SV,I,make,,,I,make,,
creativity_0006,1,walkthrough,user,Fiction writing,0,ACT,SVO,I,convey,what,,I,conveying,what,
creativity_0006,1,walkthrough,user,Fiction writing,0,ACT,SV,I,intend,,,I,intend,,
creativity_0006,2,walkthrough,user,Fiction writing,0,ACT,SV,I,brainstorm,,,I,brainstorm,,
creativity_0006,3,walkthrough,user,Fiction writing,0,ACT,SVxCOMP,I,find,,tap,I,find,,tap
creativity_0006,3,walkthrough,user,Fiction writing,0,ACT,SV,I,tap,,,I,tap,,
creativity_0006,3,walkthrough,user,Fiction writing,0,ACT,SV,it,be,,,it,is,,
creativity_0006,3,walkthrough,user,Fiction writing,0,ACT,SVxCOMP,I,try,,convey,I,trying,,convey
creativity_0006,4,walkthrough,user,Fiction writing,0,ACT,SVOxCOMP,I,ask,AI,take,I,ask,my AI,take
creativity_0006,4,walkthrough,user,Fiction writing,0,ACT,SV,I,feel,,,I,feel,,
creativity_0006,4,walkthrough,user,Fiction writing,0,ACT,SV,they,act,,,they,act,,
creativity_0006,5,walkthrough,user,Fiction writing,0,ACT,SV,it,come,,,it,comes,,
creativity_0006,5,walkthrough,user,Fiction writing,0,ACT,SV,I,rely,,,I,rely,,
creativity_0006,6,walkthrough,user,Fiction writing,0,ACT,SVO,that,capture,ambiance,,that,captures,the ambiance,
creativity_0006,7,walkthrough,user,Fiction writing,0,PASS,SVO,I,inclined,I,,I,inclined,I,
creativity_0006,7,walkthrough,user,Fiction writing,0,ACT,SVxCOMP,draw,tend,,take,drawing,tends,,take
creativity_0006,7,walkthrough,user,Fiction writing,0,ACT,SVxCOMP,I,find,,help,I,find,,help
creativity_0006,7,walkthrough,user,Fiction writing,0,ACT,SVxCOMP,AI,help,,polish,AI,help,,polish
creativity_0006,8,walkthrough,user,Fiction writing,0,ACT,SVxCOMP,that,say,,help,That,say,,help
creativity_0006,8,walkthrough,user,Fiction writing,0,ACT,SVxCOMP,I,tend,,build,I,tend,,build
creativity_0006,8,walkthrough,user,Fiction writing,0,ACT,SV,world,build,,,world,build,,
creativity_0006,9,walkthrough,user,Fiction writing,0,ACT,SVxCOMP,I,say,,use,I,say,,use
creativity_0006,9,walkthrough,user,Fiction writing,0,ACT,SVO,I,use,AI,,I,use,AI,
creativity_0006,9,walkthrough,user,Fiction writing,0,ACT,SVO,I,use,most,,I,use,most,
creativity_0006,2,project_example,user,Fiction writing,0,ACT,SVxCOMP,I,tend,,write,I,tend,,write
creativity_0006,3,project_example,user,Fiction writing,0,ACT,SVxCOMP,I,tend,,think,I,tend,,think
creativity_0006,3,project_example,user,Fiction writing,0,ACT,SVOxCOMP,that,let,I,explore,that,lets,me,explore
creativity_0006,4,project_example,user,Fiction writing,0,ACT,SVOxCOMP,I,ask,AI,assume,I,asking,the AI,assume
creativity_0006,6,project_example,user,Fiction writing,0,ACT,SVO,AI,forget,information,,The AI,forget,some information,
creativity_0006,6,project_example,user,Fiction writing,0,ACT,SVO,it,misinterpret,something,,it,misinterpret,something,
creativity_0006,7,project_example,user,Fiction writing,0,ACT,SVO,it,take,deal,,It,takes,a deal work,
creativity_0006,8,project_example,user,Fiction writing,0,PASS,SVO,thing,resolve,thing,,things,resolved,things,
creativity_0006,9,project_example,user,Fiction writing,0,ACT,SVO,it,take,lot,,It,takes,a lot handholding,
creativity_0006,10,project_example,user,Fiction writing,0,ACT,SVxCOMP,you,start,,see,you,start,,see
creativity_0006,10,project_example,user,Fiction writing,0,PASS,SVO,AI,inclined,that,,the AI,inclined,that towards,
creativity_0006,11,project_example,user,Fiction writing,0,ACT,SVO,it,take,of,,It,take,of,
creativity_0006,12,project_example,user,Fiction writing,0,ACT,SV,time,be,,,times,are,,
creativity_0006,12,project_example,user,Fiction writing,0,ACT,SVOxCOMP,I,find,myself,surprise,I,find,myself,surprised
creativity_0006,12,project_example,user,Fiction writing,0,ACT,SVO,it,take,fundamental,,it,took,the loose fundamentals world,
creativity_0006,12,project_example,user,Fiction writing,0,ACT,SVO,I,give,it,,I,gave,it,
creativity_0006,13,project_example,user,Fiction writing,0,ACT,SVO,AI,evolve,much,,AI,evolved,much,
creativity_0006,14,project_example,user,Fiction writing,0,ACT,SVxCOMP,I,find,,write,I,find,,write
creativity_0006,14,project_example,user,Fiction writing,0,ACT,SV,AI,write,,,AI,write,,
creativity_0006,14,project_example,user,Fiction writing,0,ACT,SV,I,know,,,I,know,,
creativity_0006,14,project_example,user,Fiction writing,0,ACT,SVxCOMP,I,wonder,,feed,I,wonder,,feeding
creativity_0006,14,project_example,user,Fiction writing,0,ACT,SV,that,feed,,,that,feeding,,
creativity_0006,14,project_example,user,Fiction writing,0,ACT,SV,human,become,,,humans,becoming,,
creativity_0006,14,project_example,user,Fiction writing,0,ACT,SV,they,rely,,,they,rely,,
creativity_0006,1,dynamic,user,Fiction writing,0,ACT,SVxCOMP,I,say,,be,I,say,,'s
creativity_0006,1,dynamic,user,Fiction writing,0,ACT,SV,illusion,be,,,the illusion collaboration,'s,,
creativity_0006,2,dynamic,user,Fiction writing,0,ACT,SV,point,be,,,a point,'s,,
creativity_0006,2,dynamic,user,Fiction writing,0,ACT,SV,I,feel,,,I,felt,,
creativity_0006,2,dynamic,user,Fiction writing,0,ACT,SVO,AI,drive,making,,the AI,driving,the creative decision making,
creativity_0006,3,dynamic,user,Fiction writing,0,ACT,SV,person,recognize,,,normal people,recognize,,
creativity_0006,3,dynamic,user,Fiction writing,0,PASS,SVO,what,lose,normal,,What,lost,normal,
creativity_0006,3,dynamic,user,Fiction writing,0,PASS,SVO,it,feed,that,,it,fed,that,
creativity_0006,4,dynamic,user,Fiction writing,0,ACT,SVxCOMP,I,try,,seed,I,try,,seed
creativity_0006,4,dynamic,user,Fiction writing,0,PASS,SVO,that,investigate,that,,that,investigated,that,
creativity_0006,4,dynamic,user,Fiction writing,0,PASS,SVO,that,continue,that,,that,continued,that,
creativity_0006,4,dynamic,user,Fiction writing,0,ACT,SV,it,excel,,,it,excels,,
creativity_0006,4,dynamic,user,Fiction writing,0,ACT,SVxCOMP,it,struggle,,give,it,struggles,,give
creativity_0006,5,dynamic,user,Fiction writing,0,ACT,SVxCOMP,that,tend,,hyperfixate,That,tends,,hyperfixate
creativity_0006,5,dynamic,user,Fiction writing,0,ACT,SVxCOMP,it,tend,,hyperfixate,it,tends,,hyperfixate
