lemma,upos,doc_count,total_count,mean_count,max_count,category,notes
use,VERB,479,961,2.0062630480167014,11,,
have,VERB,469,738,1.5735607675906182,9,,
think,VERB,284,393,1.3838028169014085,5,,
do,VERB,264,408,1.5454545454545454,8,,
make,VERB,262,403,1.5381679389312977,5,,
help,VERB,236,350,1.4830508474576272,7,,
get,VERB,235,318,1.353191489361702,4,,
create,VERB,201,309,1.537313432835821,6,,
write,VERB,198,310,1.5656565656565657,9,,
want,VERB,192,249,1.296875,5,,
take,VERB,189,237,1.253968253968254,4,,
work,VERB,186,244,1.3118279569892473,4,,
feel,VERB,185,268,1.4486486486486487,5,,
go,VERB,174,213,1.2241379310344827,4,,
find,VERB,171,208,1.2163742690058479,4,,
see,VERB,166,226,1.3614457831325302,4,,
come,VERB,163,211,1.294478527607362,5,,
give,VERB,159,215,1.3522012578616351,5,,
ask,VERB,158,243,1.5379746835443038,6,,
be,VERB,153,184,1.2026143790849673,5,,
need,VERB,143,197,1.3776223776223777,6,,
generate,VERB,127,186,1.4645669291338583,5,,
say,VERB,125,145,1.16,3,,
look,VERB,120,161,1.3416666666666666,5,,
know,VERB,120,149,1.2416666666666667,5,,
sound,VERB,110,117,1.0636363636363637,4,,
start,VERB,107,127,1.1869158878504673,3,,
try,VERB,106,123,1.1603773584905661,3,,
like,VERB,86,108,1.255813953488372,3,,
change,VERB,84,101,1.2023809523809523,5,,
become,VERB,79,88,1.1139240506329113,3,,
provide,VERB,76,92,1.2105263157894737,4,,
tell,VERB,74,93,1.2567567567567568,4,,
keep,VERB,70,79,1.1285714285714286,3,,
edit,VERB,70,77,1.1,3,,
let,VERB,69,72,1.0434782608695652,2,,
put,VERB,60,71,1.1833333333333333,3,,
continue,VERB,58,64,1.103448275862069,3,,
drive,VERB,57,57,1.0,1,,
produce,VERB,55,60,1.0909090909090908,2,,
include,VERB,54,64,1.1851851851851851,4,,
involve,VERB,53,56,1.0566037735849056,2,,
improve,VERB,52,55,1.0576923076923077,2,,
add,VERB,50,57,1.14,3,,
base,VERB,48,53,1.1041666666666667,2,,
read,VERB,47,59,1.2553191489361701,3,,
understand,VERB,47,57,1.2127659574468086,5,,
spend,VERB,46,51,1.108695652173913,3,,
save,VERB,46,48,1.0434782608695652,2,,
begin,VERB,45,48,1.0666666666666667,3,,
brainstorm,VERB,45,48,1.0666666666666667,2,,
allow,VERB,44,49,1.1136363636363635,3,,
mean,VERB,42,47,1.119047619047619,3,,
run,VERB,41,46,1.1219512195121952,3,,
check,VERB,40,48,1.2,5,,
learn,VERB,40,48,1.2,3,,
