	transcript_id	group	long_cluster	long_centroid	u_intro	u_basic job description	u_walkthrough	u_project example
0	creativity_0000	Audiovisual	4	I'm a musician, so my projects range fro	"Nice! I think I'm good for questions. Let's get into it.
"	"Hmmm— I'm a media composer. That means I write music for film, tv, video artwork, installations, etc. I also write standalone pieces but that's much more occasional. Depending on the project I and scope I do everything from sound design to recording but my main skill is composing.
"	"I use AI tools for brainstorming, asking quick questions about technique and theory, general admin, copywriting, emails/comms, and also business planning.
Oh I should mention I also use some machine learning mixing plugins like iZotope Ozone and Sonible Smart:EQ. Anyway— brainstorming is and ideation is really just a process of bouncing my ideas off a peer. Sometimes it's talking through creative blocks and trying to clarify my vision.
"	"This wasn't a client project but I've been using AI to critically analyse film scores. It's been good to get the creative thinking flowing. Basically I've been asking AI to help write out an essay on  something like the film Arrival and what made the score by Johannsson so unique.
"
1	creativity_0001	Audiovisual	4	I'm a musician, so my projects range fro	"Let's do it!
"	"I'm a music producer and audio engineer. I work with clients to record and mix their original music. Many of my projects have been full productions - so, seeing the record through from demo to recording to mixing. With an overseas move coming up though, I won't have the same access to my current home studio, so I'm hoping to move towards doing more mixing projects, exclusively.

I also play guitar in a band and produce my own electronic music when I can
"	"I'm using it mostly for brainstorming out of creative blocks, and for troubleshooting or techy workflow questions.
So for example - when songwriting, I'm usually more instrument-first. That is, it works best for me to write full instrumentals in the DAW first, then add lyrics. Sometimes, when it comes time to add lyrics, I'll ask ChatGPT or Claude for lists of interesting word pairings. Just getting a long list to try out over the instrumental often leads to finding a hook or at least a seed for a song idea.

Another one is song names. For example, I have an EP's worth (4 tracks) of instrumental electronic music. There's themes, but little to no lyrics. Again, I'll have an LLM drop a list of thematic words or pairings to get ideas flowing for song names.
"	"Yeah so for this electronic EP. I had placeholder names for the projects, but I wanted to change a few of them. So I told ChatGPT about the themes of the tracks, and a sonic description of each song. ChatGPT already knows a lot about my projects and artist aesthetic, so it can use that info too. Then I told it the 4 working track names, what I liked, and what I didn't. We went through a few rounds of lists, but I ended up with 4 that I'm happy with
"
2	creativity_0002	Content writing	2	I work on writing research style blogs t	"Sounds good. I don't have any questions
"	"My creative work is largely centred on writing SEO web content and articles, which involves using keywords to produce content that will help websites rank in search results. I also manage a small team of writers and need to regularly give updates to my manager. A typical project for me is a content request from a project manager, which will be for a specific client and requires a certain number of pages of content to be written.
"	"I find myself increasingly reaching for AI tools, especially as time goes on and its capabilities continue to improve. I use it for everything from brainstorming topic ideas and page outlines through to feeding it prompts to generate content. I also occasionally use it for proofreading and fact checking by copying in written content to check it. Occasionally I'll also reach for AI when I have to do a presentation and need help coming up with ideas and structuring the presentation.
"	"I needed to write 12 pages of content for a legal client. It's important with professional clients like these that the content is very well-written, accurate and professional. I was able to use AI for this project to craft paragraphs I could then lightly rewrite to make sound more human. I felt positive about the experience, as using AI helped me achieve a consistent tone and saved a lot of time from having to research things and write from scratch
"
3	creativity_0003	Content writing	2	I work on writing research style blogs t	"Sounds good to me.
"	"I am a dance instructor and a choreographer. On a weekly basis, I am coming up with lesson plans for children who are learning tap, jazz, and ballet. The lesson plans need to be specific to those styles, the level of the students, and (at times) the theme of the week. Something else that is very important is that the lesson plans should expand upon each other- skills learned in the previous week should be reviewed and increased in difficulty. Additionally, I create a dance combination for each class and each week. This means that I create a short piece of chorography in each of the styles that are tailored to the students' level, the choreographic style I'm going for, and sometimes other factors such as the time of year. I am developing my own choreography style, which is a slow process. Lastly, over the next few weeks, I am choreographing a few pieces for the Christmas season.
"	"I use AI tools every week to help me build out the basic structure of my classes, including, but not limited to, barre warmups, stretching sessions, across the floor and center exercises, music choices, and integration of practiced steps into choreography. I also like to ask AI to give me ideas for things that I can teach my students about dance history
"	"Yes. Recently, I asked AI to come up with a basic lesson plan for jazz courses and then to alter the difficulty level for 3 different age groups. This made me feel much less overwhelmed. Planning so many classes each week takes so much time, which I do not get paid for (I only get paid for in-person instruction). AI has saved me so much time in this area.
Before, I was spending a lot of time researching different lesson plans for each dance genre and age group. I was finding different dance syllabi on different websites and synthesizing them into ones that I would use for class. This was extrememly time consuming. AI seems to do that for me. Additionally, I am able to edit the lesson plans quickly and easily. For example, I can ask AI to make the combination more difficult or I can ask it to add more content/ time to the across the floor section of class and take it away from the barre section.
"
4	creativity_0004	Audiovisual	4	I'm a musician, so my projects range fro	"No, let's get started
"	"I work in production management for high end TV and film. This involves being across the entire filming process from start to finish, including hiring other creatives like camera people, costume designers, set designers, writers and editors.
"	"To be honest I find that AI tools are most useful for automating admin tasks, rather than as part of the creative process. They're not currently advanced enough to be really useful for script writing, on screen graphic design, or other key creative elements. They are very helpful for things like drafting memos or research into e.g. different eras of fashion for costume design, which frees up more time to focus on creative work.
"	"On a recent film I worked on, we used AI to draft a formal warning letter to someone whose behaviour was not up to standard. There is no HR department on film or TV productions usually so those tasks fall to the production management team who are not necessarily HR experts, so it's helpful to use AI to draft something that has the right tone. We've also tried using it for things like generating graphics for internal comms like event invitations, but it didn't work too well for that - I haven't found an AI model that's capable of producing a document with both coherent text and strong images together yet.
"
5	creativity_0005	Art, design, crafts	1	I do a variety of creative work. I am se	"Sounds great!
"	"Totally. Over the past 6 months, I began to work closely with the social media side of things at my Martial Arts locations (they're sister schools). I pretty much run the show, I come up with content ideas, film, edit, generate captions/hashtags, post and even respond to comments. Right now, we're primarily focused on Meta apps (Instagram and Facebook) but I do light work on Google Business and have recently begun to integrate our reels over to TikTok. Its a lot of fun, especially because I'm always learning something. I came to this job with literally no prior knowledge besides having some of my own videos on TikTok go viral. Projects vary, as I'm always trying new things, but we do have a consistent ""Student of the Week,"" segment I prepare for all content, including OptiSigns.
"	"All. The. Time. hahaha! ChatGPT is my best friend when it comes to caption generating. *I really hate *
My bad, I'm gonna be so honest I accidentally started italicizing my words and was trying to fix it hahahaha. I really hate coming up with captions, especially because I'm posting so many different types of content every single day between two schools. It can be very taxing, especially because I also am an instructor/manager of one location and that is my primary role. By being able to just spit out what is racing through my head and have a LLM generate the perfect captions, even adhering to shifting things slightly for different forms on content is incredible. I sometimes will go as far as hashtag generating, but I still feel like AI needs some work on that. Occasionally, I will use AI for straight up ideas, but rarely. I find in my experience AI doesn't pick up on the trends fast enough to make meaningful video ideas.
"	"Sure! Often, like I said previously, is I really just start spit balling out what I'm looking for in a caption. Most recently, I made a video targeted towards beginners. It was just some clips from our beginner KB class and the video read, ""POV: You're not Afraid to be a Beginner."" I really wanted that vibe to represent well in the caption, without sounding like I was making a sale, or being condescending. I used ChatGPT specifically for this. Its often my go-to. I find that when a long caption is needed, say for an Instagram Reel like I needed here, it does excellent and hits it on the money every time (Granted, I provide a lot of detail. My ADHD brain just goes lol) but it struggles to do the same for short, punchier captions. This can be frustrating when I'm on a time crunch (which I was at this time) This video in particular needed to be posted to Instagram and TIkTok, but it took 5 tries to get a caption I liked for TikTok that matched the vibe but was much more concise.
"
6	creativity_0006	Fiction writing	0	I'm a writer, primarily of science ficti	"No questions, let's begin
"	"My creative work spans the gamut! Some of it is simple as editing, however, my main writing projects typically take the form of a choose-your-own-adventure gamebook. So, essentially it has aspects of a long-form novel while also incorporating simple coding for the sake of branches and managing stats. Likewise, as a result, I sometimes end up creating supplementary graphics, concept art, etc, while worldbuilding.
"	"Personally, I incorporate AI a lot when it comes to editing my work—spellcheck and grammar, yes, but it's nice to do some sentiment analysis and summaries so that I can make sure I'm conveying what I intend to.
When in my initial drafts, I may also brainstorm with AI in order to flesh out a scene; specific sensory details, etc. I find that by having a wide list to choose from and excluding whatever doesn't feel right, I can often tap into what it is I was truly trying to convey. Likewise, I may occasionally ask my AI to take on a particular character to have a conversation about them, and then compare its interpretations to how I *feel* they would genuinely act.
 
 
When it comes to creating concept art, I may rely on it heavily for the atmospheric feeling of a space. Something that captures the ambiance and the mood, or even a simple diagram. While I'm artistically inclined myself, drawing tends to take much longer for me than writing I find that for the early planning stages, AI can help to polish my very rough drafts to a workable state without having me break my flow. That is to say, since I tend to world build in tandem with my writing (and adjust for any potential additions) using AI to generate ""moodboard"" pieces, or basic diagrams, can help me continue to the next step of my writing while having a simple foundation to draw upon.
 
So overall, I would say I use AI most in the initial and final stages of my work, with brainstorming sessions in between.
"	"Recently? I do tend to collaboratively write with AI, asking it to assume the role of a dungeon-master or character(s) while feeding it quite a bit of lore. In a way, I tend to think of the story as a sort of AU (Alternate-Universe) interpretation of my main projects, and that lets me explore potential scenarios, plotlines, and character arcs from different angles.
 
So for this in particular I was asking the AI to assume the role of various characters, each with their own unique goals, each one of them a moving part in this little microcosm. As entertainment, it was at times frustrating. The AI would forget some information in the lore, or it would misinterpret something said in the main body of text. It often takes a deal of work to break an LLM out of its sycophantic rhythms—which is integral when trying to set up genuine conflict in storylines. And often, things are resolved far too quickly. It takes a lot of careful handholding, to get the AI moving progressively forwards. Doing it long enough, you start to see the patterns in the dataset that the AI is inclined towards, patterns in cliché turns of phrase, etc, etc. It does take some of the magic away. Still, in terms of the authenticity of character portrayals or its ability to create a scene, there are times I'd find myself pleasantly surprised by how it took the loose fundamentals of a world I gave it and ran with it.
 
Honestly, overall, it's both humbling and interesting to see how much AI has evolved in terms of capabilities. I already find that AI can write better than the majority of people I know, which is great from the perspective of looking for a collaborative storyteller to simply toss ideas back and forth with, however, I also wonder if that's feeding into the ongoing existential crisis of loneliness, if humans are becoming less authentic, less emotionally-intelligent because they rely too heavily on these tools.
"
7	creativity_0007	Art, design, crafts	1	I do a variety of creative work. I am se	"Fire away!
"	"I create content for my blog (writing in Wordpress), my YouTube channel (filming in OBS and editing in Adobe Premiere), and also for my church as Creative Director (lots of graphics in Canva).  For the YouTube, a typical project is storyboarding the video, shooting the footage, editing, then prepping thumbnails, writing descriptions and titles, etc. For the blog, I'm outlining the content, writing it up, and integrating images and video. For church, it can be anything from sermon graphics to social images, planning and edition short-form video, etc.
"	"I don't reach for AI a lot, but I guess you could count Grammarly suggestions for writing. I also use VidIQ and YouTube's AI tools to assist me with refining my video descriptions and titles.
I get so overwhelmed with all the ""noise"" on the internet and changing trends. Having an engine to keep up with algorithms, feature changes, and trends to point those details in the right direction is helpful. I still make sure the ""bones"" are authentically me, but being able to A/B test or use an AI checklist to score my work keeps me honest and up with the times.
"	"For a recent YouTube video, I did a side-by-side comparison between two different hair gels. I wrote up the description, but I was struggling with a catchy title (as I often do). I used VidIQ's Optimize features to get recommendations for titles and test refinements to my description and determine what keywords to focus on.
"
8	creativity_0008	Mix	3	I'm an artist and a writer with a PhD in	"Continue
"	"I'm an artist and a writer with a PhD in Visual Arts. I paint and draw and make some installation art, including site-specific temporary installations. My work is typically about the natural environment. I use AI to generate photographic quality images which I go on to edit in a photo editing program such as Pixlr. I also use AI to assist in my written visual arts research, and in crafting artist statements for exhibitions.
"	"Recently I was involved in an art exhibition at a regional art gallery. I described my painting to an AI bot and asked it to generate a relevant artist statement that I could use. I could then ask for different versions of the statement, fine-tuning it by adding and subtracting different elements. For example, I could ask the AI to make a comparison of my work with a noted artist's work.
Overall, I really enjoyed the process of generating the statement, since I love reading and writing. The statement generated by AI could then be hand edited to sound more like my authentic voice as an artist. The advantage of using AI is that it makes the whole process a lot faster. It can also come up with ideas that I might not have thought of myself. Then I can tweak those ideas to make them more relevant.
Let's say that the AI was asked to compare my own paintings to the work of artist Cy Twombly - this could conventionally be seen as a bit of a stretch, since Cy Twombly's art is only mildly similar to my own. The AI model might throw up some random things that could be relevant - for example, we both use vibrant red and orange hues in our paintings. I might delete the word ""orange"" in the next version of the statement, since I would rather focus on the symbolism of the colour red. Then I can specifically ask the model to further discuss the colour red.
"	"I asked the AI to generate a diary entry based on some brief notes that I had scribbled down while I was thinking about a whole lot of random things. The model had to make sense of these notes and try to put them together in a coherent narrative. It had to write this piece in a casual, personable voice as though I was writing to myself for future reference.
It was fun to do this kind of experiment, as I like writing. I especially like recording my thoughts. The version that the AI generated didn't sound much like me though. It sounded cliché and sanitised.
"
9	creativity_0009	Art, design, crafts	1	I do a variety of creative work. I am se	"sounds great
"	"My work varies project to project, but usually it involves a client giving me a script or a rough idea and it's my job to bring it to life through illustration and design. I generally like to mull over what I've been given along with what the client is desiring before I start a thumbnail sketching process. Currently I'm working on illustrating two different children's books.
"	"I really like to use AI tools when I just can't find a good reference image for a pose I'm trying to capture or a lot of the times I love using AI tools when I really need extra help with composition and scene layout. It cuts my time in half having the tools to help generate these compositions.
"	"I've used it for two different projects recently, one was to help brainstorm a very specific painting for a client that involved the client's pets. I used AI to generate images of what the paintings would look like finished. Another project I used it for was to help design a book cover layout that I was pressed for time to illustrate. I will say, that AI is great for this but there are times that it doesn't quite generate exactly what I ask for, sometimes it will do its own thing and generate something similar like if I ask for two corgis in the night sky jumping over floating bananas it might give me three corgis or two corgis in the background or maybe it will give me a weird looking night sky, which can make the process longer. That part is slightly annoying.
"
