transcript_id,role,section,lemma,upos,count
creativity_0000,user,basic_job_description,",",PUNCT,4
creativity_0000,user,basic_job_description,.,PUNCT,4
creativity_0000,user,basic_job_description,I,PRON,5
creativity_0000,user,basic_job_description,TV,NOUN,1
creativity_0000,user,basic_job_description,a,DET,1
creativity_0000,user,basic_job_description,also,ADV,1
creativity_0000,user,basic_job_description,and,CCONJ,1
creativity_0000,user,basic_job_description,artwork,NOUN,1
creativity_0000,user,basic_job_description,be,AUX,3
creativity_0000,user,basic_job_description,but,CCONJ,2
creativity_0000,user,basic_job_description,compose,VERB,1
creativity_0000,user,basic_job_description,composer,NOUN,1
creativity_0000,user,basic_job_description,depend,VERB,1
creativity_0000,user,basic_job_description,design,NOUN,1
creativity_0000,user,basic_job_description,do,VERB,1
creativity_0000,user,basic_job_description,etc.,NOUN,1
creativity_0000,user,basic_job_description,everything,PRON,1
creativity_0000,user,basic_job_description,film,NOUN,1
creativity_0000,user,basic_job_description,for,ADP,1
creativity_0000,user,basic_job_description,from,ADP,1
creativity_0000,user,basic_job_description,hmm,INTJ,1
creativity_0000,user,basic_job_description,installation,NOUN,1
creativity_0000,user,basic_job_description,main,ADJ,1
creativity_0000,user,basic_job_description,mean,VERB,1
creativity_0000,user,basic_job_description,media,NOUN,1
creativity_0000,user,basic_job_description,more,ADV,1
creativity_0000,user,basic_job_description,much,ADV,1
creativity_0000,user,basic_job_description,music,NOUN,1
creativity_0000,user,basic_job_description,my,PRON,1
creativity_0000,user,basic_job_description,occasional,ADJ,1
creativity_0000,user,basic_job_description,on,ADP,1
creativity_0000,user,basic_job_description,piece,NOUN,1
creativity_0000,user,basic_job_description,project,NOUN,1
creativity_0000,user,basic_job_description,recording,NOUN,1
creativity_0000,user,basic_job_description,scope,NOUN,1
creativity_0000,user,basic_job_description,skill,NOUN,1
creativity_0000,user,basic_job_description,sound,NOUN,1
creativity_0000,user,basic_job_description,standalone,NOUN,1
creativity_0000,user,basic_job_description,that,PRON,2
creativity_0000,user,basic_job_description,the,DET,1
creativity_0000,user,basic_job_description,to,ADP,1
creativity_0000,user,basic_job_description,video,NOUN,1
creativity_0000,user,basic_job_description,write,VERB,2
creativity_0000,user,basic_job_description,—,PUNCT,1
creativity_0000,user,changed_aspects,"""",PUNCT,2
creativity_0000,user,changed_aspects,(,PUNCT,1
creativity_0000,user,changed_aspects,),PUNCT,1
creativity_0000,user,changed_aspects,.,PUNCT,3
creativity_0000,user,changed_aspects,I,PRON,3
creativity_0000,user,changed_aspects,a,DET,3
creativity_0000,user,changed_aspects,actuate,VERB,1
creativity_0000,user,changed_aspects,and,CCONJ,1
creativity_0000,user,changed_aspects,be,AUX,3
creativity_0000,user,changed_aspects,broad,ADJ,1
creativity_0000,user,changed_aspects,bucket,NOUN,1
creativity_0000,user,changed_aspects,but,CCONJ,1
creativity_0000,user,changed_aspects,call,VERB,1
creativity_0000,user,changed_aspects,digg,VERB,1
creativity_0000,user,changed_aspects,do,AUX,1
creativity_0000,user,changed_aspects,do,VERB,1
creativity_0000,user,changed_aspects,fill,NOUN,1
creativity_0000,user,changed_aspects,have,AUX,1
creativity_0000,user,changed_aspects,honestly,ADV,1
creativity_0000,user,changed_aspects,idea,NOUN,1
creativity_0000,user,changed_aspects,if,SCONJ,1
creativity_0000,user,changed_aspects,imagine,VERB,1
creativity_0000,user,changed_aspects,in,ADP,1
creativity_0000,user,changed_aspects,into,ADP,1
creativity_0000,user,changed_aspects,it,PRON,2
creativity_0000,user,changed_aspects,just,ADV,1
creativity_0000,user,changed_aspects,know,VERB,1
creativity_0000,user,changed_aspects,lot,NOUN,1
creativity_0000,user,changed_aspects,matter,NOUN,1
creativity_0000,user,changed_aspects,mentor,NOUN,1
