transcript_id,role,section,section_raw,n_sents,n_words,n_verbs,n_aux,n_verbs_total,n_nouns,n_propn,n_nouns_total
creativity_0000,user,intro,intro,3,16,3,1,4,1,0,1
creativity_0000,user,basic_job_description,basic job description,4,59,6,3,9,17,0,17
creativity_0000,user,walkthrough,walkthrough,4,82,9,4,13,23,3,26
creativity_0000,user,project_example,project example,3,57,8,7,15,9,3,12
creativity_0000,user,dynamic,dynamic,2,32,5,4,9,4,0,4
creativity_0000,user,changed_aspects,changed aspects,3,53,7,5,12,9,0,9
creativity_0000,user,concerns,concerns,3,56,6,5,11,16,2,18
creativity_0000,user,future,future,3,33,5,4,9,3,0,3
creativity_0000,user,extra_comments,extra comments,2,10,2,1,3,0,0,0
creativity_0001,user,intro,intro,1,5,2,0,2,0,0,0
creativity_0001,user,basic_job_description,basic job description,5,94,11,6,17,21,0,21
creativity_0001,user,walkthrough,walkthrough,9,163,17,6,23,38,2,40
creativity_0001,user,project_example,project example,6,104,10,3,13,18,2,20
creativity_0001,user,dynamic,dynamic,5,98,11,4,15,12,1,13
creativity_0001,user,changed_aspects,changed aspects,1,18,5,0,5,2,0,2
creativity_0001,user,concerns,concerns,11,208,24,15,39,44,4,48
creativity_0001,user,future,future,9,146,18,13,31,29,3,32
creativity_0001,user,extra_comments,extra comments,2,20,2,2,4,2,0,2
creativity_0002,user,intro,intro,2,9,2,1,3,1,0,1
creativity_0002,user,basic_job_description,basic job description,3,82,12,6,18,23,0,23
creativity_0002,user,walkthrough,walkthrough,4,87,19,1,20,18,1,19
creativity_0002,user,project_example,project example,4,88,15,4,19,14,2,16
creativity_0002,user,dynamic,dynamic,3,111,21,3,24,17,1,18
creativity_0002,user,changed_aspects,changed aspects,2,37,3,3,6,7,0,7
creativity_0002,user,concerns,concerns,2,52,8,6,14,9,1,10
creativity_0002,user,future,future,2,50,10,4,14,7,1,8
creativity_0002,user,extra_comments,extra comments,1,5,1,0,1,0,0,0
creativity_0003,user,intro,intro,1,5,1,0,1,0,0,0
creativity_0003,user,basic_job_description,basic job description,8,182,14,14,28,42,1,43
creativity_0003,user,walkthrough,walkthrough,2,70,10,1,11,22,1,23
creativity_0003,user,project_example,project example,11,191,25,11,36,40,4,44
creativity_0003,user,dynamic,dynamic,3,72,12,8,20,11,0,11
creativity_0003,user,changed_aspects,changed aspects,4,65,7,4,11,10,1,11
creativity_0003,user,concerns,concerns,7,127,18,8,26,27,1,28
creativity_0003,user,future,future,2,36,7,3,10,2,0,2
creativity_0003,user,extra_comments,extra comments,2,8,0,1,1,1,0,1
creativity_0004,user,intro,intro,1,6,2,1,3,0,0,0
creativity_0004,user,basic_job_description,basic job description,2,43,4,1,5,18,0,18
creativity_0004,user,walkthrough,walkthrough,3,82,5,5,10,20,0,20
creativity_0004,user,project_example,project example,3,122,14,7,21,29,0,29
creativity_0004,user,dynamic,dynamic,3,105,11,12,23,14,1,15
creativity_0004,user,changed_aspects,changed aspects,2,48,7,3,10,8,1,9
creativity_0004,user,concerns,concerns,6,204,32,21,53,35,0,35
creativity_0004,user,future,future,7,207,28,16,44,43,3,46
creativity_0004,user,extra_comments,extra comments,2,17,4,1,5,0,0,0
creativity_0005,user,intro,intro,1,3,1,0,1,0,0,0
creativity_0005,user,basic_job_description,basic job description,7,168,20,8,28,28,10,38
creativity_0005,user,walkthrough,walkthrough,10,192,25,15,40,28,2,30
creativity_0005,user,project_example,project example,11,221,28,16,44,28,8,36
creativity_0005,user,dynamic,dynamic,3,52,5,4,9,9,0,9
creativity_0005,user,changed_aspects,changed aspects,2,32,3,3,6,6,0,6
creativity_0005,user,concerns,concerns,5,95,12,9,21,14,3,17
creativity_0005,user,future,future,4,81,16,9,25,12,2,14
creativity_0005,user,extra_comments,extra comments,1,7,1,0,1,0,0,0
creativity_0006,user,intro,intro,1,6,2,0,2,1,0,1
creativity_0006,user,basic_job_description,basic job description,4,84,8,1,9,21,0,21
creativity_0006,user,walkthrough,walkthrough,9,309,48,16,64,46,2,48
creativity_0006,user,project_example,project example,14,387,46,16,62,71,4,75
creativity_0006,user,dynamic,dynamic,7,228,33,16,49,39,1,40
creativity_0006,user,changed_aspects,changed aspects,12,272,30,19,49,44,2,46
creativity_0006,user,concerns,concerns,12,292,40,19,59,44,4,48
creativity_0006,user,future,future,2,54,6,6,12,7,0,7
creativity_0006,user,extra_comments,extra comments,1,12,1,0,1,1,0,1
creativity_0007,user,intro,intro,1,3,1,0,1,0,0,0
creativity_0007,user,basic_job_description,basic job description,4,115,10,4,14,28,8,36
creativity_0007,user,walkthrough,walkthrough,5,119,16,5,21,26,4,30
creativity_0007,user,project_example,project example,3,67,7,2,9,16,2,18
creativity_0007,user,dynamic,dynamic,2,48,6,4,10,5,1,6
creativity_0007,user,changed_aspects,changed aspects,3,62,9,2,11,11,2,13
creativity_0007,user,concerns,concerns,16,218,33,15,48,34,2,36
creativity_0007,user,future,future,6,127,17,7,24,23,4,27
creativity_0007,user,extra_comments,extra comments,8,192,18,16,34,42,0,42
creativity_0008,user,intro,intro,1,1,1,0,1,0,0,0
creativity_0008,user,basic_job_description,basic job description,5,84,12,2,14,21,2,23
creativity_0008,user,walkthrough,walkthrough,13,282,35,21,56,53,5,58
creativity_0008,user,project_example,project example,7,116,20,5,25,19,0,19
creativity_0008,user,dynamic,dynamic,3,67,10,5,15,8,0,8
creativity_0008,user,changed_aspects,changed aspects,2,47,5,7,12,5,0,5
creativity_0008,user,concerns,concerns,6,95,10,10,20,13,0,13
creativity_0008,user,future,future,3,33,5,5,10,2,0,2
creativity_0008,user,extra_comments,extra comments,1,6,0,1,1,0,0,0
creativity_0009,user,intro,intro,1,2,1,0,1,0,0,0
creativity_0009,user,basic_job_description,basic job description,3,74,11,5,16,16,0,16
creativity_0009,user,walkthrough,walkthrough,2,63,12,2,14,17,0,17
creativity_0009,user,project_example,project example,5,156,25,13,38,28,0,28
creativity_0009,user,dynamic,dynamic,3,76,9,7,16,11,0,11
creativity_0009,user,changed_aspects,changed aspects,9,161,18,12,30,30,0,30
creativity_0009,user,concerns,concerns,3,107,16,5,21,25,0,25
creativity_0009,user,future,future,4,64,13,1,14,13,0,13
creativity_0009,user,extra_comments,extra comments,3,41,3,5,8,4,1,5
creativity_0010,user,intro,intro,1,8,1,0,1,1,0,1
creativity_0010,user,basic_job_description,basic job description,9,265,30,6,36,61,4,65
creativity_0010,user,walkthrough,walkthrough,6,141,24,7,31,33,2,35
creativity_0010,user,project_example,project example,20,547,72,33,105,93,7,100
creativity_0010,user,dynamic,dynamic,5,95,12,6,18,17,0,17
creativity_0010,user,changed_aspects,changed aspects,5,118,21,8,29,14,0,14
creativity_0010,user,concerns,concerns,5,155,24,9,33,28,2,30
creativity_0010,user,future,future,6,146,29,10,39,21,1,22
creativity_0010,user,extra_comments,extra comments,1,1,0,0,0,0,0,0
creativity_0011,user,intro,intro,1,7,1,1,2,0,0,0
creativity_0011,user,basic_job_description,basic job description,4,117,17,5,22,27,0,27
creativity_0011,user,walkthrough,walkthrough,9,308,34,12,46,58,4,62
creativity_0011,user,project_example,project example,6,204,25,8,33,37,3,40
creativity_0011,user,dynamic,dynamic,4,140,17,11,28,26,0,26
creativity_0011,user,changed_aspects,changed aspects,8,194,25,13,38,37,2,39
creativity_0011,user,concerns,concerns,5,138,27,8,35,19,1,20
creativity_0011,user,future,future,4,176,29,10,39,29,0,29
creativity_0011,user,extra_comments,extra comments,1,5,1,0,1,0,0,0
creativity_0012,user,intro,intro,1,4,1,0,1,0,0,0
creativity_0012,user,basic_job_description,basic job description,3,39,3,4,7,7,0,7
creativity_0012,user,walkthrough,walkthrough,5,109,12,10,22,22,1,23
creativity_0012,user,project_example,project example,8,190,21,17,38,37,0,37
creativity_0012,user,dynamic,dynamic,2,30,4,2,6,4,0,4
creativity_0012,user,changed_aspects,changed aspects,5,75,9,7,16,14,1,15
creativity_0012,user,concerns,concerns,6,110,11,8,19,25,1,26
creativity_0012,user,future,future,7,152,20,15,35,24,0,24
creativity_0012,user,extra_comments,extra comments,1,1,0,0,0,0,0,0
creativity_0013,user,intro,intro,1,7,2,0,2,1,0,1
creativity_0013,user,basic_job_description,basic job description,2,82,9,3,12,24,3,27
creativity_0013,user,walkthrough,walkthrough,2,93,14,2,16,15,2,17
creativity_0013,user,project_example,project example,3,115,13,2,15,25,1,26
